"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2018-01-01,"Total commercial",33.804,"v1675119987","0","Commercial",FALSE,7
2018-02-01,"Total commercial",15.381,"v1675119987","0","Commercial",FALSE,7
2018-03-01,"Total commercial",19.224,"v1675119987","0","Commercial",FALSE,7
2018-04-01,"Total commercial",34.535,"v1675119987","0","Commercial",FALSE,7
2018-05-01,"Total commercial",19.066,"v1675119987","0","Commercial",FALSE,7
2018-06-01,"Total commercial",17.797,"v1675119987","0","Commercial",FALSE,7
2018-07-01,"Total commercial",23.047,"v1675119987","0","Commercial",FALSE,7
2018-08-01,"Total commercial",13.533,"v1675119987","0","Commercial",FALSE,7
2018-09-01,"Total commercial",36.583,"v1675119987","0","Commercial",FALSE,7
2018-10-01,"Total commercial",25.944,"v1675119987","0","Commercial",FALSE,7
2018-11-01,"Total commercial",22.136,"v1675119987","0","Commercial",FALSE,7
2018-12-01,"Total commercial",46.898,"v1675119987","0","Commercial",FALSE,7
2019-01-01,"Total commercial",21.135,"v1675119987","0","Commercial",FALSE,7
2019-02-01,"Total commercial",16.719,"v1675119987","0","Commercial",FALSE,7
2019-03-01,"Total commercial",31.026,"v1675119987","0","Commercial",FALSE,7
2019-04-01,"Total commercial",61.064,"v1675119987","0","Commercial",FALSE,7
2019-05-01,"Total commercial",27.702,"v1675119987","0","Commercial",FALSE,7
2019-06-01,"Total commercial",30.676,"v1675119987","0","Commercial",FALSE,7
2019-07-01,"Total commercial",20.97,"v1675119987","0","Commercial",FALSE,7
2019-08-01,"Total commercial",24.808,"v1675119987","0","Commercial",FALSE,7
2019-09-01,"Total commercial",21.807,"v1675119987","0","Commercial",FALSE,7
2019-10-01,"Total commercial",20.557,"v1675119987","0","Commercial",FALSE,7
2019-11-01,"Total commercial",15.277,"v1675119987","0","Commercial",FALSE,7
2019-12-01,"Total commercial",10.321,"v1675119987","0","Commercial",FALSE,7
2020-01-01,"Total commercial",17.471,"v1675119987","0","Commercial",FALSE,7
2020-02-01,"Total commercial",16.184,"v1675119987","0","Commercial",FALSE,7
2020-03-01,"Total commercial",17.895,"v1675119987","0","Commercial",FALSE,7
2020-04-01,"Total commercial",4.342,"v1675119987","0","Commercial",FALSE,7
2020-05-01,"Total commercial",7.431,"v1675119987","0","Commercial",FALSE,7
2020-06-01,"Total commercial",6.646,"v1675119987","0","Commercial",FALSE,7
2020-07-01,"Total commercial",10.154,"v1675119987","0","Commercial",FALSE,7
2020-08-01,"Total commercial",11.11,"v1675119987","0","Commercial",FALSE,7
2020-09-01,"Total commercial",5.445,"v1675119987","0","Commercial",FALSE,7
2020-10-01,"Total commercial",9.4,"v1675119987","0","Commercial",FALSE,7
2020-11-01,"Total commercial",11.561,"v1675119987","0","Commercial",FALSE,7
2020-12-01,"Total commercial",9.066,"v1675119987","0","Commercial",FALSE,7
2021-01-01,"Total commercial",11.799,"v1675119987","0","Commercial",FALSE,7
2021-02-01,"Total commercial",25.357,"v1675119987","0","Commercial",FALSE,7
2021-03-01,"Total commercial",12.881,"v1675119987","0","Commercial",FALSE,7
2021-04-01,"Total commercial",5.708,"v1675119987","0","Commercial",FALSE,7
2021-05-01,"Total commercial",26.649,"v1675119987","0","Commercial",FALSE,7
2021-06-01,"Total commercial",21.656,"v1675119987","0","Commercial",FALSE,7
2021-07-01,"Total commercial",14.117,"v1675119987","0","Commercial",FALSE,7
2021-08-01,"Total commercial",11.001,"v1675119987","0","Commercial",FALSE,7
2021-09-01,"Total commercial",17.219,"v1675119987","0","Commercial",FALSE,7
2021-10-01,"Total commercial",14.894,"v1675119987","0","Commercial",FALSE,7
2021-11-01,"Total commercial",21.672,"v1675119987","0","Commercial",FALSE,7
2021-12-01,"Total commercial",17.824,"v1675119987","0","Commercial",FALSE,7
2022-01-01,"Total commercial",22.744,"v1675119987","0","Commercial",FALSE,7
2022-02-01,"Total commercial",9.804,"v1675119987","0","Commercial",FALSE,7
2022-03-01,"Total commercial",11.058,"v1675119987","0","Commercial",FALSE,7
2022-04-01,"Total commercial",26.678,"v1675119987","0","Commercial",FALSE,7
2022-05-01,"Total commercial",12.341,"v1675119987","0","Commercial",FALSE,7
2022-06-01,"Total commercial",22.022,"v1675119987","0","Commercial",FALSE,7
2022-07-01,"Total commercial",24.949,"v1675119987","0","Commercial",FALSE,7
2022-08-01,"Total commercial",25.525,"v1675119987","0","Commercial",FALSE,7
2022-09-01,"Total commercial",26.255,"v1675119987","0","Commercial",FALSE,7
2022-10-01,"Total commercial",16.963,"v1675119987","0","Commercial",FALSE,7
2022-11-01,"Total commercial",23.475,"v1675119987","0","Commercial",FALSE,7
2022-12-01,"Total commercial",14.061,"v1675119987","0","Commercial",FALSE,7
2023-01-01,"Total commercial",18.658,"v1675119987","0","Commercial",FALSE,7
2023-02-01,"Total commercial",16.856,"v1675119987","0","Commercial",FALSE,7
2023-03-01,"Total commercial",21.403,"v1675119987","0","Commercial",FALSE,7
2023-04-01,"Total commercial",13.416,"v1675119987","0","Commercial",FALSE,7
2023-05-01,"Total commercial",16.967,"v1675119987","0","Commercial",FALSE,7
2023-06-01,"Total commercial",19.28,"v1675119987","0","Commercial",FALSE,7
2023-07-01,"Total commercial",8.973,"v1675119987","0","Commercial",FALSE,7
2023-08-01,"Total commercial",24.688,"v1675119987","0","Commercial",FALSE,7
2023-09-01,"Total commercial",17.52,"v1675119987","0","Commercial",FALSE,7
2023-10-01,"Total commercial",21.378,"v1675119987","0","Commercial",FALSE,7
2023-11-01,"Total commercial",5.476,"v1675119987","0","Commercial",FALSE,7
2023-12-01,"Total commercial",28.193,"v1675119987","0","Commercial",FALSE,7
2024-01-01,"Total commercial",8.278,"v1675119987","0","Commercial",FALSE,7
2024-02-01,"Total commercial",21.467,"v1675119987","0","Commercial",FALSE,7
2024-03-01,"Total commercial",27.712,"v1675119987","0","Commercial",FALSE,7
2024-04-01,"Total commercial",22.26,"v1675119987","0","Commercial",FALSE,7
2024-05-01,"Total commercial",22.41,"v1675119987","0","Commercial",FALSE,7
2024-06-01,"Total commercial",16.848,"v1675119987","0","Commercial",FALSE,7
2024-07-01,"Total commercial",67.529,"v1675119987","0","Commercial",FALSE,7
2024-08-01,"Total commercial",16.492,"v1675119987","0","Commercial",FALSE,7
2024-09-01,"Total commercial",14.613,"v1675119987","0","Commercial",FALSE,7
2024-10-01,"Total commercial",25.673,"v1675119987","0","Commercial",FALSE,7
2024-11-01,"Total commercial",26.549,"v1675119987","0","Commercial",FALSE,7
2024-12-01,"Total commercial",18.32,"v1675119987","0","Commercial",FALSE,7
2025-01-01,"Total commercial",23.399,"v1675119987","0","Commercial",FALSE,7
2025-02-01,"Total commercial",17.437,"v1675119987","0","Commercial",FALSE,7
2025-03-01,"Total commercial",9.765,"v1675119987","0","Commercial",FALSE,7
2025-04-01,"Total commercial",24.783,"v1675119987","0","Commercial",FALSE,7
2025-05-01,"Total commercial",23.88,"v1675119987","0","Commercial",FALSE,7
2025-06-01,"Total commercial",23.037,"v1675119987","0","Commercial",FALSE,7
2025-07-01,"Total commercial",12.683,"v1675119987","0","Commercial",FALSE,7
2025-08-01,"Total commercial",16.626,"v1675119987","0","Commercial",FALSE,7
2025-09-01,"Total commercial",29.83,"v1675119987","0","Commercial",FALSE,7
2025-10-01,"Total commercial",21.017,"v1675119987","0","Commercial",FALSE,7
2025-11-01,"Total commercial",31.421,"v1675119987","0","Commercial",FALSE,7
2025-12-01,"Total commercial",21.184,"v1675119987","0","Commercial",FALSE,7
2026-01-01,"Total commercial",30.067,"v1675119987","0","Commercial",FALSE,7
2026-02-01,"Total commercial",26.462,"v1675119987","0","Commercial",FALSE,7
2026-03-01,"Total commercial",32.365,"v1675119987","0","Commercial",FALSE,7
2026-04-01,"Total commercial",15.987,"v1675119987","0","Commercial",FALSE,7
2026-05-01,"Total commercial",25.477,"v1675119987","0","Commercial",FALSE,7
2026-06-01,"Total commercial",29.872,"v1675119987","0","Commercial",FALSE,7
