"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2018-01-01,"Total industrial",4.13,"v1675119986","0","Industrial",FALSE,6
2018-02-01,"Total industrial",1.975,"v1675119986","0","Industrial",FALSE,6
2018-03-01,"Total industrial",7.612,"v1675119986","0","Industrial",FALSE,6
2018-04-01,"Total industrial",8.201,"v1675119986","0","Industrial",FALSE,6
2018-05-01,"Total industrial",5.625,"v1675119986","0","Industrial",FALSE,6
2018-06-01,"Total industrial",7.443,"v1675119986","0","Industrial",FALSE,6
2018-07-01,"Total industrial",4.98,"v1675119986","0","Industrial",FALSE,6
2018-08-01,"Total industrial",3.041,"v1675119986","0","Industrial",FALSE,6
2018-09-01,"Total industrial",2.916,"v1675119986","0","Industrial",FALSE,6
2018-10-01,"Total industrial",6.024,"v1675119986","0","Industrial",FALSE,6
2018-11-01,"Total industrial",2.937,"v1675119986","0","Industrial",FALSE,6
2018-12-01,"Total industrial",5.576,"v1675119986","0","Industrial",FALSE,6
2019-01-01,"Total industrial",9.188,"v1675119986","0","Industrial",FALSE,6
2019-02-01,"Total industrial",18.345,"v1675119986","0","Industrial",FALSE,6
2019-03-01,"Total industrial",2.862,"v1675119986","0","Industrial",FALSE,6
2019-04-01,"Total industrial",7.921,"v1675119986","0","Industrial",FALSE,6
2019-05-01,"Total industrial",5.642,"v1675119986","0","Industrial",FALSE,6
2019-06-01,"Total industrial",3.903,"v1675119986","0","Industrial",FALSE,6
2019-07-01,"Total industrial",5.374,"v1675119986","0","Industrial",FALSE,6
2019-08-01,"Total industrial",6.172,"v1675119986","0","Industrial",FALSE,6
2019-09-01,"Total industrial",8.23,"v1675119986","0","Industrial",FALSE,6
2019-10-01,"Total industrial",8.338,"v1675119986","0","Industrial",FALSE,6
2019-11-01,"Total industrial",4.584,"v1675119986","0","Industrial",FALSE,6
2019-12-01,"Total industrial",8.559,"v1675119986","0","Industrial",FALSE,6
2020-01-01,"Total industrial",8.377,"v1675119986","0","Industrial",FALSE,6
2020-02-01,"Total industrial",1.015,"v1675119986","0","Industrial",FALSE,6
2020-03-01,"Total industrial",5.462,"v1675119986","0","Industrial",FALSE,6
2020-04-01,"Total industrial",3.449,"v1675119986","0","Industrial",FALSE,6
2020-05-01,"Total industrial",1.656,"v1675119986","0","Industrial",FALSE,6
2020-06-01,"Total industrial",4.243,"v1675119986","0","Industrial",FALSE,6
2020-07-01,"Total industrial",2.357,"v1675119986","0","Industrial",FALSE,6
2020-08-01,"Total industrial",0.235,"v1675119986","0","Industrial",FALSE,6
2020-09-01,"Total industrial",1.409,"v1675119986","0","Industrial",FALSE,6
2020-10-01,"Total industrial",0.457,"v1675119986","0","Industrial",FALSE,6
2020-11-01,"Total industrial",4.497,"v1675119986","0","Industrial",FALSE,6
2020-12-01,"Total industrial",0.377,"v1675119986","0","Industrial",FALSE,6
2021-01-01,"Total industrial",0.869,"v1675119986","0","Industrial",FALSE,6
2021-02-01,"Total industrial",5.73,"v1675119986","0","Industrial",FALSE,6
2021-03-01,"Total industrial",2.718,"v1675119986","0","Industrial",FALSE,6
2021-04-01,"Total industrial",2.607,"v1675119986","0","Industrial",FALSE,6
2021-05-01,"Total industrial",6.921,"v1675119986","0","Industrial",FALSE,6
2021-06-01,"Total industrial",2.288,"v1675119986","0","Industrial",FALSE,6
2021-07-01,"Total industrial",6.168,"v1675119986","0","Industrial",FALSE,6
2021-08-01,"Total industrial",8.823,"v1675119986","0","Industrial",FALSE,6
2021-09-01,"Total industrial",6.924,"v1675119986","0","Industrial",FALSE,6
2021-10-01,"Total industrial",7.532,"v1675119986","0","Industrial",FALSE,6
2021-11-01,"Total industrial",3.462,"v1675119986","0","Industrial",FALSE,6
2021-12-01,"Total industrial",6.47,"v1675119986","0","Industrial",FALSE,6
2022-01-01,"Total industrial",5.397,"v1675119986","0","Industrial",FALSE,6
2022-02-01,"Total industrial",1.506,"v1675119986","0","Industrial",FALSE,6
2022-03-01,"Total industrial",1.674,"v1675119986","0","Industrial",FALSE,6
2022-04-01,"Total industrial",2.382,"v1675119986","0","Industrial",FALSE,6
2022-05-01,"Total industrial",1.167,"v1675119986","0","Industrial",FALSE,6
2022-06-01,"Total industrial",2.395,"v1675119986","0","Industrial",FALSE,6
2022-07-01,"Total industrial",2.909,"v1675119986","0","Industrial",FALSE,6
2022-08-01,"Total industrial",7.608,"v1675119986","0","Industrial",FALSE,6
2022-09-01,"Total industrial",2.997,"v1675119986","0","Industrial",FALSE,6
2022-10-01,"Total industrial",0,"v1675119986","0","Industrial",FALSE,6
2022-11-01,"Total industrial",2.753,"v1675119986","0","Industrial",FALSE,6
2022-12-01,"Total industrial",2.228,"v1675119986","0","Industrial",FALSE,6
2023-01-01,"Total industrial",2.592,"v1675119986","0","Industrial",FALSE,6
2023-02-01,"Total industrial",5.438,"v1675119986","0","Industrial",FALSE,6
2023-03-01,"Total industrial",8.922,"v1675119986","0","Industrial",FALSE,6
2023-04-01,"Total industrial",12.584,"v1675119986","0","Industrial",FALSE,6
2023-05-01,"Total industrial",6.905,"v1675119986","0","Industrial",FALSE,6
2023-06-01,"Total industrial",14.585,"v1675119986","0","Industrial",FALSE,6
2023-07-01,"Total industrial",5.92,"v1675119986","0","Industrial",FALSE,6
2023-08-01,"Total industrial",3.915,"v1675119986","0","Industrial",FALSE,6
2023-09-01,"Total industrial",3.588,"v1675119986","0","Industrial",FALSE,6
2023-10-01,"Total industrial",17.347,"v1675119986","0","Industrial",FALSE,6
2023-11-01,"Total industrial",12.807,"v1675119986","0","Industrial",FALSE,6
2023-12-01,"Total industrial",5.588,"v1675119986","0","Industrial",FALSE,6
2024-01-01,"Total industrial",11.536,"v1675119986","0","Industrial",FALSE,6
2024-02-01,"Total industrial",14.863,"v1675119986","0","Industrial",FALSE,6
2024-03-01,"Total industrial",7.205,"v1675119986","0","Industrial",FALSE,6
2024-04-01,"Total industrial",2.217,"v1675119986","0","Industrial",FALSE,6
2024-05-01,"Total industrial",8.764,"v1675119986","0","Industrial",FALSE,6
2024-06-01,"Total industrial",3.237,"v1675119986","0","Industrial",FALSE,6
