"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2018-01-01,"Total institutional and governmental",18.4,"v1675119988","0","Institutional and Governmental",FALSE,8
2018-02-01,"Total institutional and governmental",5.322,"v1675119988","0","Institutional and Governmental",FALSE,8
2018-03-01,"Total institutional and governmental",6.961,"v1675119988","0","Institutional and Governmental",FALSE,8
2018-04-01,"Total institutional and governmental",1.261,"v1675119988","0","Institutional and Governmental",FALSE,8
2018-05-01,"Total institutional and governmental",5.058,"v1675119988","0","Institutional and Governmental",FALSE,8
2018-06-01,"Total institutional and governmental",0.301,"v1675119988","0","Institutional and Governmental",FALSE,8
2018-07-01,"Total institutional and governmental",10.558,"v1675119988","0","Institutional and Governmental",FALSE,8
2018-08-01,"Total institutional and governmental",0.347,"v1675119988","0","Institutional and Governmental",FALSE,8
2018-09-01,"Total institutional and governmental",4.021,"v1675119988","0","Institutional and Governmental",FALSE,8
2018-10-01,"Total institutional and governmental",0.16,"v1675119988","0","Institutional and Governmental",FALSE,8
2018-11-01,"Total institutional and governmental",7.844,"v1675119988","0","Institutional and Governmental",FALSE,8
2018-12-01,"Total institutional and governmental",2.127,"v1675119988","0","Institutional and Governmental",FALSE,8
2019-01-01,"Total institutional and governmental",1.343,"v1675119988","0","Institutional and Governmental",FALSE,8
2019-02-01,"Total institutional and governmental",2.213,"v1675119988","0","Institutional and Governmental",FALSE,8
2019-03-01,"Total institutional and governmental",8.365,"v1675119988","0","Institutional and Governmental",FALSE,8
2019-04-01,"Total institutional and governmental",2.21,"v1675119988","0","Institutional and Governmental",FALSE,8
2019-05-01,"Total institutional and governmental",8.909,"v1675119988","0","Institutional and Governmental",FALSE,8
2019-06-01,"Total institutional and governmental",1.643,"v1675119988","0","Institutional and Governmental",FALSE,8
2019-07-01,"Total institutional and governmental",3.139,"v1675119988","0","Institutional and Governmental",FALSE,8
2019-08-01,"Total institutional and governmental",3.397,"v1675119988","0","Institutional and Governmental",FALSE,8
2019-09-01,"Total institutional and governmental",1.855,"v1675119988","0","Institutional and Governmental",FALSE,8
2019-10-01,"Total institutional and governmental",3.012,"v1675119988","0","Institutional and Governmental",FALSE,8
2019-11-01,"Total institutional and governmental",1.536,"v1675119988","0","Institutional and Governmental",FALSE,8
2019-12-01,"Total institutional and governmental",5.155,"v1675119988","0","Institutional and Governmental",FALSE,8
2020-01-01,"Total institutional and governmental",1.08,"v1675119988","0","Institutional and Governmental",FALSE,8
2020-02-01,"Total institutional and governmental",1.432,"v1675119988","0","Institutional and Governmental",FALSE,8
2020-03-01,"Total institutional and governmental",0,"v1675119988","0","Institutional and Governmental",FALSE,8
2020-04-01,"Total institutional and governmental",2.155,"v1675119988","0","Institutional and Governmental",FALSE,8
2020-05-01,"Total institutional and governmental",0,"v1675119988","0","Institutional and Governmental",FALSE,8
2020-06-01,"Total institutional and governmental",2.403,"v1675119988","0","Institutional and Governmental",FALSE,8
2020-07-01,"Total institutional and governmental",0,"v1675119988","0","Institutional and Governmental",FALSE,8
2020-08-01,"Total institutional and governmental",2.654,"v1675119988","0","Institutional and Governmental",FALSE,8
2020-09-01,"Total institutional and governmental",4.92,"v1675119988","0","Institutional and Governmental",FALSE,8
2020-10-01,"Total institutional and governmental",0.541,"v1675119988","0","Institutional and Governmental",FALSE,8
2020-11-01,"Total institutional and governmental",1.9,"v1675119988","0","Institutional and Governmental",FALSE,8
2020-12-01,"Total institutional and governmental",1.335,"v1675119988","0","Institutional and Governmental",FALSE,8
2021-01-01,"Total institutional and governmental",1.986,"v1675119988","0","Institutional and Governmental",FALSE,8
2021-02-01,"Total institutional and governmental",2.562,"v1675119988","0","Institutional and Governmental",FALSE,8
2021-03-01,"Total institutional and governmental",1.391,"v1675119988","0","Institutional and Governmental",FALSE,8
2021-04-01,"Total institutional and governmental",5.358,"v1675119988","0","Institutional and Governmental",FALSE,8
2021-05-01,"Total institutional and governmental",2.017,"v1675119988","0","Institutional and Governmental",FALSE,8
