"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2018-01-01,"Multiple dwelling building total",6.917,"v1675119984","0","Multiple Dwelling",FALSE,4
2018-02-01,"Multiple dwelling building total",10.195,"v1675119984","0","Multiple Dwelling",FALSE,4
2018-03-01,"Multiple dwelling building total",21.248,"v1675119984","0","Multiple Dwelling",FALSE,4
2018-04-01,"Multiple dwelling building total",8.593,"v1675119984","0","Multiple Dwelling",FALSE,4
2018-05-01,"Multiple dwelling building total",12.2,"v1675119984","0","Multiple Dwelling",FALSE,4
2018-06-01,"Multiple dwelling building total",0.805,"v1675119984","0","Multiple Dwelling",FALSE,4
2018-07-01,"Multiple dwelling building total",10.901,"v1675119984","0","Multiple Dwelling",FALSE,4
2018-08-01,"Multiple dwelling building total",3.485,"v1675119984","0","Multiple Dwelling",FALSE,4
2018-09-01,"Multiple dwelling building total",11.532,"v1675119984","0","Multiple Dwelling",FALSE,4
2018-10-01,"Multiple dwelling building total",4.529,"v1675119984","0","Multiple Dwelling",FALSE,4
2018-11-01,"Multiple dwelling building total",11.017,"v1675119984","0","Multiple Dwelling",FALSE,4
2018-12-01,"Multiple dwelling building total",4.953,"v1675119984","0","Multiple Dwelling",FALSE,4
2019-01-01,"Multiple dwelling building total",12.439,"v1675119984","0","Multiple Dwelling",FALSE,4
2019-02-01,"Multiple dwelling building total",6.422,"v1675119984","0","Multiple Dwelling",FALSE,4
2019-03-01,"Multiple dwelling building total",7.642,"v1675119984","0","Multiple Dwelling",FALSE,4
2019-04-01,"Multiple dwelling building total",11.582,"v1675119984","0","Multiple Dwelling",FALSE,4
2019-05-01,"Multiple dwelling building total",14.002,"v1675119984","0","Multiple Dwelling",FALSE,4
2019-06-01,"Multiple dwelling building total",18.491,"v1675119984","0","Multiple Dwelling",FALSE,4
2019-07-01,"Multiple dwelling building total",11.082,"v1675119984","0","Multiple Dwelling",FALSE,4
2019-08-01,"Multiple dwelling building total",16.028,"v1675119984","0","Multiple Dwelling",FALSE,4
2019-09-01,"Multiple dwelling building total",5.637,"v1675119984","0","Multiple Dwelling",FALSE,4
2019-10-01,"Multiple dwelling building total",10.072,"v1675119984","0","Multiple Dwelling",FALSE,4
2019-11-01,"Multiple dwelling building total",5.031,"v1675119984","0","Multiple Dwelling",FALSE,4
2019-12-01,"Multiple dwelling building total",0.353,"v1675119984","0","Multiple Dwelling",FALSE,4
2020-01-01,"Multiple dwelling building total",11.845,"v1675119984","0","Multiple Dwelling",FALSE,4
2020-02-01,"Multiple dwelling building total",16.275,"v1675119984","0","Multiple Dwelling",FALSE,4
2020-03-01,"Multiple dwelling building total",5.144,"v1675119984","0","Multiple Dwelling",FALSE,4
2020-04-01,"Multiple dwelling building total",11.865,"v1675119984","0","Multiple Dwelling",FALSE,4
2020-05-01,"Multiple dwelling building total",7.147,"v1675119984","0","Multiple Dwelling",FALSE,4
2020-06-01,"Multiple dwelling building total",2.738,"v1675119984","0","Multiple Dwelling",FALSE,4
2020-07-01,"Multiple dwelling building total",19.238,"v1675119984","0","Multiple Dwelling",FALSE,4
2020-08-01,"Multiple dwelling building total",15.19,"v1675119984","0","Multiple Dwelling",FALSE,4
2020-09-01,"Multiple dwelling building total",6.1,"v1675119984","0","Multiple Dwelling",FALSE,4
2020-10-01,"Multiple dwelling building total",28.299,"v1675119984","0","Multiple Dwelling",FALSE,4
2020-11-01,"Multiple dwelling building total",9.183,"v1675119984","0","Multiple Dwelling",FALSE,4
2020-12-01,"Multiple dwelling building total",48.109,"v1675119984","0","Multiple Dwelling",FALSE,4
2021-01-01,"Multiple dwelling building total",13.015,"v1675119984","0","Multiple Dwelling",FALSE,4
2021-02-01,"Multiple dwelling building total",11.601,"v1675119984","0","Multiple Dwelling",FALSE,4
2021-03-01,"Multiple dwelling building total",15.226,"v1675119984","0","Multiple Dwelling",FALSE,4
2021-04-01,"Multiple dwelling building total",12.207,"v1675119984","0","Multiple Dwelling",FALSE,4
2021-05-01,"Multiple dwelling building total",14.091,"v1675119984","0","Multiple Dwelling",FALSE,4
2021-06-01,"Multiple dwelling building total",31.814,"v1675119984","0","Multiple Dwelling",FALSE,4
2021-07-01,"Multiple dwelling building total",13.206,"v1675119984","0","Multiple Dwelling",FALSE,4
2021-08-01,"Multiple dwelling building total",23.284,"v1675119984","0","Multiple Dwelling",FALSE,4
2021-09-01,"Multiple dwelling building total",39.063,"v1675119984","0","Multiple Dwelling",FALSE,4
2021-10-01,"Multiple dwelling building total",11.528,"v1675119984","0","Multiple Dwelling",FALSE,4
2021-11-01,"Multiple dwelling building total",38.293,"v1675119984","0","Multiple Dwelling",FALSE,4
2021-12-01,"Multiple dwelling building total",5.46,"v1675119984","0","Multiple Dwelling",FALSE,4
2022-01-01,"Multiple dwelling building total",16.624,"v1675119984","0","Multiple Dwelling",FALSE,4
2022-02-01,"Multiple dwelling building total",7.145,"v1675119984","0","Multiple Dwelling",FALSE,4
2022-03-01,"Multiple dwelling building total",37.777,"v1675119984","0","Multiple Dwelling",FALSE,4
2022-04-01,"Multiple dwelling building total",31.602,"v1675119984","0","Multiple Dwelling",FALSE,4
2022-05-01,"Multiple dwelling building total",8.822,"v1675119984","0","Multiple Dwelling",FALSE,4
2022-06-01,"Multiple dwelling building total",22.678,"v1675119984","0","Multiple Dwelling",FALSE,4
2022-07-01,"Multiple dwelling building total",19.146,"v1675119984","0","Multiple Dwelling",FALSE,4
2022-08-01,"Multiple dwelling building total",2.659,"v1675119984","0","Multiple Dwelling",FALSE,4
2022-09-01,"Multiple dwelling building total",15.56,"v1675119984","0","Multiple Dwelling",FALSE,4
2022-10-01,"Multiple dwelling building total",13.568,"v1675119984","0","Multiple Dwelling",FALSE,4
2022-11-01,"Multiple dwelling building total",6.371,"v1675119984","0","Multiple Dwelling",FALSE,4
2022-12-01,"Multiple dwelling building total",21.744,"v1675119984","0","Multiple Dwelling",FALSE,4
2023-01-01,"Multiple dwelling building total",37.211,"v1675119984","0","Multiple Dwelling",FALSE,4
2023-02-01,"Multiple dwelling building total",61.893,"v1675119984","0","Multiple Dwelling",FALSE,4
2023-03-01,"Multiple dwelling building total",11.889,"v1675119984","0","Multiple Dwelling",FALSE,4
2023-04-01,"Multiple dwelling building total",16.91,"v1675119984","0","Multiple Dwelling",FALSE,4
2023-05-01,"Multiple dwelling building total",40.851,"v1675119984","0","Multiple Dwelling",FALSE,4
2023-06-01,"Multiple dwelling building total",5.828,"v1675119984","0","Multiple Dwelling",FALSE,4
2023-07-01,"Multiple dwelling building total",9.759,"v1675119984","0","Multiple Dwelling",FALSE,4
2023-08-01,"Multiple dwelling building total",36.399,"v1675119984","0","Multiple Dwelling",FALSE,4
2023-09-01,"Multiple dwelling building total",11.657,"v1675119984","0","Multiple Dwelling",FALSE,4
2023-10-01,"Multiple dwelling building total",30.277,"v1675119984","0","Multiple Dwelling",FALSE,4
2023-11-01,"Multiple dwelling building total",36.105,"v1675119984","0","Multiple Dwelling",FALSE,4
2023-12-01,"Multiple dwelling building total",19.415,"v1675119984","0","Multiple Dwelling",FALSE,4
2024-01-01,"Multiple dwelling building total",10.646,"v1675119984","0","Multiple Dwelling",FALSE,4
2024-02-01,"Multiple dwelling building total",12.735,"v1675119984","0","Multiple Dwelling",FALSE,4
2024-03-01,"Multiple dwelling building total",8.855,"v1675119984","0","Multiple Dwelling",FALSE,4
2024-04-01,"Multiple dwelling building total",14.851,"v1675119984","0","Multiple Dwelling",FALSE,4
2024-05-01,"Multiple dwelling building total",36.983,"v1675119984","0","Multiple Dwelling",FALSE,4
2024-06-01,"Multiple dwelling building total",38.329,"v1675119984","0","Multiple Dwelling",FALSE,4
2024-07-01,"Multiple dwelling building total",55.53,"v1675119984","0","Multiple Dwelling",FALSE,4
2024-08-01,"Multiple dwelling building total",38.819,"v1675119984","0","Multiple Dwelling",FALSE,4
2024-09-01,"Multiple dwelling building total",52.262,"v1675119984","0","Multiple Dwelling",FALSE,4
2024-10-01,"Multiple dwelling building total",15.714,"v1675119984","0","Multiple Dwelling",FALSE,4
2024-11-01,"Multiple dwelling building total",22.098,"v1675119984","0","Multiple Dwelling",FALSE,4
2024-12-01,"Multiple dwelling building total",23.279,"v1675119984","0","Multiple Dwelling",FALSE,4
2025-01-01,"Multiple dwelling building total",22.625,"v1675119984","0","Multiple Dwelling",FALSE,4
2025-02-01,"Multiple dwelling building total",33.361,"v1675119984","0","Multiple Dwelling",FALSE,4
2025-03-01,"Multiple dwelling building total",42.003,"v1675119984","0","Multiple Dwelling",FALSE,4
2025-04-01,"Multiple dwelling building total",49.918,"v1675119984","0","Multiple Dwelling",FALSE,4
2025-05-01,"Multiple dwelling building total",22.858,"v1675119984","0","Multiple Dwelling",FALSE,4
2025-06-01,"Multiple dwelling building total",24.149,"v1675119984","0","Multiple Dwelling",FALSE,4
2025-07-01,"Multiple dwelling building total",28.291,"v1675119984","0","Multiple Dwelling",FALSE,4
2025-08-01,"Multiple dwelling building total",24.516,"v1675119984","0","Multiple Dwelling",FALSE,4
2025-09-01,"Multiple dwelling building total",28.876,"v1675119984","0","Multiple Dwelling",FALSE,4
2025-10-01,"Multiple dwelling building total",60.054,"v1675119984","0","Multiple Dwelling",FALSE,4
2025-11-01,"Multiple dwelling building total",33.032,"v1675119984","0","Multiple Dwelling",FALSE,4
2025-12-01,"Multiple dwelling building total",47.782,"v1675119984","0","Multiple Dwelling",FALSE,4
2026-01-01,"Multiple dwelling building total",52.159,"v1675119984","0","Multiple Dwelling",FALSE,4
2026-02-01,"Multiple dwelling building total",27.743,"v1675119984","0","Multiple Dwelling",FALSE,4
2026-03-01,"Multiple dwelling building total",56.876,"v1675119984","0","Multiple Dwelling",FALSE,4
2026-04-01,"Multiple dwelling building total",46.381,"v1675119984","0","Multiple Dwelling",FALSE,4
2026-05-01,"Multiple dwelling building total",35.097,"v1675119984","0","Multiple Dwelling",FALSE,4
2026-06-01,"Multiple dwelling building total",56.243,"v1675119984","0","Multiple Dwelling",FALSE,4
