"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2018-01-01,"Total non-residential",56.334,"v1675119985","0","Total Non-Residential",FALSE,5
2018-02-01,"Total non-residential",22.678,"v1675119985","0","Total Non-Residential",FALSE,5
2018-03-01,"Total non-residential",33.797,"v1675119985","0","Total Non-Residential",FALSE,5
2018-04-01,"Total non-residential",43.997,"v1675119985","0","Total Non-Residential",FALSE,5
2018-05-01,"Total non-residential",29.749,"v1675119985","0","Total Non-Residential",FALSE,5
2018-06-01,"Total non-residential",25.541,"v1675119985","0","Total Non-Residential",FALSE,5
2018-07-01,"Total non-residential",38.586,"v1675119985","0","Total Non-Residential",FALSE,5
2018-08-01,"Total non-residential",16.921,"v1675119985","0","Total Non-Residential",FALSE,5
2018-09-01,"Total non-residential",43.52,"v1675119985","0","Total Non-Residential",FALSE,5
2018-10-01,"Total non-residential",32.128,"v1675119985","0","Total Non-Residential",FALSE,5
2018-11-01,"Total non-residential",32.917,"v1675119985","0","Total Non-Residential",FALSE,5
2018-12-01,"Total non-residential",54.601,"v1675119985","0","Total Non-Residential",FALSE,5
2019-01-01,"Total non-residential",31.667,"v1675119985","0","Total Non-Residential",FALSE,5
2019-02-01,"Total non-residential",37.276,"v1675119985","0","Total Non-Residential",FALSE,5
2019-03-01,"Total non-residential",42.253,"v1675119985","0","Total Non-Residential",FALSE,5
2019-04-01,"Total non-residential",71.195,"v1675119985","0","Total Non-Residential",FALSE,5
2019-05-01,"Total non-residential",42.252,"v1675119985","0","Total Non-Residential",FALSE,5
2019-06-01,"Total non-residential",36.221,"v1675119985","0","Total Non-Residential",FALSE,5
2019-07-01,"Total non-residential",29.483,"v1675119985","0","Total Non-Residential",FALSE,5
2019-08-01,"Total non-residential",34.377,"v1675119985","0","Total Non-Residential",FALSE,5
2019-09-01,"Total non-residential",31.892,"v1675119985","0","Total Non-Residential",FALSE,5
2019-10-01,"Total non-residential",31.907,"v1675119985","0","Total Non-Residential",FALSE,5
2019-11-01,"Total non-residential",21.397,"v1675119985","0","Total Non-Residential",FALSE,5
2019-12-01,"Total non-residential",24.036,"v1675119985","0","Total Non-Residential",FALSE,5
2020-01-01,"Total non-residential",26.928,"v1675119985","0","Total Non-Residential",FALSE,5
2020-02-01,"Total non-residential",18.631,"v1675119985","0","Total Non-Residential",FALSE,5
2020-03-01,"Total non-residential",23.357,"v1675119985","0","Total Non-Residential",FALSE,5
2020-04-01,"Total non-residential",9.945,"v1675119985","0","Total Non-Residential",FALSE,5
2020-05-01,"Total non-residential",9.087,"v1675119985","0","Total Non-Residential",FALSE,5
2020-06-01,"Total non-residential",13.293,"v1675119985","0","Total Non-Residential",FALSE,5
2020-07-01,"Total non-residential",12.512,"v1675119985","0","Total Non-Residential",FALSE,5
2020-08-01,"Total non-residential",13.999,"v1675119985","0","Total Non-Residential",FALSE,5
2020-09-01,"Total non-residential",11.774,"v1675119985","0","Total Non-Residential",FALSE,5
2020-10-01,"Total non-residential",10.398,"v1675119985","0","Total Non-Residential",FALSE,5
2020-11-01,"Total non-residential",17.958,"v1675119985","0","Total Non-Residential",FALSE,5
2020-12-01,"Total non-residential",10.778,"v1675119985","0","Total Non-Residential",FALSE,5
2021-01-01,"Total non-residential",14.653,"v1675119985","0","Total Non-Residential",FALSE,5
2021-02-01,"Total non-residential",33.648,"v1675119985","0","Total Non-Residential",FALSE,5
2021-03-01,"Total non-residential",16.989,"v1675119985","0","Total Non-Residential",FALSE,5
2021-04-01,"Total non-residential",13.673,"v1675119985","0","Total Non-Residential",FALSE,5
2021-05-01,"Total non-residential",35.586,"v1675119985","0","Total Non-Residential",FALSE,5
2021-06-01,"Total non-residential",27.839,"v1675119985","0","Total Non-Residential",FALSE,5
2021-07-01,"Total non-residential",23.143,"v1675119985","0","Total Non-Residential",FALSE,5
2021-08-01,"Total non-residential",21.948,"v1675119985","0","Total Non-Residential",FALSE,5
2021-09-01,"Total non-residential",24.546,"v1675119985","0","Total Non-Residential",FALSE,5
2021-10-01,"Total non-residential",24.572,"v1675119985","0","Total Non-Residential",FALSE,5
2021-11-01,"Total non-residential",27.379,"v1675119985","0","Total Non-Residential",FALSE,5
2021-12-01,"Total non-residential",28.768,"v1675119985","0","Total Non-Residential",FALSE,5
2022-01-01,"Total non-residential",36.44,"v1675119985","0","Total Non-Residential",FALSE,5
2022-02-01,"Total non-residential",18.594,"v1675119985","0","Total Non-Residential",FALSE,5
2022-03-01,"Total non-residential",20.614,"v1675119985","0","Total Non-Residential",FALSE,5
2022-04-01,"Total non-residential",31.477,"v1675119985","0","Total Non-Residential",FALSE,5
2022-05-01,"Total non-residential",16.776,"v1675119985","0","Total Non-Residential",FALSE,5
2022-06-01,"Total non-residential",24.417,"v1675119985","0","Total Non-Residential",FALSE,5
2022-07-01,"Total non-residential",32.438,"v1675119985","0","Total Non-Residential",FALSE,5
2022-08-01,"Total non-residential",37.798,"v1675119985","0","Total Non-Residential",FALSE,5
2022-09-01,"Total non-residential",30.922,"v1675119985","0","Total Non-Residential",FALSE,5
2022-10-01,"Total non-residential",30.471,"v1675119985","0","Total Non-Residential",FALSE,5
2022-11-01,"Total non-residential",35.878,"v1675119985","0","Total Non-Residential",FALSE,5
2022-12-01,"Total non-residential",23.326,"v1675119985","0","Total Non-Residential",FALSE,5
2023-01-01,"Total non-residential",27.282,"v1675119985","0","Total Non-Residential",FALSE,5
2023-02-01,"Total non-residential",22.293,"v1675119985","0","Total Non-Residential",FALSE,5
2023-03-01,"Total non-residential",35.633,"v1675119985","0","Total Non-Residential",FALSE,5
2023-04-01,"Total non-residential",37.529,"v1675119985","0","Total Non-Residential",FALSE,5
2023-05-01,"Total non-residential",36.068,"v1675119985","0","Total Non-Residential",FALSE,5
2023-06-01,"Total non-residential",48.634,"v1675119985","0","Total Non-Residential",FALSE,5
2023-07-01,"Total non-residential",21.953,"v1675119985","0","Total Non-Residential",FALSE,5
2023-08-01,"Total non-residential",37.301,"v1675119985","0","Total Non-Residential",FALSE,5
2023-09-01,"Total non-residential",48.959,"v1675119985","0","Total Non-Residential",FALSE,5
2023-10-01,"Total non-residential",42.493,"v1675119985","0","Total Non-Residential",FALSE,5
2023-11-01,"Total non-residential",19.392,"v1675119985","0","Total Non-Residential",FALSE,5
2023-12-01,"Total non-residential",36.669,"v1675119985","0","Total Non-Residential",FALSE,5
2024-01-01,"Total non-residential",23.317,"v1675119985","0","Total Non-Residential",FALSE,5
2024-02-01,"Total non-residential",38.691,"v1675119985","0","Total Non-Residential",FALSE,5
2024-03-01,"Total non-residential",39.843,"v1675119985","0","Total Non-Residential",FALSE,5
