"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2018-01-01,"Total residential",33.138,"v1675119982","0","Total Residential",FALSE,2
2018-02-01,"Total residential",32.65,"v1675119982","0","Total Residential",FALSE,2
2018-03-01,"Total residential",44.715,"v1675119982","0","Total Residential",FALSE,2
2018-04-01,"Total residential",30.679,"v1675119982","0","Total Residential",FALSE,2
2018-05-01,"Total residential",34.142,"v1675119982","0","Total Residential",FALSE,2
2018-06-01,"Total residential",28.753,"v1675119982","0","Total Residential",FALSE,2
2018-07-01,"Total residential",32.522,"v1675119982","0","Total Residential",FALSE,2
2018-08-01,"Total residential",31.112,"v1675119982","0","Total Residential",FALSE,2
2018-09-01,"Total residential",36.848,"v1675119982","0","Total Residential",FALSE,2
2018-10-01,"Total residential",30.409,"v1675119982","0","Total Residential",FALSE,2
2018-11-01,"Total residential",37.254,"v1675119982","0","Total Residential",FALSE,2
2018-12-01,"Total residential",38.573,"v1675119982","0","Total Residential",FALSE,2
2019-01-01,"Total residential",42.367,"v1675119982","0","Total Residential",FALSE,2
2019-02-01,"Total residential",20.363,"v1675119982","0","Total Residential",FALSE,2
2019-03-01,"Total residential",22.156,"v1675119982","0","Total Residential",FALSE,2
2019-04-01,"Total residential",27.377,"v1675119982","0","Total Residential",FALSE,2
2019-05-01,"Total residential",34.41,"v1675119982","0","Total Residential",FALSE,2
2019-06-01,"Total residential",39.442,"v1675119982","0","Total Residential",FALSE,2
2019-07-01,"Total residential",35.07,"v1675119982","0","Total Residential",FALSE,2
2019-08-01,"Total residential",36.802,"v1675119982","0","Total Residential",FALSE,2
2019-09-01,"Total residential",26.858,"v1675119982","0","Total Residential",FALSE,2
2019-10-01,"Total residential",37.901,"v1675119982","0","Total Residential",FALSE,2
2019-11-01,"Total residential",26.593,"v1675119982","0","Total Residential",FALSE,2
2019-12-01,"Total residential",15.829,"v1675119982","0","Total Residential",FALSE,2
2020-01-01,"Total residential",34.403,"v1675119982","0","Total Residential",FALSE,2
2020-02-01,"Total residential",34.513,"v1675119982","0","Total Residential",FALSE,2
2020-03-01,"Total residential",26.322,"v1675119982","0","Total Residential",FALSE,2
2020-04-01,"Total residential",31.305,"v1675119982","0","Total Residential",FALSE,2
2020-05-01,"Total residential",27.574,"v1675119982","0","Total Residential",FALSE,2
2020-06-01,"Total residential",21.102,"v1675119982","0","Total Residential",FALSE,2
2020-07-01,"Total residential",42.61,"v1675119982","0","Total Residential",FALSE,2
2020-08-01,"Total residential",42.51,"v1675119982","0","Total Residential",FALSE,2
