"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2018-01-01,"Single dwelling building total",26.221,"v1675119983","0","Single Dwelling",FALSE,3
2018-02-01,"Single dwelling building total",22.455,"v1675119983","0","Single Dwelling",FALSE,3
2018-03-01,"Single dwelling building total",23.466,"v1675119983","0","Single Dwelling",FALSE,3
2018-04-01,"Single dwelling building total",22.087,"v1675119983","0","Single Dwelling",FALSE,3
2018-05-01,"Single dwelling building total",21.942,"v1675119983","0","Single Dwelling",FALSE,3
2018-06-01,"Single dwelling building total",27.948,"v1675119983","0","Single Dwelling",FALSE,3
2018-07-01,"Single dwelling building total",21.621,"v1675119983","0","Single Dwelling",FALSE,3
2018-08-01,"Single dwelling building total",27.628,"v1675119983","0","Single Dwelling",FALSE,3
2018-09-01,"Single dwelling building total",25.316,"v1675119983","0","Single Dwelling",FALSE,3
2018-10-01,"Single dwelling building total",25.881,"v1675119983","0","Single Dwelling",FALSE,3
2018-11-01,"Single dwelling building total",26.237,"v1675119983","0","Single Dwelling",FALSE,3
2018-12-01,"Single dwelling building total",33.62,"v1675119983","0","Single Dwelling",FALSE,3
2019-01-01,"Single dwelling building total",29.928,"v1675119983","0","Single Dwelling",FALSE,3
2019-02-01,"Single dwelling building total",13.94,"v1675119983","0","Single Dwelling",FALSE,3
2019-03-01,"Single dwelling building total",14.514,"v1675119983","0","Single Dwelling",FALSE,3
2019-04-01,"Single dwelling building total",15.795,"v1675119983","0","Single Dwelling",FALSE,3
2019-05-01,"Single dwelling building total",20.408,"v1675119983","0","Single Dwelling",FALSE,3
2019-06-01,"Single dwelling building total",20.951,"v1675119983","0","Single Dwelling",FALSE,3
2019-07-01,"Single dwelling building total",23.988,"v1675119983","0","Single Dwelling",FALSE,3
2019-08-01,"Single dwelling building total",20.774,"v1675119983","0","Single Dwelling",FALSE,3
2019-09-01,"Single dwelling building total",21.221,"v1675119983","0","Single Dwelling",FALSE,3
2019-10-01,"Single dwelling building total",27.829,"v1675119983","0","Single Dwelling",FALSE,3
2019-11-01,"Single dwelling building total",21.562,"v1675119983","0","Single Dwelling",FALSE,3
2019-12-01,"Single dwelling building total",15.476,"v1675119983","0","Single Dwelling",FALSE,3
2020-01-01,"Single dwelling building total",22.558,"v1675119983","0","Single Dwelling",FALSE,3
2020-02-01,"Single dwelling building total",18.237,"v1675119983","0","Single Dwelling",FALSE,3
2020-03-01,"Single dwelling building total",21.178,"v1675119983","0","Single Dwelling",FALSE,3
2020-04-01,"Single dwelling building total",19.44,"v1675119983","0","Single Dwelling",FALSE,3
2020-05-01,"Single dwelling building total",20.427,"v1675119983","0","Single Dwelling",FALSE,3
2020-06-01,"Single dwelling building total",18.364,"v1675119983","0","Single Dwelling",FALSE,3
2020-07-01,"Single dwelling building total",23.372,"v1675119983","0","Single Dwelling",FALSE,3
2020-08-01,"Single dwelling building total",27.32,"v1675119983","0","Single Dwelling",FALSE,3
2020-09-01,"Single dwelling building total",29.492,"v1675119983","0","Single Dwelling",FALSE,3
2020-10-01,"Single dwelling building total",30.365,"v1675119983","0","Single Dwelling",FALSE,3
2020-11-01,"Single dwelling building total",35.39,"v1675119983","0","Single Dwelling",FALSE,3
2020-12-01,"Single dwelling building total",37.294,"v1675119983","0","Single Dwelling",FALSE,3
2021-01-01,"Single dwelling building total",37.749,"v1675119983","0","Single Dwelling",FALSE,3
2021-02-01,"Single dwelling building total",43.327,"v1675119983","0","Single Dwelling",FALSE,3
2021-03-01,"Single dwelling building total",33.031,"v1675119983","0","Single Dwelling",FALSE,3
2021-04-01,"Single dwelling building total",39.633,"v1675119983","0","Single Dwelling",FALSE,3
2021-05-01,"Single dwelling building total",27.884,"v1675119983","0","Single Dwelling",FALSE,3
2021-06-01,"Single dwelling building total",29.866,"v1675119983","0","Single Dwelling",FALSE,3
2021-07-01,"Single dwelling building total",27.819,"v1675119983","0","Single Dwelling",FALSE,3
2021-08-01,"Single dwelling building total",17.178,"v1675119983","0","Single Dwelling",FALSE,3
2021-09-01,"Single dwelling building total",32.1,"v1675119983","0","Single Dwelling",FALSE,3
2021-10-01,"Single dwelling building total",29.776,"v1675119983","0","Single Dwelling",FALSE,3
2021-11-01,"Single dwelling building total",34.694,"v1675119983","0","Single Dwelling",FALSE,3
2021-12-01,"Single dwelling building total",34.679,"v1675119983","0","Single Dwelling",FALSE,3
