"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2018-01-01,"Total residential and non-residential",89.472,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2018-02-01,"Total residential and non-residential",55.328,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2018-03-01,"Total residential and non-residential",78.512,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2018-04-01,"Total residential and non-residential",74.676,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2018-05-01,"Total residential and non-residential",63.891,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2018-06-01,"Total residential and non-residential",54.294,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2018-07-01,"Total residential and non-residential",71.108,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2018-08-01,"Total residential and non-residential",48.033,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2018-09-01,"Total residential and non-residential",80.368,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2018-10-01,"Total residential and non-residential",62.538,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2018-11-01,"Total residential and non-residential",70.171,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2018-12-01,"Total residential and non-residential",93.174,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2019-01-01,"Total residential and non-residential",74.034,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2019-02-01,"Total residential and non-residential",57.639,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2019-03-01,"Total residential and non-residential",64.409,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2019-04-01,"Total residential and non-residential",98.572,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2019-05-01,"Total residential and non-residential",76.662,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2019-06-01,"Total residential and non-residential",75.663,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2019-07-01,"Total residential and non-residential",64.553,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2019-08-01,"Total residential and non-residential",71.179,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2019-09-01,"Total residential and non-residential",58.75,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2019-10-01,"Total residential and non-residential",69.808,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2019-11-01,"Total residential and non-residential",47.99,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2019-12-01,"Total residential and non-residential",39.864,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2020-01-01,"Total residential and non-residential",61.33,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2020-02-01,"Total residential and non-residential",53.143,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2020-03-01,"Total residential and non-residential",49.68,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2020-04-01,"Total residential and non-residential",41.251,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2020-05-01,"Total residential and non-residential",36.661,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2020-06-01,"Total residential and non-residential",34.395,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2020-07-01,"Total residential and non-residential",55.122,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2020-08-01,"Total residential and non-residential",56.509,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
2020-09-01,"Total residential and non-residential",47.367,"v1675119981","0","Total — Residential and Non-Residential",FALSE,1
