"date","label","value","VECTOR","DECIMALS","is_ratio","group","display_order"
2011-03-01,"Construction",12.5,"v1642751209","1",FALSE,"Industry",5
2011-04-01,"Construction",12.8,"v1642751209","1",FALSE,"Industry",5
2011-05-01,"Construction",13.2,"v1642751209","1",FALSE,"Industry",5
2011-06-01,"Construction",13.9,"v1642751209","1",FALSE,"Industry",5
2011-07-01,"Construction",14.3,"v1642751209","1",FALSE,"Industry",5
2011-08-01,"Construction",14.1,"v1642751209","1",FALSE,"Industry",5
2011-09-01,"Construction",13,"v1642751209","1",FALSE,"Industry",5
2011-10-01,"Construction",12.2,"v1642751209","1",FALSE,"Industry",5
2011-11-01,"Construction",11.7,"v1642751209","1",FALSE,"Industry",5
2011-12-01,"Construction",12,"v1642751209","1",FALSE,"Industry",5
2012-01-01,"Construction",12.2,"v1642751209","1",FALSE,"Industry",5
2012-02-01,"Construction",13.3,"v1642751209","1",FALSE,"Industry",5
2012-03-01,"Construction",14.3,"v1642751209","1",FALSE,"Industry",5
2012-04-01,"Construction",16.1,"v1642751209","1",FALSE,"Industry",5
2012-05-01,"Construction",17.2,"v1642751209","1",FALSE,"Industry",5
2012-06-01,"Construction",18.3,"v1642751209","1",FALSE,"Industry",5
2012-07-01,"Construction",19,"v1642751209","1",FALSE,"Industry",5
2012-08-01,"Construction",18.6,"v1642751209","1",FALSE,"Industry",5
2012-09-01,"Construction",18,"v1642751209","1",FALSE,"Industry",5
2012-10-01,"Construction",16.8,"v1642751209","1",FALSE,"Industry",5
2012-11-01,"Construction",16,"v1642751209","1",FALSE,"Industry",5
2012-12-01,"Construction",16,"v1642751209","1",FALSE,"Industry",5
2013-01-01,"Construction",16.5,"v1642751209","1",FALSE,"Industry",5
2013-02-01,"Construction",17.2,"v1642751209","1",FALSE,"Industry",5
2013-03-01,"Construction",17.3,"v1642751209","1",FALSE,"Industry",5
2013-04-01,"Construction",16.9,"v1642751209","1",FALSE,"Industry",5
2013-05-01,"Construction",17.4,"v1642751209","1",FALSE,"Industry",5
2013-06-01,"Construction",18.4,"v1642751209","1",FALSE,"Industry",5
2013-07-01,"Construction",20.5,"v1642751209","1",FALSE,"Industry",5
2013-08-01,"Construction",21.3,"v1642751209","1",FALSE,"Industry",5
2013-09-01,"Construction",20.6,"v1642751209","1",FALSE,"Industry",5
2013-10-01,"Construction",19.2,"v1642751209","1",FALSE,"Industry",5
2013-11-01,"Construction",18,"v1642751209","1",FALSE,"Industry",5
2013-12-01,"Construction",17.9,"v1642751209","1",FALSE,"Industry",5
2014-01-01,"Construction",16.6,"v1642751209","1",FALSE,"Industry",5
2014-02-01,"Construction",16.1,"v1642751209","1",FALSE,"Industry",5
2014-03-01,"Construction",16,"v1642751209","1",FALSE,"Industry",5
2014-04-01,"Construction",17.3,"v1642751209","1",FALSE,"Industry",5
2014-05-01,"Construction",18.4,"v1642751209","1",FALSE,"Industry",5
2014-06-01,"Construction",19.2,"v1642751209","1",FALSE,"Industry",5
2014-07-01,"Construction",20.3,"v1642751209","1",FALSE,"Industry",5
2014-08-01,"Construction",20.3,"v1642751209","1",FALSE,"Industry",5
2014-09-01,"Construction",19.9,"v1642751209","1",FALSE,"Industry",5
2014-10-01,"Construction",18.9,"v1642751209","1",FALSE,"Industry",5
2014-11-01,"Construction",19.3,"v1642751209","1",FALSE,"Industry",5
2014-12-01,"Construction",18.8,"v1642751209","1",FALSE,"Industry",5
2015-01-01,"Construction",17.5,"v1642751209","1",FALSE,"Industry",5
2015-02-01,"Construction",16.7,"v1642751209","1",FALSE,"Industry",5
2015-03-01,"Construction",16.8,"v1642751209","1",FALSE,"Industry",5
2015-04-01,"Construction",18.1,"v1642751209","1",FALSE,"Industry",5
