"date","label","value","VECTOR","DECIMALS","is_ratio","group","display_order"
2011-03-01,"Educational services",14.4,"v1642751217","1",FALSE,"Industry",13
2011-04-01,"Educational services",14.6,"v1642751217","1",FALSE,"Industry",13
2011-05-01,"Educational services",15,"v1642751217","1",FALSE,"Industry",13
2011-06-01,"Educational services",14.6,"v1642751217","1",FALSE,"Industry",13
2011-07-01,"Educational services",13.7,"v1642751217","1",FALSE,"Industry",13
2011-08-01,"Educational services",13,"v1642751217","1",FALSE,"Industry",13
2011-09-01,"Educational services",13.1,"v1642751217","1",FALSE,"Industry",13
2011-10-01,"Educational services",14.3,"v1642751217","1",FALSE,"Industry",13
2011-11-01,"Educational services",14.9,"v1642751217","1",FALSE,"Industry",13
2011-12-01,"Educational services",15.7,"v1642751217","1",FALSE,"Industry",13
2012-01-01,"Educational services",15.7,"v1642751217","1",FALSE,"Industry",13
2012-02-01,"Educational services",16,"v1642751217","1",FALSE,"Industry",13
2012-03-01,"Educational services",15.6,"v1642751217","1",FALSE,"Industry",13
2012-04-01,"Educational services",15.5,"v1642751217","1",FALSE,"Industry",13
2012-05-01,"Educational services",14.9,"v1642751217","1",FALSE,"Industry",13
2012-06-01,"Educational services",14.4,"v1642751217","1",FALSE,"Industry",13
2012-07-01,"Educational services",13,"v1642751217","1",FALSE,"Industry",13
2012-08-01,"Educational services",12.2,"v1642751217","1",FALSE,"Industry",13
2012-09-01,"Educational services",11.8,"v1642751217","1",FALSE,"Industry",13
2012-10-01,"Educational services",12.6,"v1642751217","1",FALSE,"Industry",13
2012-11-01,"Educational services",14,"v1642751217","1",FALSE,"Industry",13
2012-12-01,"Educational services",15.1,"v1642751217","1",FALSE,"Industry",13
2013-01-01,"Educational services",15.6,"v1642751217","1",FALSE,"Industry",13
2013-02-01,"Educational services",15.8,"v1642751217","1",FALSE,"Industry",13
2013-03-01,"Educational services",16.1,"v1642751217","1",FALSE,"Industry",13
2013-04-01,"Educational services",16.5,"v1642751217","1",FALSE,"Industry",13
2013-05-01,"Educational services",16.9,"v1642751217","1",FALSE,"Industry",13
2013-06-01,"Educational services",16.5,"v1642751217","1",FALSE,"Industry",13
2013-07-01,"Educational services",15.3,"v1642751217","1",FALSE,"Industry",13
2013-08-01,"Educational services",13.3,"v1642751217","1",FALSE,"Industry",13
2013-09-01,"Educational services",13.4,"v1642751217","1",FALSE,"Industry",13
2013-10-01,"Educational services",14.8,"v1642751217","1",FALSE,"Industry",13
2013-11-01,"Educational services",16.5,"v1642751217","1",FALSE,"Industry",13
2013-12-01,"Educational services",16.7,"v1642751217","1",FALSE,"Industry",13
2014-01-01,"Educational services",16.4,"v1642751217","1",FALSE,"Industry",13
2014-02-01,"Educational services",16.8,"v1642751217","1",FALSE,"Industry",13
2014-03-01,"Educational services",17.1,"v1642751217","1",FALSE,"Industry",13
2014-04-01,"Educational services",17.1,"v1642751217","1",FALSE,"Industry",13
2014-05-01,"Educational services",17.4,"v1642751217","1",FALSE,"Industry",13
2014-06-01,"Educational services",17.7,"v1642751217","1",FALSE,"Industry",13
2014-07-01,"Educational services",17.5,"v1642751217","1",FALSE,"Industry",13
2014-08-01,"Educational services",16.4,"v1642751217","1",FALSE,"Industry",13
2014-09-01,"Educational services",15.9,"v1642751217","1",FALSE,"Industry",13
2014-10-01,"Educational services",15.9,"v1642751217","1",FALSE,"Industry",13
2014-11-01,"Educational services",16.2,"v1642751217","1",FALSE,"Industry",13
2014-12-01,"Educational services",16.2,"v1642751217","1",FALSE,"Industry",13
2015-01-01,"Educational services",16.3,"v1642751217","1",FALSE,"Industry",13
2015-02-01,"Educational services",16,"v1642751217","1",FALSE,"Industry",13
2015-03-01,"Educational services",15.7,"v1642751217","1",FALSE,"Industry",13
2015-04-01,"Educational services",16,"v1642751217","1",FALSE,"Industry",13
2015-05-01,"Educational services",16.8,"v1642751217","1",FALSE,"Industry",13
2015-06-01,"Educational services",17.3,"v1642751217","1",FALSE,"Industry",13
2015-07-01,"Educational services",15.5,"v1642751217","1",FALSE,"Industry",13
2015-08-01,"Educational services",13.9,"v1642751217","1",FALSE,"Industry",13
2015-09-01,"Educational services",13,"v1642751217","1",FALSE,"Industry",13
2015-10-01,"Educational services",13.4,"v1642751217","1",FALSE,"Industry",13
2015-11-01,"Educational services",13.8,"v1642751217","1",FALSE,"Industry",13
2015-12-01,"Educational services",13.5,"v1642751217","1",FALSE,"Industry",13
2016-01-01,"Educational services",13.8,"v1642751217","1",FALSE,"Industry",13
2016-02-01,"Educational services",13.9,"v1642751217","1",FALSE,"Industry",13
2016-03-01,"Educational services",14.1,"v1642751217","1",FALSE,"Industry",13
2016-04-01,"Educational services",14.5,"v1642751217","1",FALSE,"Industry",13
2016-05-01,"Educational services",14.7,"v1642751217","1",FALSE,"Industry",13
2016-06-01,"Educational services",15.1,"v1642751217","1",FALSE,"Industry",13
2016-07-01,"Educational services",14.6,"v1642751217","1",FALSE,"Industry",13
2016-08-01,"Educational services",14,"v1642751217","1",FALSE,"Industry",13
2016-09-01,"Educational services",14,"v1642751217","1",FALSE,"Industry",13
2016-10-01,"Educational services",14.9,"v1642751217","1",FALSE,"Industry",13
2016-11-01,"Educational services",15.9,"v1642751217","1",FALSE,"Industry",13
2016-12-01,"Educational services",16.3,"v1642751217","1",FALSE,"Industry",13
2017-01-01,"Educational services",16,"v1642751217","1",FALSE,"Industry",13
2017-02-01,"Educational services",15.7,"v1642751217","1",FALSE,"Industry",13
2017-03-01,"Educational services",15.6,"v1642751217","1",FALSE,"Industry",13
2017-04-01,"Educational services",15.8,"v1642751217","1",FALSE,"Industry",13
2017-05-01,"Educational services",16.4,"v1642751217","1",FALSE,"Industry",13
2017-06-01,"Educational services",16.1,"v1642751217","1",FALSE,"Industry",13
2017-07-01,"Educational services",14.7,"v1642751217","1",FALSE,"Industry",13
2017-08-01,"Educational services",13.5,"v1642751217","1",FALSE,"Industry",13
2017-09-01,"Educational services",13.6,"v1642751217","1",FALSE,"Industry",13
2017-10-01,"Educational services",14.9,"v1642751217","1",FALSE,"Industry",13
2017-11-01,"Educational services",15.3,"v1642751217","1",FALSE,"Industry",13
2017-12-01,"Educational services",14.7,"v1642751217","1",FALSE,"Industry",13
2018-01-01,"Educational services",13.8,"v1642751217","1",FALSE,"Industry",13
2018-02-01,"Educational services",13.5,"v1642751217","1",FALSE,"Industry",13
2018-03-01,"Educational services",13.3,"v1642751217","1",FALSE,"Industry",13
2018-04-01,"Educational services",13.2,"v1642751217","1",FALSE,"Industry",13
2018-05-01,"Educational services",13.3,"v1642751217","1",FALSE,"Industry",13
