"date","label","value","VECTOR","DECIMALS","is_ratio","group","display_order"
2011-03-01,"Goods-producing sector",29.6,"v1642751205","1",FALSE,"Industry",1
2011-04-01,"Goods-producing sector",30.1,"v1642751205","1",FALSE,"Industry",1
2011-05-01,"Goods-producing sector",30.4,"v1642751205","1",FALSE,"Industry",1
2011-06-01,"Goods-producing sector",31.1,"v1642751205","1",FALSE,"Industry",1
2011-07-01,"Goods-producing sector",31.7,"v1642751205","1",FALSE,"Industry",1
2011-08-01,"Goods-producing sector",31.7,"v1642751205","1",FALSE,"Industry",1
2011-09-01,"Goods-producing sector",30.1,"v1642751205","1",FALSE,"Industry",1
2011-10-01,"Goods-producing sector",28.8,"v1642751205","1",FALSE,"Industry",1
2011-11-01,"Goods-producing sector",27.6,"v1642751205","1",FALSE,"Industry",1
2011-12-01,"Goods-producing sector",27.9,"v1642751205","1",FALSE,"Industry",1
2012-01-01,"Goods-producing sector",29.2,"v1642751205","1",FALSE,"Industry",1
2012-02-01,"Goods-producing sector",31.1,"v1642751205","1",FALSE,"Industry",1
2012-03-01,"Goods-producing sector",32.6,"v1642751205","1",FALSE,"Industry",1
2012-04-01,"Goods-producing sector",33.8,"v1642751205","1",FALSE,"Industry",1
2012-05-01,"Goods-producing sector",35.3,"v1642751205","1",FALSE,"Industry",1
2012-06-01,"Goods-producing sector",37.1,"v1642751205","1",FALSE,"Industry",1
2012-07-01,"Goods-producing sector",38.9,"v1642751205","1",FALSE,"Industry",1
2012-08-01,"Goods-producing sector",38.7,"v1642751205","1",FALSE,"Industry",1
2012-09-01,"Goods-producing sector",37.8,"v1642751205","1",FALSE,"Industry",1
2012-10-01,"Goods-producing sector",36.4,"v1642751205","1",FALSE,"Industry",1
2012-11-01,"Goods-producing sector",35.6,"v1642751205","1",FALSE,"Industry",1
2012-12-01,"Goods-producing sector",36,"v1642751205","1",FALSE,"Industry",1
2013-01-01,"Goods-producing sector",36.8,"v1642751205","1",FALSE,"Industry",1
2013-02-01,"Goods-producing sector",38.4,"v1642751205","1",FALSE,"Industry",1
2013-03-01,"Goods-producing sector",39.1,"v1642751205","1",FALSE,"Industry",1
2013-04-01,"Goods-producing sector",39.2,"v1642751205","1",FALSE,"Industry",1
2013-05-01,"Goods-producing sector",40.2,"v1642751205","1",FALSE,"Industry",1
2013-06-01,"Goods-producing sector",42.3,"v1642751205","1",FALSE,"Industry",1
2013-07-01,"Goods-producing sector",44.9,"v1642751205","1",FALSE,"Industry",1
2013-08-01,"Goods-producing sector",45.8,"v1642751205","1",FALSE,"Industry",1
2013-09-01,"Goods-producing sector",44.4,"v1642751205","1",FALSE,"Industry",1
2013-10-01,"Goods-producing sector",41.8,"v1642751205","1",FALSE,"Industry",1
2013-11-01,"Goods-producing sector",39.4,"v1642751205","1",FALSE,"Industry",1
2013-12-01,"Goods-producing sector",38.3,"v1642751205","1",FALSE,"Industry",1
2014-01-01,"Goods-producing sector",37.3,"v1642751205","1",FALSE,"Industry",1
2014-02-01,"Goods-producing sector",36.4,"v1642751205","1",FALSE,"Industry",1
2014-03-01,"Goods-producing sector",35.8,"v1642751205","1",FALSE,"Industry",1
2014-04-01,"Goods-producing sector",36.8,"v1642751205","1",FALSE,"Industry",1
2014-05-01,"Goods-producing sector",38.5,"v1642751205","1",FALSE,"Industry",1
2014-06-01,"Goods-producing sector",40.7,"v1642751205","1",FALSE,"Industry",1
2014-07-01,"Goods-producing sector",42.8,"v1642751205","1",FALSE,"Industry",1
