"date","label","value","VECTOR","DECIMALS","is_ratio","group","display_order"
2011-03-01,"Health care and social assistance",17.2,"v1642751218","1",FALSE,"Industry",14
2011-04-01,"Health care and social assistance",17.3,"v1642751218","1",FALSE,"Industry",14
2011-05-01,"Health care and social assistance",18,"v1642751218","1",FALSE,"Industry",14
2011-06-01,"Health care and social assistance",18.6,"v1642751218","1",FALSE,"Industry",14
2011-07-01,"Health care and social assistance",19.2,"v1642751218","1",FALSE,"Industry",14
2011-08-01,"Health care and social assistance",20,"v1642751218","1",FALSE,"Industry",14
2011-09-01,"Health care and social assistance",20.5,"v1642751218","1",FALSE,"Industry",14
2011-10-01,"Health care and social assistance",20.9,"v1642751218","1",FALSE,"Industry",14
2011-11-01,"Health care and social assistance",21.3,"v1642751218","1",FALSE,"Industry",14
2011-12-01,"Health care and social assistance",21.6,"v1642751218","1",FALSE,"Industry",14
2012-01-01,"Health care and social assistance",21.4,"v1642751218","1",FALSE,"Industry",14
2012-02-01,"Health care and social assistance",20.4,"v1642751218","1",FALSE,"Industry",14
2012-03-01,"Health care and social assistance",19.4,"v1642751218","1",FALSE,"Industry",14
2012-04-01,"Health care and social assistance",18.7,"v1642751218","1",FALSE,"Industry",14
2012-05-01,"Health care and social assistance",19.1,"v1642751218","1",FALSE,"Industry",14
2012-06-01,"Health care and social assistance",19.5,"v1642751218","1",FALSE,"Industry",14
2012-07-01,"Health care and social assistance",20.5,"v1642751218","1",FALSE,"Industry",14
2012-08-01,"Health care and social assistance",20.6,"v1642751218","1",FALSE,"Industry",14
2012-09-01,"Health care and social assistance",21,"v1642751218","1",FALSE,"Industry",14
2012-10-01,"Health care and social assistance",20.8,"v1642751218","1",FALSE,"Industry",14
2012-11-01,"Health care and social assistance",20.6,"v1642751218","1",FALSE,"Industry",14
2012-12-01,"Health care and social assistance",20,"v1642751218","1",FALSE,"Industry",14
2013-01-01,"Health care and social assistance",19.4,"v1642751218","1",FALSE,"Industry",14
2013-02-01,"Health care and social assistance",19.7,"v1642751218","1",FALSE,"Industry",14
2013-03-01,"Health care and social assistance",20.4,"v1642751218","1",FALSE,"Industry",14
2013-04-01,"Health care and social assistance",21.5,"v1642751218","1",FALSE,"Industry",14
2013-05-01,"Health care and social assistance",21.8,"v1642751218","1",FALSE,"Industry",14
2013-06-01,"Health care and social assistance",21.7,"v1642751218","1",FALSE,"Industry",14
2013-07-01,"Health care and social assistance",21.6,"v1642751218","1",FALSE,"Industry",14
2013-08-01,"Health care and social assistance",21.2,"v1642751218","1",FALSE,"Industry",14
2013-09-01,"Health care and social assistance",20.4,"v1642751218","1",FALSE,"Industry",14
2013-10-01,"Health care and social assistance",19.5,"v1642751218","1",FALSE,"Industry",14
2013-11-01,"Health care and social assistance",19.4,"v1642751218","1",FALSE,"Industry",14
2013-12-01,"Health care and social assistance",19.7,"v1642751218","1",FALSE,"Industry",14
2014-01-01,"Health care and social assistance",20.2,"v1642751218","1",FALSE,"Industry",14
2014-02-01,"Health care and social assistance",20.5,"v1642751218","1",FALSE,"Industry",14
2014-03-01,"Health care and social assistance",20.8,"v1642751218","1",FALSE,"Industry",14
2014-04-01,"Health care and social assistance",20.7,"v1642751218","1",FALSE,"Industry",14
2014-05-01,"Health care and social assistance",21,"v1642751218","1",FALSE,"Industry",14
2014-06-01,"Health care and social assistance",20.5,"v1642751218","1",FALSE,"Industry",14
2014-07-01,"Health care and social assistance",20.5,"v1642751218","1",FALSE,"Industry",14
2014-08-01,"Health care and social assistance",20.2,"v1642751218","1",FALSE,"Industry",14
2014-09-01,"Health care and social assistance",20,"v1642751218","1",FALSE,"Industry",14
2014-10-01,"Health care and social assistance",19.2,"v1642751218","1",FALSE,"Industry",14
2014-11-01,"Health care and social assistance",19,"v1642751218","1",FALSE,"Industry",14
2014-12-01,"Health care and social assistance",19.4,"v1642751218","1",FALSE,"Industry",14
2015-01-01,"Health care and social assistance",20.7,"v1642751218","1",FALSE,"Industry",14
2015-02-01,"Health care and social assistance",21.5,"v1642751218","1",FALSE,"Industry",14
2015-03-01,"Health care and social assistance",21.7,"v1642751218","1",FALSE,"Industry",14
2015-04-01,"Health care and social assistance",21.7,"v1642751218","1",FALSE,"Industry",14
2015-05-01,"Health care and social assistance",22.1,"v1642751218","1",FALSE,"Industry",14
2015-06-01,"Health care and social assistance",22.5,"v1642751218","1",FALSE,"Industry",14
2015-07-01,"Health care and social assistance",22.7,"v1642751218","1",FALSE,"Industry",14
2015-08-01,"Health care and social assistance",22.8,"v1642751218","1",FALSE,"Industry",14
2015-09-01,"Health care and social assistance",23,"v1642751218","1",FALSE,"Industry",14
2015-10-01,"Health care and social assistance",22.7,"v1642751218","1",FALSE,"Industry",14
2015-11-01,"Health care and social assistance",22.1,"v1642751218","1",FALSE,"Industry",14
2015-12-01,"Health care and social assistance",22.1,"v1642751218","1",FALSE,"Industry",14
2016-01-01,"Health care and social assistance",22.8,"v1642751218","1",FALSE,"Industry",14
2016-02-01,"Health care and social assistance",23,"v1642751218","1",FALSE,"Industry",14
2016-03-01,"Health care and social assistance",22.8,"v1642751218","1",FALSE,"Industry",14
2016-04-01,"Health care and social assistance",22.3,"v1642751218","1",FALSE,"Industry",14
2016-05-01,"Health care and social assistance",22.1,"v1642751218","1",FALSE,"Industry",14
2016-06-01,"Health care and social assistance",21.7,"v1642751218","1",FALSE,"Industry",14
2016-07-01,"Health care and social assistance",21.5,"v1642751218","1",FALSE,"Industry",14
2016-08-01,"Health care and social assistance",22.2,"v1642751218","1",FALSE,"Industry",14
2016-09-01,"Health care and social assistance",22.5,"v1642751218","1",FALSE,"Industry",14
2016-10-01,"Health care and social assistance",22.9,"v1642751218","1",FALSE,"Industry",14
2016-11-01,"Health care and social assistance",22.4,"v1642751218","1",FALSE,"Industry",14
2016-12-01,"Health care and social assistance",21.9,"v1642751218","1",FALSE,"Industry",14
2017-01-01,"Health care and social assistance",21.6,"v1642751218","1",FALSE,"Industry",14
2017-02-01,"Health care and social assistance",22,"v1642751218","1",FALSE,"Industry",14
2017-03-01,"Health care and social assistance",22.4,"v1642751218","1",FALSE,"Industry",14
2017-04-01,"Health care and social assistance",22.6,"v1642751218","1",FALSE,"Industry",14
2017-05-01,"Health care and social assistance",22.4,"v1642751218","1",FALSE,"Industry",14
2017-06-01,"Health care and social assistance",22.6,"v1642751218","1",FALSE,"Industry",14
2017-07-01,"Health care and social assistance",22.8,"v1642751218","1",FALSE,"Industry",14
2017-08-01,"Health care and social assistance",22.3,"v1642751218","1",FALSE,"Industry",14
2017-09-01,"Health care and social assistance",21.6,"v1642751218","1",FALSE,"Industry",14
2017-10-01,"Health care and social assistance",21,"v1642751218","1",FALSE,"Industry",14
2017-11-01,"Health care and social assistance",21.7,"v1642751218","1",FALSE,"Industry",14
