"date","label","value","VECTOR","DECIMALS","is_ratio","group","display_order"
2011-03-01,"Private sector employees",89.9,"v1642751283","1",FALSE,"Employment type",20
2011-04-01,"Private sector employees",91,"v1642751283","1",FALSE,"Employment type",20
2011-05-01,"Private sector employees",93,"v1642751283","1",FALSE,"Employment type",20
2011-06-01,"Private sector employees",95.6,"v1642751283","1",FALSE,"Employment type",20
2011-07-01,"Private sector employees",96.5,"v1642751283","1",FALSE,"Employment type",20
2011-08-01,"Private sector employees",96,"v1642751283","1",FALSE,"Employment type",20
2011-09-01,"Private sector employees",95.1,"v1642751283","1",FALSE,"Employment type",20
2011-10-01,"Private sector employees",94.1,"v1642751283","1",FALSE,"Employment type",20
2011-11-01,"Private sector employees",93.1,"v1642751283","1",FALSE,"Employment type",20
2011-12-01,"Private sector employees",92.1,"v1642751283","1",FALSE,"Employment type",20
2012-01-01,"Private sector employees",91.9,"v1642751283","1",FALSE,"Employment type",20
2012-02-01,"Private sector employees",93.2,"v1642751283","1",FALSE,"Employment type",20
2012-03-01,"Private sector employees",93.7,"v1642751283","1",FALSE,"Employment type",20
2012-04-01,"Private sector employees",95.6,"v1642751283","1",FALSE,"Employment type",20
2012-05-01,"Private sector employees",98.3,"v1642751283","1",FALSE,"Employment type",20
2012-06-01,"Private sector employees",101.8,"v1642751283","1",FALSE,"Employment type",20
2012-07-01,"Private sector employees",103.6,"v1642751283","1",FALSE,"Employment type",20
2012-08-01,"Private sector employees",103.7,"v1642751283","1",FALSE,"Employment type",20
2012-09-01,"Private sector employees",101.5,"v1642751283","1",FALSE,"Employment type",20
2012-10-01,"Private sector employees",99.3,"v1642751283","1",FALSE,"Employment type",20
2012-11-01,"Private sector employees",96.1,"v1642751283","1",FALSE,"Employment type",20
2012-12-01,"Private sector employees",95.3,"v1642751283","1",FALSE,"Employment type",20
2013-01-01,"Private sector employees",96,"v1642751283","1",FALSE,"Employment type",20
