"date","label","value","VECTOR","DECIMALS","is_ratio","group","display_order"
2011-03-01,"Public sector employees",34.4,"v1642751282","1",FALSE,"Employment type",19
2011-04-01,"Public sector employees",34.5,"v1642751282","1",FALSE,"Employment type",19
2011-05-01,"Public sector employees",35.2,"v1642751282","1",FALSE,"Employment type",19
2011-06-01,"Public sector employees",35.8,"v1642751282","1",FALSE,"Employment type",19
2011-07-01,"Public sector employees",35.4,"v1642751282","1",FALSE,"Employment type",19
2011-08-01,"Public sector employees",35.1,"v1642751282","1",FALSE,"Employment type",19
2011-09-01,"Public sector employees",34.2,"v1642751282","1",FALSE,"Employment type",19
2011-10-01,"Public sector employees",35.4,"v1642751282","1",FALSE,"Employment type",19
2011-11-01,"Public sector employees",36,"v1642751282","1",FALSE,"Employment type",19
2011-12-01,"Public sector employees",37,"v1642751282","1",FALSE,"Employment type",19
2012-01-01,"Public sector employees",36.4,"v1642751282","1",FALSE,"Employment type",19
2012-02-01,"Public sector employees",35.8,"v1642751282","1",FALSE,"Employment type",19
2012-03-01,"Public sector employees",35,"v1642751282","1",FALSE,"Employment type",19
2012-04-01,"Public sector employees",34.1,"v1642751282","1",FALSE,"Employment type",19
2012-05-01,"Public sector employees",34.3,"v1642751282","1",FALSE,"Employment type",19
2012-06-01,"Public sector employees",34.7,"v1642751282","1",FALSE,"Employment type",19
2012-07-01,"Public sector employees",35.5,"v1642751282","1",FALSE,"Employment type",19
2012-08-01,"Public sector employees",35.5,"v1642751282","1",FALSE,"Employment type",19
2012-09-01,"Public sector employees",35.5,"v1642751282","1",FALSE,"Employment type",19
2012-10-01,"Public sector employees",36.4,"v1642751282","1",FALSE,"Employment type",19
2012-11-01,"Public sector employees",38.2,"v1642751282","1",FALSE,"Employment type",19
2012-12-01,"Public sector employees",39.6,"v1642751282","1",FALSE,"Employment type",19
2013-01-01,"Public sector employees",40.4,"v1642751282","1",FALSE,"Employment type",19
2013-02-01,"Public sector employees",40.4,"v1642751282","1",FALSE,"Employment type",19
2013-03-01,"Public sector employees",41.1,"v1642751282","1",FALSE,"Employment type",19
2013-04-01,"Public sector employees",41.7,"v1642751282","1",FALSE,"Employment type",19
2013-05-01,"Public sector employees",42,"v1642751282","1",FALSE,"Employment type",19
2013-06-01,"Public sector employees",41.3,"v1642751282","1",FALSE,"Employment type",19
2013-07-01,"Public sector employees",39.3,"v1642751282","1",FALSE,"Employment type",19
2013-08-01,"Public sector employees",36.9,"v1642751282","1",FALSE,"Employment type",19
2013-09-01,"Public sector employees",35.7,"v1642751282","1",FALSE,"Employment type",19
2013-10-01,"Public sector employees",36.4,"v1642751282","1",FALSE,"Employment type",19
2013-11-01,"Public sector employees",37.5,"v1642751282","1",FALSE,"Employment type",19
2013-12-01,"Public sector employees",37.7,"v1642751282","1",FALSE,"Employment type",19
2014-01-01,"Public sector employees",37.5,"v1642751282","1",FALSE,"Employment type",19
2014-02-01,"Public sector employees",37.5,"v1642751282","1",FALSE,"Employment type",19
2014-03-01,"Public sector employees",37.5,"v1642751282","1",FALSE,"Employment type",19
2014-04-01,"Public sector employees",36.9,"v1642751282","1",FALSE,"Employment type",19
2014-05-01,"Public sector employees",37.7,"v1642751282","1",FALSE,"Employment type",19
2014-06-01,"Public sector employees",38.6,"v1642751282","1",FALSE,"Employment type",19
2014-07-01,"Public sector employees",39.4,"v1642751282","1",FALSE,"Employment type",19
2014-08-01,"Public sector employees",38.9,"v1642751282","1",FALSE,"Employment type",19
2014-09-01,"Public sector employees",38.7,"v1642751282","1",FALSE,"Employment type",19
2014-10-01,"Public sector employees",38.7,"v1642751282","1",FALSE,"Employment type",19
2014-11-01,"Public sector employees",38.7,"v1642751282","1",FALSE,"Employment type",19
2014-12-01,"Public sector employees",38.6,"v1642751282","1",FALSE,"Employment type",19
2015-01-01,"Public sector employees",38.7,"v1642751282","1",FALSE,"Employment type",19
2015-02-01,"Public sector employees",37.8,"v1642751282","1",FALSE,"Employment type",19
2015-03-01,"Public sector employees",36.9,"v1642751282","1",FALSE,"Employment type",19
2015-04-01,"Public sector employees",36.6,"v1642751282","1",FALSE,"Employment type",19
2015-05-01,"Public sector employees",37.9,"v1642751282","1",FALSE,"Employment type",19
2015-06-01,"Public sector employees",38.7,"v1642751282","1",FALSE,"Employment type",19
2015-07-01,"Public sector employees",37.6,"v1642751282","1",FALSE,"Employment type",19
2015-08-01,"Public sector employees",36.9,"v1642751282","1",FALSE,"Employment type",19
2015-09-01,"Public sector employees",36.8,"v1642751282","1",FALSE,"Employment type",19
2015-10-01,"Public sector employees",37,"v1642751282","1",FALSE,"Employment type",19
2015-11-01,"Public sector employees",36.8,"v1642751282","1",FALSE,"Employment type",19
2015-12-01,"Public sector employees",36.6,"v1642751282","1",FALSE,"Employment type",19
2016-01-01,"Public sector employees",37.3,"v1642751282","1",FALSE,"Employment type",19
2016-02-01,"Public sector employees",37,"v1642751282","1",FALSE,"Employment type",19
2016-03-01,"Public sector employees",36.3,"v1642751282","1",FALSE,"Employment type",19
2016-04-01,"Public sector employees",36.2,"v1642751282","1",FALSE,"Employment type",19
2016-05-01,"Public sector employees",37.1,"v1642751282","1",FALSE,"Employment type",19
2016-06-01,"Public sector employees",38.7,"v1642751282","1",FALSE,"Employment type",19
2016-07-01,"Public sector employees",39.1,"v1642751282","1",FALSE,"Employment type",19
2016-08-01,"Public sector employees",39.2,"v1642751282","1",FALSE,"Employment type",19
2016-09-01,"Public sector employees",38.8,"v1642751282","1",FALSE,"Employment type",19
2016-10-01,"Public sector employees",39.7,"v1642751282","1",FALSE,"Employment type",19
2016-11-01,"Public sector employees",40.4,"v1642751282","1",FALSE,"Employment type",19
2016-12-01,"Public sector employees",41.1,"v1642751282","1",FALSE,"Employment type",19
2017-01-01,"Public sector employees",41,"v1642751282","1",FALSE,"Employment type",19
2017-02-01,"Public sector employees",41,"v1642751282","1",FALSE,"Employment type",19
2017-03-01,"Public sector employees",41.1,"v1642751282","1",FALSE,"Employment type",19
2017-04-01,"Public sector employees",40.9,"v1642751282","1",FALSE,"Employment type",19
2017-05-01,"Public sector employees",40.8,"v1642751282","1",FALSE,"Employment type",19
2017-06-01,"Public sector employees",40.8,"v1642751282","1",FALSE,"Employment type",19
2017-07-01,"Public sector employees",40.6,"v1642751282","1",FALSE,"Employment type",19
2017-08-01,"Public sector employees",39.8,"v1642751282","1",FALSE,"Employment type",19
2017-09-01,"Public sector employees",38.9,"v1642751282","1",FALSE,"Employment type",19
2017-10-01,"Public sector employees",38.6,"v1642751282","1",FALSE,"Employment type",19
2017-11-01,"Public sector employees",39.2,"v1642751282","1",FALSE,"Employment type",19
2017-12-01,"Public sector employees",39.3,"v1642751282","1",FALSE,"Employment type",19
2018-01-01,"Public sector employees",39.7,"v1642751282","1",FALSE,"Employment type",19
2018-02-01,"Public sector employees",40.4,"v1642751282","1",FALSE,"Employment type",19
2018-03-01,"Public sector employees",40.6,"v1642751282","1",FALSE,"Employment type",19
2018-04-01,"Public sector employees",40.2,"v1642751282","1",FALSE,"Employment type",19
2018-05-01,"Public sector employees",39.5,"v1642751282","1",FALSE,"Employment type",19
2018-06-01,"Public sector employees",39.7,"v1642751282","1",FALSE,"Employment type",19
2018-07-01,"Public sector employees",38.3,"v1642751282","1",FALSE,"Employment type",19
2018-08-01,"Public sector employees",35.8,"v1642751282","1",FALSE,"Employment type",19
2018-09-01,"Public sector employees",34.4,"v1642751282","1",FALSE,"Employment type",19
2018-10-01,"Public sector employees",35.3,"v1642751282","1",FALSE,"Employment type",19
2018-11-01,"Public sector employees",37.3,"v1642751282","1",FALSE,"Employment type",19
2018-12-01,"Public sector employees",38.5,"v1642751282","1",FALSE,"Employment type",19
2019-01-01,"Public sector employees",39.3,"v1642751282","1",FALSE,"Employment type",19
2019-02-01,"Public sector employees",40.5,"v1642751282","1",FALSE,"Employment type",19
2019-03-01,"Public sector employees",40.9,"v1642751282","1",FALSE,"Employment type",19
2019-04-01,"Public sector employees",40.9,"v1642751282","1",FALSE,"Employment type",19
2019-05-01,"Public sector employees",40.9,"v1642751282","1",FALSE,"Employment type",19
2019-06-01,"Public sector employees",41.7,"v1642751282","1",FALSE,"Employment type",19
2019-07-01,"Public sector employees",41.2,"v1642751282","1",FALSE,"Employment type",19
2019-08-01,"Public sector employees",39.5,"v1642751282","1",FALSE,"Employment type",19
2019-09-01,"Public sector employees",38.8,"v1642751282","1",FALSE,"Employment type",19
2019-10-01,"Public sector employees",39.4,"v1642751282","1",FALSE,"Employment type",19
2019-11-01,"Public sector employees",40.6,"v1642751282","1",FALSE,"Employment type",19
2019-12-01,"Public sector employees",40.3,"v1642751282","1",FALSE,"Employment type",19
2020-01-01,"Public sector employees",39.7,"v1642751282","1",FALSE,"Employment type",19
2020-02-01,"Public sector employees",39,"v1642751282","1",FALSE,"Employment type",19
2020-03-01,"Public sector employees",38.5,"v1642751282","1",FALSE,"Employment type",19
2020-04-01,"Public sector employees",38.6,"v1642751282","1",FALSE,"Employment type",19
2020-05-01,"Public sector employees",38.5,"v1642751282","1",FALSE,"Employment type",19
2020-06-01,"Public sector employees",37.5,"v1642751282","1",FALSE,"Employment type",19
2020-07-01,"Public sector employees",37,"v1642751282","1",FALSE,"Employment type",19
