"date","label","value","VECTOR","DECIMALS","is_ratio","group","display_order"
2011-03-01,"Services-producing sector",114.6,"v1642751211","1",FALSE,"Industry",7
2011-04-01,"Services-producing sector",114.4,"v1642751211","1",FALSE,"Industry",7
2011-05-01,"Services-producing sector",116.5,"v1642751211","1",FALSE,"Industry",7
2011-06-01,"Services-producing sector",119.4,"v1642751211","1",FALSE,"Industry",7
2011-07-01,"Services-producing sector",119.4,"v1642751211","1",FALSE,"Industry",7
2011-08-01,"Services-producing sector",118.3,"v1642751211","1",FALSE,"Industry",7
2011-09-01,"Services-producing sector",117.3,"v1642751211","1",FALSE,"Industry",7
2011-10-01,"Services-producing sector",119,"v1642751211","1",FALSE,"Industry",7
2011-11-01,"Services-producing sector",119.7,"v1642751211","1",FALSE,"Industry",7
2011-12-01,"Services-producing sector",119.7,"v1642751211","1",FALSE,"Industry",7
2012-01-01,"Services-producing sector",118,"v1642751211","1",FALSE,"Industry",7
2012-02-01,"Services-producing sector",116.5,"v1642751211","1",FALSE,"Industry",7
2012-03-01,"Services-producing sector",114.7,"v1642751211","1",FALSE,"Industry",7
2012-04-01,"Services-producing sector",114.3,"v1642751211","1",FALSE,"Industry",7
2012-05-01,"Services-producing sector",115.8,"v1642751211","1",FALSE,"Industry",7
2012-06-01,"Services-producing sector",118.1,"v1642751211","1",FALSE,"Industry",7
2012-07-01,"Services-producing sector",119.1,"v1642751211","1",FALSE,"Industry",7
2012-08-01,"Services-producing sector",119.7,"v1642751211","1",FALSE,"Industry",7
2012-09-01,"Services-producing sector",118.8,"v1642751211","1",FALSE,"Industry",7
2012-10-01,"Services-producing sector",119.3,"v1642751211","1",FALSE,"Industry",7
2012-11-01,"Services-producing sector",119.2,"v1642751211","1",FALSE,"Industry",7
2012-12-01,"Services-producing sector",119.2,"v1642751211","1",FALSE,"Industry",7
2013-01-01,"Services-producing sector",119.4,"v1642751211","1",FALSE,"Industry",7
2013-02-01,"Services-producing sector",118.5,"v1642751211","1",FALSE,"Industry",7
2013-03-01,"Services-producing sector",119.4,"v1642751211","1",FALSE,"Industry",7
2013-04-01,"Services-producing sector",120.3,"v1642751211","1",FALSE,"Industry",7
2013-05-01,"Services-producing sector",121.5,"v1642751211","1",FALSE,"Industry",7
2013-06-01,"Services-producing sector",121.9,"v1642751211","1",FALSE,"Industry",7
2013-07-01,"Services-producing sector",120.9,"v1642751211","1",FALSE,"Industry",7
2013-08-01,"Services-producing sector",120.9,"v1642751211","1",FALSE,"Industry",7
2013-09-01,"Services-producing sector",120.3,"v1642751211","1",FALSE,"Industry",7
2013-10-01,"Services-producing sector",121,"v1642751211","1",FALSE,"Industry",7
2013-11-01,"Services-producing sector",121.8,"v1642751211","1",FALSE,"Industry",7
2013-12-01,"Services-producing sector",123.4,"v1642751211","1",FALSE,"Industry",7
2014-01-01,"Services-producing sector",124.4,"v1642751211","1",FALSE,"Industry",7
2014-02-01,"Services-producing sector",124.8,"v1642751211","1",FALSE,"Industry",7
2014-03-01,"Services-producing sector",124.6,"v1642751211","1",FALSE,"Industry",7
2014-04-01,"Services-producing sector",124.6,"v1642751211","1",FALSE,"Industry",7
2014-05-01,"Services-producing sector",125.6,"v1642751211","1",FALSE,"Industry",7
2014-06-01,"Services-producing sector",127.4,"v1642751211","1",FALSE,"Industry",7
2014-07-01,"Services-producing sector",127.1,"v1642751211","1",FALSE,"Industry",7
2014-08-01,"Services-producing sector",124.9,"v1642751211","1",FALSE,"Industry",7
2014-09-01,"Services-producing sector",122.8,"v1642751211","1",FALSE,"Industry",7
2014-10-01,"Services-producing sector",122.2,"v1642751211","1",FALSE,"Industry",7
2014-11-01,"Services-producing sector",122.8,"v1642751211","1",FALSE,"Industry",7
2014-12-01,"Services-producing sector",123.8,"v1642751211","1",FALSE,"Industry",7
2015-01-01,"Services-producing sector",124.9,"v1642751211","1",FALSE,"Industry",7
2015-02-01,"Services-producing sector",123.6,"v1642751211","1",FALSE,"Industry",7
2015-03-01,"Services-producing sector",121.7,"v1642751211","1",FALSE,"Industry",7
2015-04-01,"Services-producing sector",121.1,"v1642751211","1",FALSE,"Industry",7
2015-05-01,"Services-producing sector",122.3,"v1642751211","1",FALSE,"Industry",7
2015-06-01,"Services-producing sector",124.9,"v1642751211","1",FALSE,"Industry",7
2015-07-01,"Services-producing sector",125,"v1642751211","1",FALSE,"Industry",7
2015-08-01,"Services-producing sector",126.2,"v1642751211","1",FALSE,"Industry",7
2015-09-01,"Services-producing sector",125,"v1642751211","1",FALSE,"Industry",7
2015-10-01,"Services-producing sector",125.7,"v1642751211","1",FALSE,"Industry",7
2015-11-01,"Services-producing sector",125.5,"v1642751211","1",FALSE,"Industry",7
2015-12-01,"Services-producing sector",124.8,"v1642751211","1",FALSE,"Industry",7
2016-01-01,"Services-producing sector",124.4,"v1642751211","1",FALSE,"Industry",7
2016-02-01,"Services-producing sector",123.5,"v1642751211","1",FALSE,"Industry",7
2016-03-01,"Services-producing sector",123.8,"v1642751211","1",FALSE,"Industry",7
2016-04-01,"Services-producing sector",123.7,"v1642751211","1",FALSE,"Industry",7
2016-05-01,"Services-producing sector",124.3,"v1642751211","1",FALSE,"Industry",7
2016-06-01,"Services-producing sector",126.4,"v1642751211","1",FALSE,"Industry",7
2016-07-01,"Services-producing sector",127.7,"v1642751211","1",FALSE,"Industry",7
2016-08-01,"Services-producing sector",127.8,"v1642751211","1",FALSE,"Industry",7
2016-09-01,"Services-producing sector",127.6,"v1642751211","1",FALSE,"Industry",7
2016-10-01,"Services-producing sector",127.4,"v1642751211","1",FALSE,"Industry",7
2016-11-01,"Services-producing sector",128.1,"v1642751211","1",FALSE,"Industry",7
2016-12-01,"Services-producing sector",126.7,"v1642751211","1",FALSE,"Industry",7
2017-01-01,"Services-producing sector",125.9,"v1642751211","1",FALSE,"Industry",7
2017-02-01,"Services-producing sector",124.7,"v1642751211","1",FALSE,"Industry",7
2017-03-01,"Services-producing sector",124,"v1642751211","1",FALSE,"Industry",7
2017-04-01,"Services-producing sector",123.3,"v1642751211","1",FALSE,"Industry",7
2017-05-01,"Services-producing sector",123.9,"v1642751211","1",FALSE,"Industry",7
2017-06-01,"Services-producing sector",126.4,"v1642751211","1",FALSE,"Industry",7
2017-07-01,"Services-producing sector",128.6,"v1642751211","1",FALSE,"Industry",7
2017-08-01,"Services-producing sector",129.8,"v1642751211","1",FALSE,"Industry",7
2017-09-01,"Services-producing sector",130.2,"v1642751211","1",FALSE,"Industry",7
2017-10-01,"Services-producing sector",130.9,"v1642751211","1",FALSE,"Industry",7
2017-11-01,"Services-producing sector",130.7,"v1642751211","1",FALSE,"Industry",7
2017-12-01,"Services-producing sector",129.6,"v1642751211","1",FALSE,"Industry",7
2018-01-01,"Services-producing sector",128.7,"v1642751211","1",FALSE,"Industry",7
2018-02-01,"Services-producing sector",128.9,"v1642751211","1",FALSE,"Industry",7
2018-03-01,"Services-producing sector",128.3,"v1642751211","1",FALSE,"Industry",7
2018-04-01,"Services-producing sector",126.8,"v1642751211","1",FALSE,"Industry",7
2018-05-01,"Services-producing sector",126.1,"v1642751211","1",FALSE,"Industry",7
2018-06-01,"Services-producing sector",128.4,"v1642751211","1",FALSE,"Industry",7
2018-07-01,"Services-producing sector",131.5,"v1642751211","1",FALSE,"Industry",7
2018-08-01,"Services-producing sector",132.5,"v1642751211","1",FALSE,"Industry",7
2018-09-01,"Services-producing sector",132.5,"v1642751211","1",FALSE,"Industry",7
2018-10-01,"Services-producing sector",132.8,"v1642751211","1",FALSE,"Industry",7
2018-11-01,"Services-producing sector",134.8,"v1642751211","1",FALSE,"Industry",7
2018-12-01,"Services-producing sector",134.5,"v1642751211","1",FALSE,"Industry",7
2019-01-01,"Services-producing sector",133.7,"v1642751211","1",FALSE,"Industry",7
2019-02-01,"Services-producing sector",133.3,"v1642751211","1",FALSE,"Industry",7
2019-03-01,"Services-producing sector",134.3,"v1642751211","1",FALSE,"Industry",7
2019-04-01,"Services-producing sector",134.4,"v1642751211","1",FALSE,"Industry",7
2019-05-01,"Services-producing sector",135.2,"v1642751211","1",FALSE,"Industry",7
2019-06-01,"Services-producing sector",137,"v1642751211","1",FALSE,"Industry",7
2019-07-01,"Services-producing sector",139.1,"v1642751211","1",FALSE,"Industry",7
2019-08-01,"Services-producing sector",139.9,"v1642751211","1",FALSE,"Industry",7
2019-09-01,"Services-producing sector",140.6,"v1642751211","1",FALSE,"Industry",7
2019-10-01,"Services-producing sector",141,"v1642751211","1",FALSE,"Industry",7
2019-11-01,"Services-producing sector",141.1,"v1642751211","1",FALSE,"Industry",7
2019-12-01,"Services-producing sector",139.4,"v1642751211","1",FALSE,"Industry",7
2020-01-01,"Services-producing sector",138.2,"v1642751211","1",FALSE,"Industry",7
2020-02-01,"Services-producing sector",136.7,"v1642751211","1",FALSE,"Industry",7
2020-03-01,"Services-producing sector",133.7,"v1642751211","1",FALSE,"Industry",7
2020-04-01,"Services-producing sector",126.2,"v1642751211","1",FALSE,"Industry",7
2020-05-01,"Services-producing sector",119.9,"v1642751211","1",FALSE,"Industry",7
2020-06-01,"Services-producing sector",119,"v1642751211","1",FALSE,"Industry",7
2020-07-01,"Services-producing sector",123.6,"v1642751211","1",FALSE,"Industry",7
2020-08-01,"Services-producing sector",128.4,"v1642751211","1",FALSE,"Industry",7
2020-09-01,"Services-producing sector",131,"v1642751211","1",FALSE,"Industry",7
2020-10-01,"Services-producing sector",132.2,"v1642751211","1",FALSE,"Industry",7
2020-11-01,"Services-producing sector",133,"v1642751211","1",FALSE,"Industry",7
2020-12-01,"Services-producing sector",131.9,"v1642751211","1",FALSE,"Industry",7
2021-01-01,"Services-producing sector",131,"v1642751211","1",FALSE,"Industry",7
2021-02-01,"Services-producing sector",129.2,"v1642751211","1",FALSE,"Industry",7
2021-03-01,"Services-producing sector",128.7,"v1642751211","1",FALSE,"Industry",7
2021-04-01,"Services-producing sector",128.8,"v1642751211","1",FALSE,"Industry",7
2021-05-01,"Services-producing sector",131.4,"v1642751211","1",FALSE,"Industry",7
2021-06-01,"Services-producing sector",133.7,"v1642751211","1",FALSE,"Industry",7
2021-07-01,"Services-producing sector",135.2,"v1642751211","1",FALSE,"Industry",7
2021-08-01,"Services-producing sector",134.8,"v1642751211","1",FALSE,"Industry",7
2021-09-01,"Services-producing sector",134.7,"v1642751211","1",FALSE,"Industry",7
2021-10-01,"Services-producing sector",137.8,"v1642751211","1",FALSE,"Industry",7
2021-11-01,"Services-producing sector",141.2,"v1642751211","1",FALSE,"Industry",7
2021-12-01,"Services-producing sector",145.2,"v1642751211","1",FALSE,"Industry",7
2022-01-01,"Services-producing sector",147,"v1642751211","1",FALSE,"Industry",7
2022-02-01,"Services-producing sector",149.4,"v1642751211","1",FALSE,"Industry",7
2022-03-01,"Services-producing sector",148.8,"v1642751211","1",FALSE,"Industry",7
2022-04-01,"Services-producing sector",149.1,"v1642751211","1",FALSE,"Industry",7
2022-05-01,"Services-producing sector",148.6,"v1642751211","1",FALSE,"Industry",7
2022-06-01,"Services-producing sector",150.4,"v1642751211","1",FALSE,"Industry",7
2022-07-01,"Services-producing sector",151.5,"v1642751211","1",FALSE,"Industry",7
2022-08-01,"Services-producing sector",153.3,"v1642751211","1",FALSE,"Industry",7
2022-09-01,"Services-producing sector",152.6,"v1642751211","1",FALSE,"Industry",7
2022-10-01,"Services-producing sector",152,"v1642751211","1",FALSE,"Industry",7
