"date","label","value","VECTOR","DECIMALS","is_ratio","units","display_order"
2011-01-01,"Employment",146.2,"v1643280158","1",FALSE,"Thousands, persons",4
2011-02-01,"Employment",147.2,"v1643280158","1",FALSE,"Thousands, persons",4
2011-03-01,"Employment",147.6,"v1643280158","1",FALSE,"Thousands, persons",4
2011-04-01,"Employment",147.5,"v1643280158","1",FALSE,"Thousands, persons",4
2011-05-01,"Employment",147.7,"v1643280158","1",FALSE,"Thousands, persons",4
2011-06-01,"Employment",148,"v1643280158","1",FALSE,"Thousands, persons",4
2011-07-01,"Employment",147.7,"v1643280158","1",FALSE,"Thousands, persons",4
2011-08-01,"Employment",147,"v1643280158","1",FALSE,"Thousands, persons",4
2011-09-01,"Employment",146.8,"v1643280158","1",FALSE,"Thousands, persons",4
2011-10-01,"Employment",147.8,"v1643280158","1",FALSE,"Thousands, persons",4
2011-11-01,"Employment",148.4,"v1643280158","1",FALSE,"Thousands, persons",4
2011-12-01,"Employment",148.8,"v1643280158","1",FALSE,"Thousands, persons",4
2012-01-01,"Employment",148.9,"v1643280158","1",FALSE,"Thousands, persons",4
2012-02-01,"Employment",150.1,"v1643280158","1",FALSE,"Thousands, persons",4
2012-03-01,"Employment",150.4,"v1643280158","1",FALSE,"Thousands, persons",4
2012-04-01,"Employment",150.8,"v1643280158","1",FALSE,"Thousands, persons",4
2012-05-01,"Employment",151.7,"v1643280158","1",FALSE,"Thousands, persons",4
2012-06-01,"Employment",152.9,"v1643280158","1",FALSE,"Thousands, persons",4
2012-07-01,"Employment",154.1,"v1643280158","1",FALSE,"Thousands, persons",4
2012-08-01,"Employment",154.8,"v1643280158","1",FALSE,"Thousands, persons",4
2012-09-01,"Employment",155.3,"v1643280158","1",FALSE,"Thousands, persons",4
2012-10-01,"Employment",155.8,"v1643280158","1",FALSE,"Thousands, persons",4
2012-11-01,"Employment",156,"v1643280158","1",FALSE,"Thousands, persons",4
2012-12-01,"Employment",156.9,"v1643280158","1",FALSE,"Thousands, persons",4
2013-01-01,"Employment",158,"v1643280158","1",FALSE,"Thousands, persons",4
2013-02-01,"Employment",159.1,"v1643280158","1",FALSE,"Thousands, persons",4
2013-03-01,"Employment",161,"v1643280158","1",FALSE,"Thousands, persons",4
2013-04-01,"Employment",162,"v1643280158","1",FALSE,"Thousands, persons",4
2013-05-01,"Employment",162.5,"v1643280158","1",FALSE,"Thousands, persons",4
2013-06-01,"Employment",162.1,"v1643280158","1",FALSE,"Thousands, persons",4
2013-07-01,"Employment",162.2,"v1643280158","1",FALSE,"Thousands, persons",4
2013-08-01,"Employment",163,"v1643280158","1",FALSE,"Thousands, persons",4
2013-09-01,"Employment",162.7,"v1643280158","1",FALSE,"Thousands, persons",4
2013-10-01,"Employment",161.7,"v1643280158","1",FALSE,"Thousands, persons",4
2013-11-01,"Employment",161,"v1643280158","1",FALSE,"Thousands, persons",4
2013-12-01,"Employment",161.4,"v1643280158","1",FALSE,"Thousands, persons",4
2014-01-01,"Employment",162.2,"v1643280158","1",FALSE,"Thousands, persons",4
2014-02-01,"Employment",162.5,"v1643280158","1",FALSE,"Thousands, persons",4
2014-03-01,"Employment",162.7,"v1643280158","1",FALSE,"Thousands, persons",4
2014-04-01,"Employment",163.7,"v1643280158","1",FALSE,"Thousands, persons",4
2014-05-01,"Employment",165.1,"v1643280158","1",FALSE,"Thousands, persons",4
2014-06-01,"Employment",166.3,"v1643280158","1",FALSE,"Thousands, persons",4
2014-07-01,"Employment",166.3,"v1643280158","1",FALSE,"Thousands, persons",4
2014-08-01,"Employment",164.8,"v1643280158","1",FALSE,"Thousands, persons",4
2014-09-01,"Employment",164.3,"v1643280158","1",FALSE,"Thousands, persons",4
2014-10-01,"Employment",163.8,"v1643280158","1",FALSE,"Thousands, persons",4
2014-11-01,"Employment",164.8,"v1643280158","1",FALSE,"Thousands, persons",4
2014-12-01,"Employment",165.1,"v1643280158","1",FALSE,"Thousands, persons",4
2015-01-01,"Employment",164.9,"v1643280158","1",FALSE,"Thousands, persons",4
2015-02-01,"Employment",164.6,"v1643280158","1",FALSE,"Thousands, persons",4
2015-03-01,"Employment",164,"v1643280158","1",FALSE,"Thousands, persons",4
2015-04-01,"Employment",164.3,"v1643280158","1",FALSE,"Thousands, persons",4
2015-05-01,"Employment",163.1,"v1643280158","1",FALSE,"Thousands, persons",4
2015-06-01,"Employment",162.3,"v1643280158","1",FALSE,"Thousands, persons",4
2015-07-01,"Employment",160.3,"v1643280158","1",FALSE,"Thousands, persons",4
2015-08-01,"Employment",160.9,"v1643280158","1",FALSE,"Thousands, persons",4
2015-09-01,"Employment",161.1,"v1643280158","1",FALSE,"Thousands, persons",4
2015-10-01,"Employment",162.6,"v1643280158","1",FALSE,"Thousands, persons",4
2015-11-01,"Employment",162.8,"v1643280158","1",FALSE,"Thousands, persons",4
2015-12-01,"Employment",161.7,"v1643280158","1",FALSE,"Thousands, persons",4
2016-01-01,"Employment",161.4,"v1643280158","1",FALSE,"Thousands, persons",4
2016-02-01,"Employment",160.7,"v1643280158","1",FALSE,"Thousands, persons",4
2016-03-01,"Employment",161.2,"v1643280158","1",FALSE,"Thousands, persons",4
2016-04-01,"Employment",160.2,"v1643280158","1",FALSE,"Thousands, persons",4
2016-05-01,"Employment",160,"v1643280158","1",FALSE,"Thousands, persons",4
2016-06-01,"Employment",159.9,"v1643280158","1",FALSE,"Thousands, persons",4
2016-07-01,"Employment",161,"v1643280158","1",FALSE,"Thousands, persons",4
2016-08-01,"Employment",161.4,"v1643280158","1",FALSE,"Thousands, persons",4
2016-09-01,"Employment",162,"v1643280158","1",FALSE,"Thousands, persons",4
2016-10-01,"Employment",161.5,"v1643280158","1",FALSE,"Thousands, persons",4
2016-11-01,"Employment",162.2,"v1643280158","1",FALSE,"Thousands, persons",4
2016-12-01,"Employment",162.5,"v1643280158","1",FALSE,"Thousands, persons",4
2017-01-01,"Employment",162.7,"v1643280158","1",FALSE,"Thousands, persons",4
2017-02-01,"Employment",162.1,"v1643280158","1",FALSE,"Thousands, persons",4
2017-03-01,"Employment",161.1,"v1643280158","1",FALSE,"Thousands, persons",4
