"date","label","value","VECTOR","DECIMALS","is_ratio","units","display_order"
2011-01-01,"Employment rate",67.3,"v1643280190","1",TRUE,"Percent",1
2011-02-01,"Employment rate",67.6,"v1643280190","1",TRUE,"Percent",1
2011-03-01,"Employment rate",67.7,"v1643280190","1",TRUE,"Percent",1
2011-04-01,"Employment rate",67.5,"v1643280190","1",TRUE,"Percent",1
2011-05-01,"Employment rate",67.4,"v1643280190","1",TRUE,"Percent",1
2011-06-01,"Employment rate",67.4,"v1643280190","1",TRUE,"Percent",1
2011-07-01,"Employment rate",67.1,"v1643280190","1",TRUE,"Percent",1
2011-08-01,"Employment rate",66.7,"v1643280190","1",TRUE,"Percent",1
2011-09-01,"Employment rate",66.4,"v1643280190","1",TRUE,"Percent",1
2011-10-01,"Employment rate",66.7,"v1643280190","1",TRUE,"Percent",1
2011-11-01,"Employment rate",66.8,"v1643280190","1",TRUE,"Percent",1
2011-12-01,"Employment rate",66.8,"v1643280190","1",TRUE,"Percent",1
2012-01-01,"Employment rate",66.7,"v1643280190","1",TRUE,"Percent",1
2012-02-01,"Employment rate",67.1,"v1643280190","1",TRUE,"Percent",1
2012-03-01,"Employment rate",67,"v1643280190","1",TRUE,"Percent",1
2012-04-01,"Employment rate",67,"v1643280190","1",TRUE,"Percent",1
2012-05-01,"Employment rate",67.2,"v1643280190","1",TRUE,"Percent",1
2012-06-01,"Employment rate",67.5,"v1643280190","1",TRUE,"Percent",1
2012-07-01,"Employment rate",67.8,"v1643280190","1",TRUE,"Percent",1
2012-08-01,"Employment rate",68,"v1643280190","1",TRUE,"Percent",1
2012-09-01,"Employment rate",68,"v1643280190","1",TRUE,"Percent",1
2012-10-01,"Employment rate",68.1,"v1643280190","1",TRUE,"Percent",1
2012-11-01,"Employment rate",68,"v1643280190","1",TRUE,"Percent",1
2012-12-01,"Employment rate",68.3,"v1643280190","1",TRUE,"Percent",1
2013-01-01,"Employment rate",68.7,"v1643280190","1",TRUE,"Percent",1
2013-02-01,"Employment rate",69,"v1643280190","1",TRUE,"Percent",1
2013-03-01,"Employment rate",69.7,"v1643280190","1",TRUE,"Percent",1
2013-04-01,"Employment rate",70,"v1643280190","1",TRUE,"Percent",1
2013-05-01,"Employment rate",70.1,"v1643280190","1",TRUE,"Percent",1
2013-06-01,"Employment rate",69.8,"v1643280190","1",TRUE,"Percent",1
2013-07-01,"Employment rate",69.6,"v1643280190","1",TRUE,"Percent",1
2013-08-01,"Employment rate",69.8,"v1643280190","1",TRUE,"Percent",1
2013-09-01,"Employment rate",69.6,"v1643280190","1",TRUE,"Percent",1
2013-10-01,"Employment rate",69,"v1643280190","1",TRUE,"Percent",1
2013-11-01,"Employment rate",68.6,"v1643280190","1",TRUE,"Percent",1
2013-12-01,"Employment rate",68.7,"v1643280190","1",TRUE,"Percent",1
2014-01-01,"Employment rate",68.9,"v1643280190","1",TRUE,"Percent",1
2014-02-01,"Employment rate",68.9,"v1643280190","1",TRUE,"Percent",1
2014-03-01,"Employment rate",68.9,"v1643280190","1",TRUE,"Percent",1
2014-04-01,"Employment rate",69.2,"v1643280190","1",TRUE,"Percent",1
2014-05-01,"Employment rate",69.7,"v1643280190","1",TRUE,"Percent",1
2014-06-01,"Employment rate",70.1,"v1643280190","1",TRUE,"Percent",1
2014-07-01,"Employment rate",70,"v1643280190","1",TRUE,"Percent",1
2014-08-01,"Employment rate",69.2,"v1643280190","1",TRUE,"Percent",1
2014-09-01,"Employment rate",68.9,"v1643280190","1",TRUE,"Percent",1
2014-10-01,"Employment rate",68.6,"v1643280190","1",TRUE,"Percent",1
2014-11-01,"Employment rate",69,"v1643280190","1",TRUE,"Percent",1
2014-12-01,"Employment rate",69,"v1643280190","1",TRUE,"Percent",1
2015-01-01,"Employment rate",68.8,"v1643280190","1",TRUE,"Percent",1
2015-02-01,"Employment rate",68.6,"v1643280190","1",TRUE,"Percent",1
2015-03-01,"Employment rate",68.3,"v1643280190","1",TRUE,"Percent",1
