"date","label","value","VECTOR","DECIMALS","estimate","unit_type","panel_label","is_ratio","display_order"
2000-01-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2000-02-01,"Housing completions | Apartment and other unit types",24,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2000-03-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2000-04-01,"Housing completions | Apartment and other unit types",50,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2000-05-01,"Housing completions | Apartment and other unit types",54,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2000-06-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2000-07-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2000-08-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2000-09-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2000-10-01,"Housing completions | Apartment and other unit types",213,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2000-11-01,"Housing completions | Apartment and other unit types",50,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2000-12-01,"Housing completions | Apartment and other unit types",8,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2001-01-01,"Housing completions | Apartment and other unit types",6,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2001-02-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2001-03-01,"Housing completions | Apartment and other unit types",48,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2001-04-01,"Housing completions | Apartment and other unit types",32,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2001-05-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2001-06-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2001-07-01,"Housing completions | Apartment and other unit types",50,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2001-08-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2001-09-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2001-10-01,"Housing completions | Apartment and other unit types",16,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2001-11-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2001-12-01,"Housing completions | Apartment and other unit types",28,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2002-01-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2002-02-01,"Housing completions | Apartment and other unit types",8,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2002-03-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2002-04-01,"Housing completions | Apartment and other unit types",12,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2002-05-01,"Housing completions | Apartment and other unit types",0,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2002-06-01,"Housing completions | Apartment and other unit types",44,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
2002-07-01,"Housing completions | Apartment and other unit types",51,"v42127414","0","Housing completions","Apartment and other unit types","Completions — Apartment & Other",FALSE,15
