"date","label","value","VECTOR","DECIMALS","estimate","unit_type","panel_label","is_ratio","display_order"
2000-01-01,"Housing completions | Row units",13,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2000-02-01,"Housing completions | Row units",0,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2000-03-01,"Housing completions | Row units",17,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2000-04-01,"Housing completions | Row units",10,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2000-05-01,"Housing completions | Row units",0,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2000-06-01,"Housing completions | Row units",51,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2000-07-01,"Housing completions | Row units",0,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2000-08-01,"Housing completions | Row units",12,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2000-09-01,"Housing completions | Row units",0,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2000-10-01,"Housing completions | Row units",4,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2000-11-01,"Housing completions | Row units",0,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2000-12-01,"Housing completions | Row units",12,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2001-01-01,"Housing completions | Row units",9,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2001-02-01,"Housing completions | Row units",4,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2001-03-01,"Housing completions | Row units",9,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2001-04-01,"Housing completions | Row units",24,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2001-05-01,"Housing completions | Row units",0,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2001-06-01,"Housing completions | Row units",32,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2001-07-01,"Housing completions | Row units",0,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2001-08-01,"Housing completions | Row units",0,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2001-09-01,"Housing completions | Row units",13,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2001-10-01,"Housing completions | Row units",19,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2001-11-01,"Housing completions | Row units",15,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2001-12-01,"Housing completions | Row units",7,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2002-01-01,"Housing completions | Row units",12,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2002-02-01,"Housing completions | Row units",8,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2002-03-01,"Housing completions | Row units",47,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2002-04-01,"Housing completions | Row units",21,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2002-05-01,"Housing completions | Row units",3,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2002-06-01,"Housing completions | Row units",0,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2002-07-01,"Housing completions | Row units",55,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2002-08-01,"Housing completions | Row units",4,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2002-09-01,"Housing completions | Row units",36,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2002-10-01,"Housing completions | Row units",21,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2002-11-01,"Housing completions | Row units",23,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2002-12-01,"Housing completions | Row units",32,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2003-01-01,"Housing completions | Row units",15,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2003-02-01,"Housing completions | Row units",33,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2003-03-01,"Housing completions | Row units",0,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2003-04-01,"Housing completions | Row units",4,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2003-05-01,"Housing completions | Row units",75,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2003-06-01,"Housing completions | Row units",70,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2003-07-01,"Housing completions | Row units",52,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2003-08-01,"Housing completions | Row units",23,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2003-09-01,"Housing completions | Row units",59,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2003-10-01,"Housing completions | Row units",21,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2003-11-01,"Housing completions | Row units",44,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2003-12-01,"Housing completions | Row units",101,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2004-01-01,"Housing completions | Row units",27,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2004-02-01,"Housing completions | Row units",10,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
2004-03-01,"Housing completions | Row units",0,"v42127413","0","Housing completions","Row units","Completions — Row",FALSE,14
