"date","label","value","VECTOR","DECIMALS","estimate","unit_type","panel_label","is_ratio","display_order"
2000-01-01,"Housing completions | Total units",81,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2000-02-01,"Housing completions | Total units",81,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2000-03-01,"Housing completions | Total units",60,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2000-04-01,"Housing completions | Total units",82,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2000-05-01,"Housing completions | Total units",113,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2000-06-01,"Housing completions | Total units",110,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2000-07-01,"Housing completions | Total units",65,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2000-08-01,"Housing completions | Total units",103,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2000-09-01,"Housing completions | Total units",65,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2000-10-01,"Housing completions | Total units",305,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2000-11-01,"Housing completions | Total units",111,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2000-12-01,"Housing completions | Total units",75,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2001-01-01,"Housing completions | Total units",76,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2001-02-01,"Housing completions | Total units",46,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2001-03-01,"Housing completions | Total units",84,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2001-04-01,"Housing completions | Total units",106,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2001-05-01,"Housing completions | Total units",40,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2001-06-01,"Housing completions | Total units",76,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2001-07-01,"Housing completions | Total units",126,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2001-08-01,"Housing completions | Total units",52,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2001-09-01,"Housing completions | Total units",72,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2001-10-01,"Housing completions | Total units",98,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2001-11-01,"Housing completions | Total units",61,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2001-12-01,"Housing completions | Total units",95,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2002-01-01,"Housing completions | Total units",46,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2002-02-01,"Housing completions | Total units",49,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2002-03-01,"Housing completions | Total units",84,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2002-04-01,"Housing completions | Total units",58,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2002-05-01,"Housing completions | Total units",52,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2002-06-01,"Housing completions | Total units",95,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2002-07-01,"Housing completions | Total units",185,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2002-08-01,"Housing completions | Total units",65,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2002-09-01,"Housing completions | Total units",117,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2002-10-01,"Housing completions | Total units",79,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2002-11-01,"Housing completions | Total units",80,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2002-12-01,"Housing completions | Total units",100,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2003-01-01,"Housing completions | Total units",56,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2003-02-01,"Housing completions | Total units",98,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2003-03-01,"Housing completions | Total units",68,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2003-04-01,"Housing completions | Total units",74,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2003-05-01,"Housing completions | Total units",125,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2003-06-01,"Housing completions | Total units",293,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2003-07-01,"Housing completions | Total units",115,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2003-08-01,"Housing completions | Total units",108,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2003-09-01,"Housing completions | Total units",152,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2003-10-01,"Housing completions | Total units",120,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2003-11-01,"Housing completions | Total units",170,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2003-12-01,"Housing completions | Total units",296,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
2004-01-01,"Housing completions | Total units",110,"v42127410","0","Housing completions","Total units","Completions — Total",FALSE,11
