"date","label","value","VECTOR","DECIMALS","estimate","unit_type","panel_label","is_ratio","display_order"
2000-01-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2000-02-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2000-03-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2000-04-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2000-05-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2000-06-01,"Housing starts | Apartment and other unit types",38,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2000-07-01,"Housing starts | Apartment and other unit types",58,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2000-08-01,"Housing starts | Apartment and other unit types",48,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2000-09-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2000-10-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2000-11-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2000-12-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2001-01-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2001-02-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2001-03-01,"Housing starts | Apartment and other unit types",16,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2001-04-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2001-05-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2001-06-01,"Housing starts | Apartment and other unit types",36,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2001-07-01,"Housing starts | Apartment and other unit types",59,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2001-08-01,"Housing starts | Apartment and other unit types",4,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2001-09-01,"Housing starts | Apartment and other unit types",1,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2001-10-01,"Housing starts | Apartment and other unit types",36,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2001-11-01,"Housing starts | Apartment and other unit types",8,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2001-12-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2002-01-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2002-02-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2002-03-01,"Housing starts | Apartment and other unit types",4,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2002-04-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2002-05-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2002-06-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2002-07-01,"Housing starts | Apartment and other unit types",46,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2002-08-01,"Housing starts | Apartment and other unit types",62,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2002-09-01,"Housing starts | Apartment and other unit types",54,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2002-10-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2002-11-01,"Housing starts | Apartment and other unit types",24,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2002-12-01,"Housing starts | Apartment and other unit types",126,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2003-01-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2003-02-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2003-03-01,"Housing starts | Apartment and other unit types",0,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
2003-04-01,"Housing starts | Apartment and other unit types",130,"v42127404","0","Housing starts","Apartment and other unit types","Housing Starts — Apartment & Other",FALSE,5
