"date","label","value","VECTOR","DECIMALS","estimate","unit_type","panel_label","is_ratio","display_order"
2000-01-01,"Housing starts | Single-detached units",26,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2000-02-01,"Housing starts | Single-detached units",25,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2000-03-01,"Housing starts | Single-detached units",38,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2000-04-01,"Housing starts | Single-detached units",59,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2000-05-01,"Housing starts | Single-detached units",132,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2000-06-01,"Housing starts | Single-detached units",60,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2000-07-01,"Housing starts | Single-detached units",52,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2000-08-01,"Housing starts | Single-detached units",69,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2000-09-01,"Housing starts | Single-detached units",38,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2000-10-01,"Housing starts | Single-detached units",49,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2000-11-01,"Housing starts | Single-detached units",42,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2000-12-01,"Housing starts | Single-detached units",12,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2001-01-01,"Housing starts | Single-detached units",38,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2001-02-01,"Housing starts | Single-detached units",30,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2001-03-01,"Housing starts | Single-detached units",46,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2001-04-01,"Housing starts | Single-detached units",48,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2001-05-01,"Housing starts | Single-detached units",52,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2001-06-01,"Housing starts | Single-detached units",56,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2001-07-01,"Housing starts | Single-detached units",51,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2001-08-01,"Housing starts | Single-detached units",36,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2001-09-01,"Housing starts | Single-detached units",52,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2001-10-01,"Housing starts | Single-detached units",54,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2001-11-01,"Housing starts | Single-detached units",41,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2001-12-01,"Housing starts | Single-detached units",38,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2002-01-01,"Housing starts | Single-detached units",42,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2002-02-01,"Housing starts | Single-detached units",37,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2002-03-01,"Housing starts | Single-detached units",37,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2002-04-01,"Housing starts | Single-detached units",59,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2002-05-01,"Housing starts | Single-detached units",86,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2002-06-01,"Housing starts | Single-detached units",69,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2002-07-01,"Housing starts | Single-detached units",70,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2002-08-01,"Housing starts | Single-detached units",54,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2002-09-01,"Housing starts | Single-detached units",97,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2002-10-01,"Housing starts | Single-detached units",56,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2002-11-01,"Housing starts | Single-detached units",45,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2002-12-01,"Housing starts | Single-detached units",39,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2003-01-01,"Housing starts | Single-detached units",30,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2003-02-01,"Housing starts | Single-detached units",32,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2003-03-01,"Housing starts | Single-detached units",61,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2003-04-01,"Housing starts | Single-detached units",53,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2003-05-01,"Housing starts | Single-detached units",77,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2003-06-01,"Housing starts | Single-detached units",69,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2003-07-01,"Housing starts | Single-detached units",73,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2003-08-01,"Housing starts | Single-detached units",67,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2003-09-01,"Housing starts | Single-detached units",57,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2003-10-01,"Housing starts | Single-detached units",65,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2003-11-01,"Housing starts | Single-detached units",58,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2003-12-01,"Housing starts | Single-detached units",34,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2004-01-01,"Housing starts | Single-detached units",29,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2004-02-01,"Housing starts | Single-detached units",37,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2004-03-01,"Housing starts | Single-detached units",45,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2004-04-01,"Housing starts | Single-detached units",66,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2004-05-01,"Housing starts | Single-detached units",66,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2004-06-01,"Housing starts | Single-detached units",116,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2004-07-01,"Housing starts | Single-detached units",75,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
2004-08-01,"Housing starts | Single-detached units",77,"v42127401","0","Housing starts","Single-detached units","Housing Starts — Single-Detached",FALSE,2
