"date","label","value","VECTOR","DECIMALS","estimate","unit_type","panel_label","is_ratio","display_order"
2000-01-01,"Housing starts | Total units",32,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2000-02-01,"Housing starts | Total units",54,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2000-03-01,"Housing starts | Total units",58,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2000-04-01,"Housing starts | Total units",69,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2000-05-01,"Housing starts | Total units",152,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2000-06-01,"Housing starts | Total units",110,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2000-07-01,"Housing starts | Total units",114,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2000-08-01,"Housing starts | Total units",139,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2000-09-01,"Housing starts | Total units",53,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2000-10-01,"Housing starts | Total units",95,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2000-11-01,"Housing starts | Total units",76,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2000-12-01,"Housing starts | Total units",16,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2001-01-01,"Housing starts | Total units",48,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2001-02-01,"Housing starts | Total units",32,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2001-03-01,"Housing starts | Total units",68,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2001-04-01,"Housing starts | Total units",50,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2001-05-01,"Housing starts | Total units",54,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2001-06-01,"Housing starts | Total units",112,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2001-07-01,"Housing starts | Total units",152,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2001-08-01,"Housing starts | Total units",52,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2001-09-01,"Housing starts | Total units",121,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2001-10-01,"Housing starts | Total units",111,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2001-11-01,"Housing starts | Total units",49,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2001-12-01,"Housing starts | Total units",51,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2002-01-01,"Housing starts | Total units",68,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2002-02-01,"Housing starts | Total units",100,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2002-03-01,"Housing starts | Total units",56,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2002-04-01,"Housing starts | Total units",100,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2002-05-01,"Housing starts | Total units",124,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2002-06-01,"Housing starts | Total units",91,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2002-07-01,"Housing starts | Total units",133,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2002-08-01,"Housing starts | Total units",152,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2002-09-01,"Housing starts | Total units",252,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2002-10-01,"Housing starts | Total units",132,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2002-11-01,"Housing starts | Total units",93,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2002-12-01,"Housing starts | Total units",188,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2003-01-01,"Housing starts | Total units",30,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2003-02-01,"Housing starts | Total units",68,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2003-03-01,"Housing starts | Total units",138,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2003-04-01,"Housing starts | Total units",258,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2003-05-01,"Housing starts | Total units",113,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2003-06-01,"Housing starts | Total units",169,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2003-07-01,"Housing starts | Total units",123,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2003-08-01,"Housing starts | Total units",166,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2003-09-01,"Housing starts | Total units",154,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2003-10-01,"Housing starts | Total units",102,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2003-11-01,"Housing starts | Total units",99,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2003-12-01,"Housing starts | Total units",35,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2004-01-01,"Housing starts | Total units",103,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2004-02-01,"Housing starts | Total units",39,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2004-03-01,"Housing starts | Total units",61,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2004-04-01,"Housing starts | Total units",183,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2004-05-01,"Housing starts | Total units",351,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2004-06-01,"Housing starts | Total units",124,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2004-07-01,"Housing starts | Total units",89,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2004-08-01,"Housing starts | Total units",81,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2004-09-01,"Housing starts | Total units",95,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2004-10-01,"Housing starts | Total units",169,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2004-11-01,"Housing starts | Total units",221,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2004-12-01,"Housing starts | Total units",62,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2005-01-01,"Housing starts | Total units",92,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2005-02-01,"Housing starts | Total units",49,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2005-03-01,"Housing starts | Total units",56,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2005-04-01,"Housing starts | Total units",77,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2005-05-01,"Housing starts | Total units",93,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2005-06-01,"Housing starts | Total units",193,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2005-07-01,"Housing starts | Total units",85,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2005-08-01,"Housing starts | Total units",84,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2005-09-01,"Housing starts | Total units",90,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2005-10-01,"Housing starts | Total units",100,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2005-11-01,"Housing starts | Total units",89,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2005-12-01,"Housing starts | Total units",54,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2006-01-01,"Housing starts | Total units",105,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2006-02-01,"Housing starts | Total units",56,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2006-03-01,"Housing starts | Total units",85,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2006-04-01,"Housing starts | Total units",139,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2006-05-01,"Housing starts | Total units",115,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2006-06-01,"Housing starts | Total units",189,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2006-07-01,"Housing starts | Total units",176,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2006-08-01,"Housing starts | Total units",72,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2006-09-01,"Housing starts | Total units",151,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2006-10-01,"Housing starts | Total units",151,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2006-11-01,"Housing starts | Total units",145,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2006-12-01,"Housing starts | Total units",112,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-01-01,"Housing starts | Total units",133,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-02-01,"Housing starts | Total units",90,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-03-01,"Housing starts | Total units",96,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-04-01,"Housing starts | Total units",275,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-05-01,"Housing starts | Total units",255,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-06-01,"Housing starts | Total units",356,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-07-01,"Housing starts | Total units",292,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-08-01,"Housing starts | Total units",139,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-09-01,"Housing starts | Total units",244,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-10-01,"Housing starts | Total units",189,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-11-01,"Housing starts | Total units",160,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2007-12-01,"Housing starts | Total units",151,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-01-01,"Housing starts | Total units",201,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-02-01,"Housing starts | Total units",175,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-03-01,"Housing starts | Total units",214,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-04-01,"Housing starts | Total units",207,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
2008-05-01,"Housing starts | Total units",310,"v42127400","0","Housing starts","Total units","Housing Starts — Total",FALSE,1
