"date","label","value","VECTOR","DECIMALS","estimate","unit_type","panel_label","is_ratio","display_order"
2000-01-01,"Housing under construction | Apartment and other unit types",391,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2000-02-01,"Housing under construction | Apartment and other unit types",367,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2000-03-01,"Housing under construction | Apartment and other unit types",367,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2000-04-01,"Housing under construction | Apartment and other unit types",317,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2000-05-01,"Housing under construction | Apartment and other unit types",263,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2000-06-01,"Housing under construction | Apartment and other unit types",301,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2000-07-01,"Housing under construction | Apartment and other unit types",359,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2000-08-01,"Housing under construction | Apartment and other unit types",407,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2000-09-01,"Housing under construction | Apartment and other unit types",407,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2000-10-01,"Housing under construction | Apartment and other unit types",194,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2000-11-01,"Housing under construction | Apartment and other unit types",144,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2000-12-01,"Housing under construction | Apartment and other unit types",136,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2001-01-01,"Housing under construction | Apartment and other unit types",130,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2001-02-01,"Housing under construction | Apartment and other unit types",130,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2001-03-01,"Housing under construction | Apartment and other unit types",98,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2001-04-01,"Housing under construction | Apartment and other unit types",66,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2001-05-01,"Housing under construction | Apartment and other unit types",66,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2001-06-01,"Housing under construction | Apartment and other unit types",102,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2001-07-01,"Housing under construction | Apartment and other unit types",111,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2001-08-01,"Housing under construction | Apartment and other unit types",115,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2001-09-01,"Housing under construction | Apartment and other unit types",116,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
2001-10-01,"Housing under construction | Apartment and other unit types",136,"v42127409","0","Housing under construction","Apartment and other unit types","Under Construction — Apartment & Other",FALSE,10
