"date","label","value","VECTOR","DECIMALS","estimate","unit_type","panel_label","is_ratio","display_order"
2000-01-01,"Housing under construction | Row units",58,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2000-02-01,"Housing under construction | Row units",79,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2000-03-01,"Housing under construction | Row units",80,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2000-04-01,"Housing under construction | Row units",74,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2000-05-01,"Housing under construction | Row units",86,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2000-06-01,"Housing under construction | Row units",35,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2000-07-01,"Housing under construction | Row units",35,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2000-08-01,"Housing under construction | Row units",37,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2000-09-01,"Housing under construction | Row units",42,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2000-10-01,"Housing under construction | Row units",64,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2000-11-01,"Housing under construction | Row units",94,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2000-12-01,"Housing under construction | Row units",82,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2001-01-01,"Housing under construction | Row units",73,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2001-02-01,"Housing under construction | Row units",69,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2001-03-01,"Housing under construction | Row units",60,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2001-04-01,"Housing under construction | Row units",36,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2001-05-01,"Housing under construction | Row units",36,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2001-06-01,"Housing under construction | Row units",18,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2001-07-01,"Housing under construction | Row units",44,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2001-08-01,"Housing under construction | Row units",54,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2001-09-01,"Housing under construction | Row units",95,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2001-10-01,"Housing under construction | Row units",97,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2001-11-01,"Housing under construction | Row units",82,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2001-12-01,"Housing under construction | Row units",86,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2002-01-01,"Housing under construction | Row units",100,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
2002-02-01,"Housing under construction | Row units",137,"v42127408","0","Housing under construction","Row units","Under Construction — Row",FALSE,9
