"date","label","value","VECTOR","DECIMALS","estimate","unit_type","panel_label","is_ratio","display_order"
2000-01-01,"Housing under construction | Semi-detached units",38,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2000-02-01,"Housing under construction | Semi-detached units",40,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2000-03-01,"Housing under construction | Semi-detached units",38,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2000-04-01,"Housing under construction | Semi-detached units",42,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2000-05-01,"Housing under construction | Semi-detached units",38,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2000-06-01,"Housing under construction | Semi-detached units",38,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2000-07-01,"Housing under construction | Semi-detached units",36,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2000-08-01,"Housing under construction | Semi-detached units",42,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2000-09-01,"Housing under construction | Semi-detached units",46,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2000-10-01,"Housing under construction | Semi-detached units",56,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2000-11-01,"Housing under construction | Semi-detached units",58,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2000-12-01,"Housing under construction | Semi-detached units",54,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2001-01-01,"Housing under construction | Semi-detached units",50,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2001-02-01,"Housing under construction | Semi-detached units",40,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2001-03-01,"Housing under construction | Semi-detached units",42,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2001-04-01,"Housing under construction | Semi-detached units",28,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2001-05-01,"Housing under construction | Semi-detached units",28,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2001-06-01,"Housing under construction | Semi-detached units",26,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
2001-07-01,"Housing under construction | Semi-detached units",26,"v42127407","0","Housing under construction","Semi-detached units","Under Construction — Semi-Detached",FALSE,8
