"date","label","value","VECTOR","DECIMALS","estimate","unit_type","panel_label","is_ratio","display_order"
2000-01-01,"Housing under construction | Single-detached units",198,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2000-02-01,"Housing under construction | Single-detached units",169,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2000-03-01,"Housing under construction | Single-detached units",164,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2000-04-01,"Housing under construction | Single-detached units",203,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2000-05-01,"Housing under construction | Single-detached units",284,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2000-06-01,"Housing under construction | Single-detached units",298,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2000-07-01,"Housing under construction | Single-detached units",291,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2000-08-01,"Housing under construction | Single-detached units",271,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2000-09-01,"Housing under construction | Single-detached units",250,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2000-10-01,"Housing under construction | Single-detached units",220,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2000-11-01,"Housing under construction | Single-detached units",203,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2000-12-01,"Housing under construction | Single-detached units",169,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2001-01-01,"Housing under construction | Single-detached units",160,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2001-02-01,"Housing under construction | Single-detached units",160,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2001-03-01,"Housing under construction | Single-detached units",183,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2001-04-01,"Housing under construction | Single-detached units",197,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2001-05-01,"Housing under construction | Single-detached units",212,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2001-06-01,"Housing under construction | Single-detached units",229,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2001-07-01,"Housing under construction | Single-detached units",215,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2001-08-01,"Housing under construction | Single-detached units",201,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2001-09-01,"Housing under construction | Single-detached units",200,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
2001-10-01,"Housing under construction | Single-detached units",193,"v42127406","0","Housing under construction","Single-detached units","Under Construction — Single-Detached",FALSE,7
