"date","label","value","VECTOR","DECIMALS","estimate","unit_type","panel_label","is_ratio","display_order"
2000-01-01,"Housing under construction | Total units",685,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2000-02-01,"Housing under construction | Total units",655,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2000-03-01,"Housing under construction | Total units",649,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2000-04-01,"Housing under construction | Total units",636,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2000-05-01,"Housing under construction | Total units",671,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2000-06-01,"Housing under construction | Total units",672,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2000-07-01,"Housing under construction | Total units",721,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2000-08-01,"Housing under construction | Total units",757,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2000-09-01,"Housing under construction | Total units",745,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2000-10-01,"Housing under construction | Total units",534,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2000-11-01,"Housing under construction | Total units",499,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2000-12-01,"Housing under construction | Total units",441,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2001-01-01,"Housing under construction | Total units",413,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2001-02-01,"Housing under construction | Total units",399,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2001-03-01,"Housing under construction | Total units",383,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2001-04-01,"Housing under construction | Total units",327,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2001-05-01,"Housing under construction | Total units",342,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2001-06-01,"Housing under construction | Total units",375,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2001-07-01,"Housing under construction | Total units",396,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2001-08-01,"Housing under construction | Total units",396,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2001-09-01,"Housing under construction | Total units",445,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2001-10-01,"Housing under construction | Total units",458,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2001-11-01,"Housing under construction | Total units",446,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2001-12-01,"Housing under construction | Total units",403,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2002-01-01,"Housing under construction | Total units",425,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2002-02-01,"Housing under construction | Total units",476,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2002-03-01,"Housing under construction | Total units",448,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2002-04-01,"Housing under construction | Total units",486,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2002-05-01,"Housing under construction | Total units",558,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2002-06-01,"Housing under construction | Total units",560,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2002-07-01,"Housing under construction | Total units",508,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2002-08-01,"Housing under construction | Total units",595,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2002-09-01,"Housing under construction | Total units",729,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2002-10-01,"Housing under construction | Total units",781,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2002-11-01,"Housing under construction | Total units",793,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2002-12-01,"Housing under construction | Total units",883,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2003-01-01,"Housing under construction | Total units",857,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2003-02-01,"Housing under construction | Total units",827,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2003-03-01,"Housing under construction | Total units",897,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2003-04-01,"Housing under construction | Total units",1081,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2003-05-01,"Housing under construction | Total units",1070,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2003-06-01,"Housing under construction | Total units",950,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2003-07-01,"Housing under construction | Total units",958,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2003-08-01,"Housing under construction | Total units",1016,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2003-09-01,"Housing under construction | Total units",1019,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2003-10-01,"Housing under construction | Total units",1000,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2003-11-01,"Housing under construction | Total units",930,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2003-12-01,"Housing under construction | Total units",669,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2004-01-01,"Housing under construction | Total units",661,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2004-02-01,"Housing under construction | Total units",651,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2004-03-01,"Housing under construction | Total units",655,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2004-04-01,"Housing under construction | Total units",784,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2004-05-01,"Housing under construction | Total units",1060,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2004-06-01,"Housing under construction | Total units",1018,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2004-07-01,"Housing under construction | Total units",1016,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2004-08-01,"Housing under construction | Total units",984,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2004-09-01,"Housing under construction | Total units",912,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2004-10-01,"Housing under construction | Total units",834,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2004-11-01,"Housing under construction | Total units",954,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2004-12-01,"Housing under construction | Total units",925,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2005-01-01,"Housing under construction | Total units",931,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2005-02-01,"Housing under construction | Total units",927,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2005-03-01,"Housing under construction | Total units",940,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2005-04-01,"Housing under construction | Total units",914,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2005-05-01,"Housing under construction | Total units",904,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2005-06-01,"Housing under construction | Total units",1009,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2005-07-01,"Housing under construction | Total units",1013,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2005-08-01,"Housing under construction | Total units",1008,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2005-09-01,"Housing under construction | Total units",836,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2005-10-01,"Housing under construction | Total units",814,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2005-11-01,"Housing under construction | Total units",751,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2005-12-01,"Housing under construction | Total units",658,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2006-01-01,"Housing under construction | Total units",699,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2006-02-01,"Housing under construction | Total units",666,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2006-03-01,"Housing under construction | Total units",692,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2006-04-01,"Housing under construction | Total units",775,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2006-05-01,"Housing under construction | Total units",817,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2006-06-01,"Housing under construction | Total units",903,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2006-07-01,"Housing under construction | Total units",1009,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2006-08-01,"Housing under construction | Total units",918,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
2006-09-01,"Housing under construction | Total units",988,"v42127405","0","Housing under construction","Total units","Under Construction — Total",FALSE,6
