"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2017-01-01,"Total industrial",4.582173,"v1705350186","0","Industrial",FALSE,6
2017-02-01,"Total industrial",4.002059,"v1705350186","0","Industrial",FALSE,6
2017-03-01,"Total industrial",3.195969,"v1705350186","0","Industrial",FALSE,6
2017-04-01,"Total industrial",3.012826,"v1705350186","0","Industrial",FALSE,6
2017-05-01,"Total industrial",2.934451,"v1705350186","0","Industrial",FALSE,6
2017-06-01,"Total industrial",3.488662,"v1705350186","0","Industrial",FALSE,6
2017-07-01,"Total industrial",3.64323,"v1705350186","0","Industrial",FALSE,6
2017-08-01,"Total industrial",4.006368,"v1705350186","0","Industrial",FALSE,6
2017-09-01,"Total industrial",4.249992,"v1705350186","0","Industrial",FALSE,6
2017-10-01,"Total industrial",4.288421,"v1705350186","0","Industrial",FALSE,6
2017-11-01,"Total industrial",4.145126,"v1705350186","0","Industrial",FALSE,6
2017-12-01,"Total industrial",4.588139,"v1705350186","0","Industrial",FALSE,6
2018-01-01,"Total industrial",5.49493,"v1705350186","0","Industrial",FALSE,6
2018-02-01,"Total industrial",5.575501,"v1705350186","0","Industrial",FALSE,6
2018-03-01,"Total industrial",5.739376,"v1705350186","0","Industrial",FALSE,6
2018-04-01,"Total industrial",6.191062,"v1705350186","0","Industrial",FALSE,6
2018-05-01,"Total industrial",7.010135,"v1705350186","0","Industrial",FALSE,6
2018-06-01,"Total industrial",7.568007,"v1705350186","0","Industrial",FALSE,6
2018-07-01,"Total industrial",8.005912,"v1705350186","0","Industrial",FALSE,6
2018-08-01,"Total industrial",7.957779,"v1705350186","0","Industrial",FALSE,6
2018-09-01,"Total industrial",7.703423,"v1705350186","0","Industrial",FALSE,6
2018-10-01,"Total industrial",7.433693,"v1705350186","0","Industrial",FALSE,6
2018-11-01,"Total industrial",7.483369,"v1705350186","0","Industrial",FALSE,6
2018-12-01,"Total industrial",7.322698,"v1705350186","0","Industrial",FALSE,6
2019-01-01,"Total industrial",7.25391,"v1705350186","0","Industrial",FALSE,6
2019-02-01,"Total industrial",7.962517,"v1705350186","0","Industrial",FALSE,6
2019-03-01,"Total industrial",9.554758,"v1705350186","0","Industrial",FALSE,6
2019-04-01,"Total industrial",10.073045,"v1705350186","0","Industrial",FALSE,6
2019-05-01,"Total industrial",10.552488,"v1705350186","0","Industrial",FALSE,6
2019-06-01,"Total industrial",10.671328,"v1705350186","0","Industrial",FALSE,6
2019-07-01,"Total industrial",10.408176,"v1705350186","0","Industrial",FALSE,6
2019-08-01,"Total industrial",9.826277,"v1705350186","0","Industrial",FALSE,6
2019-09-01,"Total industrial",9.244507,"v1705350186","0","Industrial",FALSE,6
2019-10-01,"Total industrial",8.977799,"v1705350186","0","Industrial",FALSE,6
2019-11-01,"Total industrial",8.778244,"v1705350186","0","Industrial",FALSE,6
2019-12-01,"Total industrial",8.783146,"v1705350186","0","Industrial",FALSE,6
2020-01-01,"Total industrial",8.826267,"v1705350186","0","Industrial",FALSE,6
2020-02-01,"Total industrial",9.280281,"v1705350186","0","Industrial",FALSE,6
2020-03-01,"Total industrial",9.012486,"v1705350186","0","Industrial",FALSE,6
2020-04-01,"Total industrial",9.022999,"v1705350186","0","Industrial",FALSE,6
2020-05-01,"Total industrial",8.74024,"v1705350186","0","Industrial",FALSE,6
2020-06-01,"Total industrial",7.930325,"v1705350186","0","Industrial",FALSE,6
2020-07-01,"Total industrial",7.262256,"v1705350186","0","Industrial",FALSE,6
2020-08-01,"Total industrial",6.927769,"v1705350186","0","Industrial",FALSE,6
2020-09-01,"Total industrial",6.37132,"v1705350186","0","Industrial",FALSE,6
2020-10-01,"Total industrial",6.042011,"v1705350186","0","Industrial",FALSE,6
2020-11-01,"Total industrial",5.269487,"v1705350186","0","Industrial",FALSE,6
2020-12-01,"Total industrial",5.099839,"v1705350186","0","Industrial",FALSE,6
2021-01-01,"Total industrial",4.714435,"v1705350186","0","Industrial",FALSE,6
2021-02-01,"Total industrial",4.36982,"v1705350186","0","Industrial",FALSE,6
2021-03-01,"Total industrial",4.418288,"v1705350186","0","Industrial",FALSE,6
2021-04-01,"Total industrial",4.362206,"v1705350186","0","Industrial",FALSE,6
2021-05-01,"Total industrial",3.887183,"v1705350186","0","Industrial",FALSE,6
2021-06-01,"Total industrial",3.810641,"v1705350186","0","Industrial",FALSE,6
2021-07-01,"Total industrial",3.461615,"v1705350186","0","Industrial",FALSE,6
2021-08-01,"Total industrial",3.890821,"v1705350186","0","Industrial",FALSE,6
2021-09-01,"Total industrial",4.684491,"v1705350186","0","Industrial",FALSE,6
2021-10-01,"Total industrial",5.213901,"v1705350186","0","Industrial",FALSE,6
2021-11-01,"Total industrial",6.061555,"v1705350186","0","Industrial",FALSE,6
2021-12-01,"Total industrial",6.426315,"v1705350186","0","Industrial",FALSE,6
2022-01-01,"Total industrial",6.840051,"v1705350186","0","Industrial",FALSE,6
2022-02-01,"Total industrial",7.242829,"v1705350186","0","Industrial",FALSE,6
2022-03-01,"Total industrial",6.831561,"v1705350186","0","Industrial",FALSE,6
2022-04-01,"Total industrial",6.23077,"v1705350186","0","Industrial",FALSE,6
2022-05-01,"Total industrial",5.674053,"v1705350186","0","Industrial",FALSE,6
2022-06-01,"Total industrial",5.04645,"v1705350186","0","Industrial",FALSE,6
2022-07-01,"Total industrial",4.693591,"v1705350186","0","Industrial",FALSE,6
2022-08-01,"Total industrial",4.773031,"v1705350186","0","Industrial",FALSE,6
2022-09-01,"Total industrial",5.699956,"v1705350186","0","Industrial",FALSE,6
2022-10-01,"Total industrial",6.307509,"v1705350186","0","Industrial",FALSE,6
2022-11-01,"Total industrial",5.93858,"v1705350186","0","Industrial",FALSE,6
2022-12-01,"Total industrial",5.616887,"v1705350186","0","Industrial",FALSE,6
2023-01-01,"Total industrial",4.973505,"v1705350186","0","Industrial",FALSE,6
2023-02-01,"Total industrial",4.308619,"v1705350186","0","Industrial",FALSE,6
2023-03-01,"Total industrial",4.131199,"v1705350186","0","Industrial",FALSE,6
2023-04-01,"Total industrial",4.49363,"v1705350186","0","Industrial",FALSE,6
2023-05-01,"Total industrial",5.266061,"v1705350186","0","Industrial",FALSE,6
2023-06-01,"Total industrial",5.915328,"v1705350186","0","Industrial",FALSE,6
