"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2017-01-01,"Total institutional and governmental",21.055292,"v1705350466","0","Institutional and Governmental",FALSE,8
2017-02-01,"Total institutional and governmental",20.352535,"v1705350466","0","Institutional and Governmental",FALSE,8
2017-03-01,"Total institutional and governmental",20.192395,"v1705350466","0","Institutional and Governmental",FALSE,8
2017-04-01,"Total institutional and governmental",19.304911,"v1705350466","0","Institutional and Governmental",FALSE,8
2017-05-01,"Total institutional and governmental",18.873971,"v1705350466","0","Institutional and Governmental",FALSE,8
2017-06-01,"Total institutional and governmental",17.12034,"v1705350466","0","Institutional and Governmental",FALSE,8
2017-07-01,"Total institutional and governmental",15.475717,"v1705350466","0","Institutional and Governmental",FALSE,8
2017-08-01,"Total institutional and governmental",14.167852,"v1705350466","0","Institutional and Governmental",FALSE,8
2017-09-01,"Total institutional and governmental",13.810719,"v1705350466","0","Institutional and Governmental",FALSE,8
2017-10-01,"Total institutional and governmental",13.07985,"v1705350466","0","Institutional and Governmental",FALSE,8
2017-11-01,"Total institutional and governmental",13.91587,"v1705350466","0","Institutional and Governmental",FALSE,8
2017-12-01,"Total institutional and governmental",13.816386,"v1705350466","0","Institutional and Governmental",FALSE,8
2018-01-01,"Total institutional and governmental",13.621155,"v1705350466","0","Institutional and Governmental",FALSE,8
2018-02-01,"Total institutional and governmental",14.563575,"v1705350466","0","Institutional and Governmental",FALSE,8
2018-03-01,"Total institutional and governmental",14.76258,"v1705350466","0","Institutional and Governmental",FALSE,8
2018-04-01,"Total institutional and governmental",15.112264,"v1705350466","0","Institutional and Governmental",FALSE,8
2018-05-01,"Total institutional and governmental",14.470752,"v1705350466","0","Institutional and Governmental",FALSE,8
2018-06-01,"Total institutional and governmental",13.881829,"v1705350466","0","Institutional and Governmental",FALSE,8
2018-07-01,"Total institutional and governmental",12.527141,"v1705350466","0","Institutional and Governmental",FALSE,8
2018-08-01,"Total institutional and governmental",12.246568,"v1705350466","0","Institutional and Governmental",FALSE,8
2018-09-01,"Total institutional and governmental",11.088835,"v1705350466","0","Institutional and Governmental",FALSE,8
2018-10-01,"Total institutional and governmental",11.320758,"v1705350466","0","Institutional and Governmental",FALSE,8
2018-11-01,"Total institutional and governmental",9.056565,"v1705350466","0","Institutional and Governmental",FALSE,8
2018-12-01,"Total institutional and governmental",9.363029,"v1705350466","0","Institutional and Governmental",FALSE,8
2019-01-01,"Total institutional and governmental",9.204861,"v1705350466","0","Institutional and Governmental",FALSE,8
2019-02-01,"Total institutional and governmental",8.572627,"v1705350466","0","Institutional and Governmental",FALSE,8
2019-03-01,"Total institutional and governmental",8.24502,"v1705350466","0","Institutional and Governmental",FALSE,8
