"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2017-01-01,"Total non-residential",57.994673,"v1705350166","0","Total Non-Residential",FALSE,5
2017-02-01,"Total non-residential",56.561107,"v1705350166","0","Total Non-Residential",FALSE,5
2017-03-01,"Total non-residential",55.930222,"v1705350166","0","Total Non-Residential",FALSE,5
2017-04-01,"Total non-residential",54.470276,"v1705350166","0","Total Non-Residential",FALSE,5
2017-05-01,"Total non-residential",53.094766,"v1705350166","0","Total Non-Residential",FALSE,5
2017-06-01,"Total non-residential",51.645027,"v1705350166","0","Total Non-Residential",FALSE,5
2017-07-01,"Total non-residential",50.355105,"v1705350166","0","Total Non-Residential",FALSE,5
2017-08-01,"Total non-residential",48.733034,"v1705350166","0","Total Non-Residential",FALSE,5
2017-09-01,"Total non-residential",48.865591,"v1705350166","0","Total Non-Residential",FALSE,5
2017-10-01,"Total non-residential",47.252728,"v1705350166","0","Total Non-Residential",FALSE,5
2017-11-01,"Total non-residential",47.140316,"v1705350166","0","Total Non-Residential",FALSE,5
2017-12-01,"Total non-residential",47.965084,"v1705350166","0","Total Non-Residential",FALSE,5
2018-01-01,"Total non-residential",49.212115,"v1705350166","0","Total Non-Residential",FALSE,5
2018-02-01,"Total non-residential",51.459537,"v1705350166","0","Total Non-Residential",FALSE,5
2018-03-01,"Total non-residential",52.289111,"v1705350166","0","Total Non-Residential",FALSE,5
2018-04-01,"Total non-residential",52.162804,"v1705350166","0","Total Non-Residential",FALSE,5
2018-05-01,"Total non-residential",55.097567,"v1705350166","0","Total Non-Residential",FALSE,5
2018-06-01,"Total non-residential",55.177063,"v1705350166","0","Total Non-Residential",FALSE,5
2018-07-01,"Total non-residential",54.729311,"v1705350166","0","Total Non-Residential",FALSE,5
2018-08-01,"Total non-residential",54.461209,"v1705350166","0","Total Non-Residential",FALSE,5
2018-09-01,"Total non-residential",52.170752,"v1705350166","0","Total Non-Residential",FALSE,5
2018-10-01,"Total non-residential",53.016682,"v1705350166","0","Total Non-Residential",FALSE,5
2018-11-01,"Total non-residential",51.395388,"v1705350166","0","Total Non-Residential",FALSE,5
2018-12-01,"Total non-residential",51.217792,"v1705350166","0","Total Non-Residential",FALSE,5
2019-01-01,"Total non-residential",53.655013,"v1705350166","0","Total Non-Residential",FALSE,5
2019-02-01,"Total non-residential",54.003043,"v1705350166","0","Total Non-Residential",FALSE,5
2019-03-01,"Total non-residential",55.488478,"v1705350166","0","Total Non-Residential",FALSE,5
2019-04-01,"Total non-residential",56.255599,"v1705350166","0","Total Non-Residential",FALSE,5
2019-05-01,"Total non-residential",62.246513,"v1705350166","0","Total Non-Residential",FALSE,5
2019-06-01,"Total non-residential",64.95744,"v1705350166","0","Total Non-Residential",FALSE,5
2019-07-01,"Total non-residential",66.869994,"v1705350166","0","Total Non-Residential",FALSE,5
2019-08-01,"Total non-residential",65.307969,"v1705350166","0","Total Non-Residential",FALSE,5
2019-09-01,"Total non-residential",63.612721,"v1705350166","0","Total Non-Residential",FALSE,5
2019-10-01,"Total non-residential",61.37659,"v1705350166","0","Total Non-Residential",FALSE,5
2019-11-01,"Total non-residential",58.724699,"v1705350166","0","Total Non-Residential",FALSE,5
2019-12-01,"Total non-residential",55.483121,"v1705350166","0","Total Non-Residential",FALSE,5
2020-01-01,"Total non-residential",53.156152,"v1705350166","0","Total Non-Residential",FALSE,5
2020-02-01,"Total non-residential",52.028675,"v1705350166","0","Total Non-Residential",FALSE,5
2020-03-01,"Total non-residential",50.006938,"v1705350166","0","Total Non-Residential",FALSE,5
2020-04-01,"Total non-residential",49.053982,"v1705350166","0","Total Non-Residential",FALSE,5
2020-05-01,"Total non-residential",47.084036,"v1705350166","0","Total Non-Residential",FALSE,5
2020-06-01,"Total non-residential",43.520054,"v1705350166","0","Total Non-Residential",FALSE,5
2020-07-01,"Total non-residential",39.634715,"v1705350166","0","Total Non-Residential",FALSE,5
2020-08-01,"Total non-residential",36.730316,"v1705350166","0","Total Non-Residential",FALSE,5
2020-09-01,"Total non-residential",33.786172,"v1705350166","0","Total Non-Residential",FALSE,5
2020-10-01,"Total non-residential",31.768533,"v1705350166","0","Total Non-Residential",FALSE,5
2020-11-01,"Total non-residential",29.361311,"v1705350166","0","Total Non-Residential",FALSE,5
2020-12-01,"Total non-residential",28.498907,"v1705350166","0","Total Non-Residential",FALSE,5
2021-01-01,"Total non-residential",27.32914,"v1705350166","0","Total Non-Residential",FALSE,5
2021-02-01,"Total non-residential",25.541278,"v1705350166","0","Total Non-Residential",FALSE,5
2021-03-01,"Total non-residential",26.32187,"v1705350166","0","Total Non-Residential",FALSE,5
2021-04-01,"Total non-residential",26.702495,"v1705350166","0","Total Non-Residential",FALSE,5
2021-05-01,"Total non-residential",27.189435,"v1705350166","0","Total Non-Residential",FALSE,5
2021-06-01,"Total non-residential",28.422245,"v1705350166","0","Total Non-Residential",FALSE,5
2021-07-01,"Total non-residential",29.562626,"v1705350166","0","Total Non-Residential",FALSE,5
2021-08-01,"Total non-residential",31.042009,"v1705350166","0","Total Non-Residential",FALSE,5
2021-09-01,"Total non-residential",31.750858,"v1705350166","0","Total Non-Residential",FALSE,5
2021-10-01,"Total non-residential",31.818888,"v1705350166","0","Total Non-Residential",FALSE,5
2021-11-01,"Total non-residential",32.881902,"v1705350166","0","Total Non-Residential",FALSE,5
2021-12-01,"Total non-residential",33.664174,"v1705350166","0","Total Non-Residential",FALSE,5
2022-01-01,"Total non-residential",34.519879,"v1705350166","0","Total Non-Residential",FALSE,5
2022-02-01,"Total non-residential",36.765427,"v1705350166","0","Total Non-Residential",FALSE,5
2022-03-01,"Total non-residential",37.098835,"v1705350166","0","Total Non-Residential",FALSE,5
2022-04-01,"Total non-residential",36.375991,"v1705350166","0","Total Non-Residential",FALSE,5
2022-05-01,"Total non-residential",37.144391,"v1705350166","0","Total Non-Residential",FALSE,5
2022-06-01,"Total non-residential",36.752026,"v1705350166","0","Total Non-Residential",FALSE,5
2022-07-01,"Total non-residential",36.061031,"v1705350166","0","Total Non-Residential",FALSE,5
2022-08-01,"Total non-residential",36.419961,"v1705350166","0","Total Non-Residential",FALSE,5
2022-09-01,"Total non-residential",37.935838,"v1705350166","0","Total Non-Residential",FALSE,5
2022-10-01,"Total non-residential",39.868835,"v1705350166","0","Total Non-Residential",FALSE,5
2022-11-01,"Total non-residential",41.437041,"v1705350166","0","Total Non-Residential",FALSE,5
2022-12-01,"Total non-residential",42.234416,"v1705350166","0","Total Non-Residential",FALSE,5
2023-01-01,"Total non-residential",42.809654,"v1705350166","0","Total Non-Residential",FALSE,5
2023-02-01,"Total non-residential",42.60711,"v1705350166","0","Total Non-Residential",FALSE,5
2023-03-01,"Total non-residential",42.130677,"v1705350166","0","Total Non-Residential",FALSE,5
2023-04-01,"Total non-residential",40.978742,"v1705350166","0","Total Non-Residential",FALSE,5
2023-05-01,"Total non-residential",40.130044,"v1705350166","0","Total Non-Residential",FALSE,5
2023-06-01,"Total non-residential",39.674478,"v1705350166","0","Total Non-Residential",FALSE,5
2023-07-01,"Total non-residential",41.459025,"v1705350166","0","Total Non-Residential",FALSE,5
2023-08-01,"Total non-residential",41.653222,"v1705350166","0","Total Non-Residential",FALSE,5
2023-09-01,"Total non-residential",42.285928,"v1705350166","0","Total Non-Residential",FALSE,5
2023-10-01,"Total non-residential",45.070004,"v1705350166","0","Total Non-Residential",FALSE,5
2023-11-01,"Total non-residential",45.39262,"v1705350166","0","Total Non-Residential",FALSE,5
2023-12-01,"Total non-residential",43.224864,"v1705350166","0","Total Non-Residential",FALSE,5
2024-01-01,"Total non-residential",42.493131,"v1705350166","0","Total Non-Residential",FALSE,5
2024-02-01,"Total non-residential",41.406965,"v1705350166","0","Total Non-Residential",FALSE,5
2024-03-01,"Total non-residential",42.431826,"v1705350166","0","Total Non-Residential",FALSE,5
2024-04-01,"Total non-residential",44.598021,"v1705350166","0","Total Non-Residential",FALSE,5
2024-05-01,"Total non-residential",46.539245,"v1705350166","0","Total Non-Residential",FALSE,5
2024-06-01,"Total non-residential",47.394181,"v1705350166","0","Total Non-Residential",FALSE,5
2024-07-01,"Total non-residential",45.577757,"v1705350166","0","Total Non-Residential",FALSE,5
2024-08-01,"Total non-residential",50.017981,"v1705350166","0","Total Non-Residential",FALSE,5
2024-09-01,"Total non-residential",50.068216,"v1705350166","0","Total Non-Residential",FALSE,5
2024-10-01,"Total non-residential",50.142855,"v1705350166","0","Total Non-Residential",FALSE,5
2024-11-01,"Total non-residential",50.513667,"v1705350166","0","Total Non-Residential",FALSE,5
2024-12-01,"Total non-residential",52.031327,"v1705350166","0","Total Non-Residential",FALSE,5
2025-01-01,"Total non-residential",53.910003,"v1705350166","0","Total Non-Residential",FALSE,5
2025-02-01,"Total non-residential",54.861154,"v1705350166","0","Total Non-Residential",FALSE,5
2025-03-01,"Total non-residential",55.847595,"v1705350166","0","Total Non-Residential",FALSE,5
2025-04-01,"Total non-residential",53.529731,"v1705350166","0","Total Non-Residential",FALSE,5
2025-05-01,"Total non-residential",53.116268,"v1705350166","0","Total Non-Residential",FALSE,5
2025-06-01,"Total non-residential",54.16291,"v1705350166","0","Total Non-Residential",FALSE,5
2025-07-01,"Total non-residential",55.893442,"v1705350166","0","Total Non-Residential",FALSE,5
2025-08-01,"Total non-residential",56.78275,"v1705350166","0","Total Non-Residential",FALSE,5
2025-09-01,"Total non-residential",57.566637,"v1705350166","0","Total Non-Residential",FALSE,5
2025-10-01,"Total non-residential",58.729816,"v1705350166","0","Total Non-Residential",FALSE,5
2025-11-01,"Total non-residential",61.132509,"v1705350166","0","Total Non-Residential",FALSE,5
2025-12-01,"Total non-residential",63.007682,"v1705350166","0","Total Non-Residential",FALSE,5
2026-01-01,"Total non-residential",63.358747,"v1705350166","0","Total Non-Residential",FALSE,5
2026-02-01,"Total non-residential",63.9889,"v1705350166","0","Total Non-Residential",FALSE,5
2026-03-01,"Total non-residential",64.083406,"v1705350166","0","Total Non-Residential",FALSE,5
2026-04-01,"Total non-residential",64.910675,"v1705350166","0","Total Non-Residential",FALSE,5
2026-05-01,"Total non-residential",64.967348,"v1705350166","0","Total Non-Residential",FALSE,5
2026-06-01,"Total non-residential",62.765758,"v1705350166","0","Total Non-Residential",FALSE,5
