"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2017-01-01,"Single dwelling building total",64.248466,"v1705349966","0","Single Dwelling",FALSE,3
2017-02-01,"Single dwelling building total",61.192842,"v1705349966","0","Single Dwelling",FALSE,3
2017-03-01,"Single dwelling building total",56.422806,"v1705349966","0","Single Dwelling",FALSE,3
2017-04-01,"Single dwelling building total",62.08679,"v1705349966","0","Single Dwelling",FALSE,3
2017-05-01,"Single dwelling building total",163.821613,"v1705349966","0","Single Dwelling",FALSE,3
2017-06-01,"Single dwelling building total",143.87471,"v1705349966","0","Single Dwelling",FALSE,3
2017-07-01,"Single dwelling building total",73.614243,"v1705349966","0","Single Dwelling",FALSE,3
2017-08-01,"Single dwelling building total",57.464308,"v1705349966","0","Single Dwelling",FALSE,3
2017-09-01,"Single dwelling building total",56.38641,"v1705349966","0","Single Dwelling",FALSE,3
2017-10-01,"Single dwelling building total",56.106306,"v1705349966","0","Single Dwelling",FALSE,3
2017-11-01,"Single dwelling building total",68.034821,"v1705349966","0","Single Dwelling",FALSE,3
2017-12-01,"Single dwelling building total",73.808448,"v1705349966","0","Single Dwelling",FALSE,3
2018-01-01,"Single dwelling building total",73.08306,"v1705349966","0","Single Dwelling",FALSE,3
2018-02-01,"Single dwelling building total",63.170029,"v1705349966","0","Single Dwelling",FALSE,3
2018-03-01,"Single dwelling building total",57.365898,"v1705349966","0","Single Dwelling",FALSE,3
2018-04-01,"Single dwelling building total",53.576217,"v1705349966","0","Single Dwelling",FALSE,3
2018-05-01,"Single dwelling building total",48.919973,"v1705349966","0","Single Dwelling",FALSE,3
2018-06-01,"Single dwelling building total",62.135314,"v1705349966","0","Single Dwelling",FALSE,3
2018-07-01,"Single dwelling building total",82.469977,"v1705349966","0","Single Dwelling",FALSE,3
2018-08-01,"Single dwelling building total",100.241799,"v1705349966","0","Single Dwelling",FALSE,3
2018-09-01,"Single dwelling building total",105.491083,"v1705349966","0","Single Dwelling",FALSE,3
2018-10-01,"Single dwelling building total",88.019637,"v1705349966","0","Single Dwelling",FALSE,3
2018-11-01,"Single dwelling building total",69.313905,"v1705349966","0","Single Dwelling",FALSE,3
2018-12-01,"Single dwelling building total",70.884691,"v1705349966","0","Single Dwelling",FALSE,3
2019-01-01,"Single dwelling building total",71.534151,"v1705349966","0","Single Dwelling",FALSE,3
2019-02-01,"Single dwelling building total",90.853316,"v1705349966","0","Single Dwelling",FALSE,3
2019-03-01,"Single dwelling building total",92.563813,"v1705349966","0","Single Dwelling",FALSE,3
2019-04-01,"Single dwelling building total",73.226179,"v1705349966","0","Single Dwelling",FALSE,3
