"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2017-01-01,"Total residential and non-residential",155.234354,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2017-02-01,"Total residential and non-residential",143.455395,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2017-03-01,"Total residential and non-residential",131.823422,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2017-04-01,"Total residential and non-residential",138.959426,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2017-05-01,"Total residential and non-residential",239.846256,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2017-06-01,"Total residential and non-residential",223.365656,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2017-07-01,"Total residential and non-residential",157.586876,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2017-08-01,"Total residential and non-residential",140.777132,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2017-09-01,"Total residential and non-residential",137.892489,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2017-10-01,"Total residential and non-residential",134.507676,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2017-11-01,"Total residential and non-residential",150.938288,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2017-12-01,"Total residential and non-residential",157.127709,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2018-01-01,"Total residential and non-residential",158.507989,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2018-02-01,"Total residential and non-residential",154.888347,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2018-03-01,"Total residential and non-residential",150.903388,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2018-04-01,"Total residential and non-residential",145.8981,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2018-05-01,"Total residential and non-residential",137.781559,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2018-06-01,"Total residential and non-residential",146.263448,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2018-07-01,"Total residential and non-residential",161.87052,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2018-08-01,"Total residential and non-residential",177.478131,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2018-09-01,"Total residential and non-residential",178.846282,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2018-10-01,"Total residential and non-residential",161.26245,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2018-11-01,"Total residential and non-residential",139.473078,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
2018-12-01,"Total residential and non-residential",141.497346,"v1705349926","0","Total — Residential and Non-Residential",FALSE,1
