"date","label","value","VECTOR","DECIMALS","is_ratio","units","display_order"
2011-01-01,"Labour force",154.5,"v1643280150","1",FALSE,"Thousands, persons",5
2011-02-01,"Labour force",155.1,"v1643280150","1",FALSE,"Thousands, persons",5
2011-03-01,"Labour force",156,"v1643280150","1",FALSE,"Thousands, persons",5
2011-04-01,"Labour force",156.6,"v1643280150","1",FALSE,"Thousands, persons",5
2011-05-01,"Labour force",157,"v1643280150","1",FALSE,"Thousands, persons",5
2011-06-01,"Labour force",156.8,"v1643280150","1",FALSE,"Thousands, persons",5
2011-07-01,"Labour force",156.3,"v1643280150","1",FALSE,"Thousands, persons",5
2011-08-01,"Labour force",155.4,"v1643280150","1",FALSE,"Thousands, persons",5
2011-09-01,"Labour force",155.7,"v1643280150","1",FALSE,"Thousands, persons",5
2011-10-01,"Labour force",156.4,"v1643280150","1",FALSE,"Thousands, persons",5
2011-11-01,"Labour force",157,"v1643280150","1",FALSE,"Thousands, persons",5
2011-12-01,"Labour force",156.9,"v1643280150","1",FALSE,"Thousands, persons",5
2012-01-01,"Labour force",157.6,"v1643280150","1",FALSE,"Thousands, persons",5
2012-02-01,"Labour force",158.9,"v1643280150","1",FALSE,"Thousands, persons",5
2012-03-01,"Labour force",159.8,"v1643280150","1",FALSE,"Thousands, persons",5
2012-04-01,"Labour force",160.3,"v1643280150","1",FALSE,"Thousands, persons",5
2012-05-01,"Labour force",161.2,"v1643280150","1",FALSE,"Thousands, persons",5
2012-06-01,"Labour force",162.2,"v1643280150","1",FALSE,"Thousands, persons",5
2012-07-01,"Labour force",163.2,"v1643280150","1",FALSE,"Thousands, persons",5
2012-08-01,"Labour force",163.4,"v1643280150","1",FALSE,"Thousands, persons",5
2012-09-01,"Labour force",163.7,"v1643280150","1",FALSE,"Thousands, persons",5
2012-10-01,"Labour force",163.9,"v1643280150","1",FALSE,"Thousands, persons",5
2012-11-01,"Labour force",164.3,"v1643280150","1",FALSE,"Thousands, persons",5
2012-12-01,"Labour force",165.3,"v1643280150","1",FALSE,"Thousands, persons",5
2013-01-01,"Labour force",166.1,"v1643280150","1",FALSE,"Thousands, persons",5
2013-02-01,"Labour force",166.7,"v1643280150","1",FALSE,"Thousands, persons",5
2013-03-01,"Labour force",167.5,"v1643280150","1",FALSE,"Thousands, persons",5
2013-04-01,"Labour force",168.4,"v1643280150","1",FALSE,"Thousands, persons",5
2013-05-01,"Labour force",169.2,"v1643280150","1",FALSE,"Thousands, persons",5
2013-06-01,"Labour force",169.4,"v1643280150","1",FALSE,"Thousands, persons",5
2013-07-01,"Labour force",169.6,"v1643280150","1",FALSE,"Thousands, persons",5
2013-08-01,"Labour force",170.7,"v1643280150","1",FALSE,"Thousands, persons",5
2013-09-01,"Labour force",170.3,"v1643280150","1",FALSE,"Thousands, persons",5
2013-10-01,"Labour force",169.5,"v1643280150","1",FALSE,"Thousands, persons",5
2013-11-01,"Labour force",168.4,"v1643280150","1",FALSE,"Thousands, persons",5
2013-12-01,"Labour force",168.7,"v1643280150","1",FALSE,"Thousands, persons",5
2014-01-01,"Labour force",169.4,"v1643280150","1",FALSE,"Thousands, persons",5
2014-02-01,"Labour force",170,"v1643280150","1",FALSE,"Thousands, persons",5
2014-03-01,"Labour force",170.4,"v1643280150","1",FALSE,"Thousands, persons",5
2014-04-01,"Labour force",171.1,"v1643280150","1",FALSE,"Thousands, persons",5
2014-05-01,"Labour force",172,"v1643280150","1",FALSE,"Thousands, persons",5
2014-06-01,"Labour force",173,"v1643280150","1",FALSE,"Thousands, persons",5
