"date","label","value","VECTOR","DECIMALS","is_ratio","units","display_order"
2011-01-01,"Participation rate",71.2,"v1643280182","1",TRUE,"Percent",3
2011-02-01,"Participation rate",71.3,"v1643280182","1",TRUE,"Percent",3
2011-03-01,"Participation rate",71.6,"v1643280182","1",TRUE,"Percent",3
2011-04-01,"Participation rate",71.7,"v1643280182","1",TRUE,"Percent",3
2011-05-01,"Participation rate",71.7,"v1643280182","1",TRUE,"Percent",3
2011-06-01,"Participation rate",71.4,"v1643280182","1",TRUE,"Percent",3
2011-07-01,"Participation rate",71,"v1643280182","1",TRUE,"Percent",3
2011-08-01,"Participation rate",70.5,"v1643280182","1",TRUE,"Percent",3
2011-09-01,"Participation rate",70.4,"v1643280182","1",TRUE,"Percent",3
2011-10-01,"Participation rate",70.5,"v1643280182","1",TRUE,"Percent",3
2011-11-01,"Participation rate",70.7,"v1643280182","1",TRUE,"Percent",3
2011-12-01,"Participation rate",70.5,"v1643280182","1",TRUE,"Percent",3
2012-01-01,"Participation rate",70.6,"v1643280182","1",TRUE,"Percent",3
2012-02-01,"Participation rate",71,"v1643280182","1",TRUE,"Percent",3
2012-03-01,"Participation rate",71.2,"v1643280182","1",TRUE,"Percent",3
2012-04-01,"Participation rate",71.2,"v1643280182","1",TRUE,"Percent",3
2012-05-01,"Participation rate",71.4,"v1643280182","1",TRUE,"Percent",3
2012-06-01,"Participation rate",71.6,"v1643280182","1",TRUE,"Percent",3
2012-07-01,"Participation rate",71.8,"v1643280182","1",TRUE,"Percent",3
2012-08-01,"Participation rate",71.7,"v1643280182","1",TRUE,"Percent",3
2012-09-01,"Participation rate",71.7,"v1643280182","1",TRUE,"Percent",3
2012-10-01,"Participation rate",71.6,"v1643280182","1",TRUE,"Percent",3
2012-11-01,"Participation rate",71.7,"v1643280182","1",TRUE,"Percent",3
2012-12-01,"Participation rate",72,"v1643280182","1",TRUE,"Percent",3
2013-01-01,"Participation rate",72.2,"v1643280182","1",TRUE,"Percent",3
2013-02-01,"Participation rate",72.3,"v1643280182","1",TRUE,"Percent",3
2013-03-01,"Participation rate",72.5,"v1643280182","1",TRUE,"Percent",3
2013-04-01,"Participation rate",72.8,"v1643280182","1",TRUE,"Percent",3
2013-05-01,"Participation rate",73,"v1643280182","1",TRUE,"Percent",3
2013-06-01,"Participation rate",72.9,"v1643280182","1",TRUE,"Percent",3
2013-07-01,"Participation rate",72.8,"v1643280182","1",TRUE,"Percent",3
2013-08-01,"Participation rate",73.1,"v1643280182","1",TRUE,"Percent",3
2013-09-01,"Participation rate",72.8,"v1643280182","1",TRUE,"Percent",3
2013-10-01,"Participation rate",72.4,"v1643280182","1",TRUE,"Percent",3
2013-11-01,"Participation rate",71.8,"v1643280182","1",TRUE,"Percent",3
2013-12-01,"Participation rate",71.8,"v1643280182","1",TRUE,"Percent",3
2014-01-01,"Participation rate",72,"v1643280182","1",TRUE,"Percent",3
2014-02-01,"Participation rate",72.1,"v1643280182","1",TRUE,"Percent",3
2014-03-01,"Participation rate",72.2,"v1643280182","1",TRUE,"Percent",3
2014-04-01,"Participation rate",72.3,"v1643280182","1",TRUE,"Percent",3
2014-05-01,"Participation rate",72.6,"v1643280182","1",TRUE,"Percent",3
2014-06-01,"Participation rate",72.9,"v1643280182","1",TRUE,"Percent",3
2014-07-01,"Participation rate",72.7,"v1643280182","1",TRUE,"Percent",3
2014-08-01,"Participation rate",72.3,"v1643280182","1",TRUE,"Percent",3
2014-09-01,"Participation rate",71.9,"v1643280182","1",TRUE,"Percent",3
2014-10-01,"Participation rate",71.7,"v1643280182","1",TRUE,"Percent",3
2014-11-01,"Participation rate",71.7,"v1643280182","1",TRUE,"Percent",3
2014-12-01,"Participation rate",71.9,"v1643280182","1",TRUE,"Percent",3
2015-01-01,"Participation rate",72.1,"v1643280182","1",TRUE,"Percent",3
2015-02-01,"Participation rate",72.2,"v1643280182","1",TRUE,"Percent",3
