"date","label","value","VECTOR","DECIMALS","is_ratio","units","display_order"
2011-01-01,"Population",217.1,"v1643280142","1",FALSE,"Thousands, persons",7
2011-02-01,"Population",217.6,"v1643280142","1",FALSE,"Thousands, persons",7
2011-03-01,"Population",218,"v1643280142","1",FALSE,"Thousands, persons",7
2011-04-01,"Population",218.5,"v1643280142","1",FALSE,"Thousands, persons",7
2011-05-01,"Population",219,"v1643280142","1",FALSE,"Thousands, persons",7
2011-06-01,"Population",219.5,"v1643280142","1",FALSE,"Thousands, persons",7
2011-07-01,"Population",220,"v1643280142","1",FALSE,"Thousands, persons",7
2011-08-01,"Population",220.5,"v1643280142","1",FALSE,"Thousands, persons",7
2011-09-01,"Population",221.1,"v1643280142","1",FALSE,"Thousands, persons",7
2011-10-01,"Population",221.7,"v1643280142","1",FALSE,"Thousands, persons",7
2011-11-01,"Population",222.2,"v1643280142","1",FALSE,"Thousands, persons",7
2011-12-01,"Population",222.7,"v1643280142","1",FALSE,"Thousands, persons",7
2012-01-01,"Population",223.3,"v1643280142","1",FALSE,"Thousands, persons",7
2012-02-01,"Population",223.8,"v1643280142","1",FALSE,"Thousands, persons",7
2012-03-01,"Population",224.5,"v1643280142","1",FALSE,"Thousands, persons",7
2012-04-01,"Population",225.1,"v1643280142","1",FALSE,"Thousands, persons",7
2012-05-01,"Population",225.8,"v1643280142","1",FALSE,"Thousands, persons",7
2012-06-01,"Population",226.5,"v1643280142","1",FALSE,"Thousands, persons",7
2012-07-01,"Population",227.2,"v1643280142","1",FALSE,"Thousands, persons",7
2012-08-01,"Population",227.8,"v1643280142","1",FALSE,"Thousands, persons",7
2012-09-01,"Population",228.3,"v1643280142","1",FALSE,"Thousands, persons",7
2012-10-01,"Population",228.8,"v1643280142","1",FALSE,"Thousands, persons",7
2012-11-01,"Population",229.3,"v1643280142","1",FALSE,"Thousands, persons",7
2012-12-01,"Population",229.7,"v1643280142","1",FALSE,"Thousands, persons",7
2013-01-01,"Population",230.1,"v1643280142","1",FALSE,"Thousands, persons",7
2013-02-01,"Population",230.5,"v1643280142","1",FALSE,"Thousands, persons",7
2013-03-01,"Population",230.9,"v1643280142","1",FALSE,"Thousands, persons",7
2013-04-01,"Population",231.4,"v1643280142","1",FALSE,"Thousands, persons",7
2013-05-01,"Population",231.9,"v1643280142","1",FALSE,"Thousands, persons",7
2013-06-01,"Population",232.4,"v1643280142","1",FALSE,"Thousands, persons",7
2013-07-01,"Population",232.9,"v1643280142","1",FALSE,"Thousands, persons",7
2013-08-01,"Population",233.4,"v1643280142","1",FALSE,"Thousands, persons",7
2013-09-01,"Population",233.8,"v1643280142","1",FALSE,"Thousands, persons",7
2013-10-01,"Population",234.2,"v1643280142","1",FALSE,"Thousands, persons",7
2013-11-01,"Population",234.6,"v1643280142","1",FALSE,"Thousands, persons",7
2013-12-01,"Population",235,"v1643280142","1",FALSE,"Thousands, persons",7
2014-01-01,"Population",235.4,"v1643280142","1",FALSE,"Thousands, persons",7
2014-02-01,"Population",235.8,"v1643280142","1",FALSE,"Thousands, persons",7
2014-03-01,"Population",236.1,"v1643280142","1",FALSE,"Thousands, persons",7
2014-04-01,"Population",236.5,"v1643280142","1",FALSE,"Thousands, persons",7
2014-05-01,"Population",236.9,"v1643280142","1",FALSE,"Thousands, persons",7
2014-06-01,"Population",237.3,"v1643280142","1",FALSE,"Thousands, persons",7
2014-07-01,"Population",237.7,"v1643280142","1",FALSE,"Thousands, persons",7
2014-08-01,"Population",238.1,"v1643280142","1",FALSE,"Thousands, persons",7
2014-09-01,"Population",238.4,"v1643280142","1",FALSE,"Thousands, persons",7
2014-10-01,"Population",238.7,"v1643280142","1",FALSE,"Thousands, persons",7
2014-11-01,"Population",239,"v1643280142","1",FALSE,"Thousands, persons",7
2014-12-01,"Population",239.3,"v1643280142","1",FALSE,"Thousands, persons",7
2015-01-01,"Population",239.7,"v1643280142","1",FALSE,"Thousands, persons",7
2015-02-01,"Population",239.9,"v1643280142","1",FALSE,"Thousands, persons",7
2015-03-01,"Population",240.2,"v1643280142","1",FALSE,"Thousands, persons",7
2015-04-01,"Population",240.4,"v1643280142","1",FALSE,"Thousands, persons",7
2015-05-01,"Population",240.6,"v1643280142","1",FALSE,"Thousands, persons",7
2015-06-01,"Population",240.9,"v1643280142","1",FALSE,"Thousands, persons",7
