"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2002-01-01,"All-items",97.7,"v41692912","1","CPI — All Items",FALSE,1
2002-02-01,"All-items",97.7,"v41692912","1","CPI — All Items",FALSE,1
2002-03-01,"All-items",98.5,"v41692912","1","CPI — All Items",FALSE,1
2002-04-01,"All-items",99.8,"v41692912","1","CPI — All Items",FALSE,1
2002-05-01,"All-items",100.1,"v41692912","1","CPI — All Items",FALSE,1
2002-06-01,"All-items",100.2,"v41692912","1","CPI — All Items",FALSE,1
2002-07-01,"All-items",100.5,"v41692912","1","CPI — All Items",FALSE,1
2002-08-01,"All-items",100.6,"v41692912","1","CPI — All Items",FALSE,1
2002-09-01,"All-items",101,"v41692912","1","CPI — All Items",FALSE,1
2002-10-01,"All-items",101.1,"v41692912","1","CPI — All Items",FALSE,1
2002-11-01,"All-items",101.5,"v41692912","1","CPI — All Items",FALSE,1
2002-12-01,"All-items",101.3,"v41692912","1","CPI — All Items",FALSE,1
2003-01-01,"All-items",101.4,"v41692912","1","CPI — All Items",FALSE,1
2003-02-01,"All-items",101.9,"v41692912","1","CPI — All Items",FALSE,1
2003-03-01,"All-items",102.3,"v41692912","1","CPI — All Items",FALSE,1
2003-04-01,"All-items",101.8,"v41692912","1","CPI — All Items",FALSE,1
2003-05-01,"All-items",102.1,"v41692912","1","CPI — All Items",FALSE,1
2003-06-01,"All-items",102,"v41692912","1","CPI — All Items",FALSE,1
2003-07-01,"All-items",102.1,"v41692912","1","CPI — All Items",FALSE,1
2003-08-01,"All-items",102.4,"v41692912","1","CPI — All Items",FALSE,1
2003-09-01,"All-items",102.6,"v41692912","1","CPI — All Items",FALSE,1
2003-10-01,"All-items",102.3,"v41692912","1","CPI — All Items",FALSE,1
2003-11-01,"All-items",102.6,"v41692912","1","CPI — All Items",FALSE,1
2003-12-01,"All-items",102.5,"v41692912","1","CPI — All Items",FALSE,1
2004-01-01,"All-items",102.6,"v41692912","1","CPI — All Items",FALSE,1
2004-02-01,"All-items",102.7,"v41692912","1","CPI — All Items",FALSE,1
2004-03-01,"All-items",102.8,"v41692912","1","CPI — All Items",FALSE,1
2004-04-01,"All-items",103.6,"v41692912","1","CPI — All Items",FALSE,1
2004-05-01,"All-items",104.6,"v41692912","1","CPI — All Items",FALSE,1
2004-06-01,"All-items",104.6,"v41692912","1","CPI — All Items",FALSE,1
2004-07-01,"All-items",104.8,"v41692912","1","CPI — All Items",FALSE,1
2004-08-01,"All-items",104.5,"v41692912","1","CPI — All Items",FALSE,1
2004-09-01,"All-items",104.6,"v41692912","1","CPI — All Items",FALSE,1
2004-10-01,"All-items",105.3,"v41692912","1","CPI — All Items",FALSE,1
2004-11-01,"All-items",105.9,"v41692912","1","CPI — All Items",FALSE,1
2004-12-01,"All-items",105.6,"v41692912","1","CPI — All Items",FALSE,1
2005-01-01,"All-items",105.4,"v41692912","1","CPI — All Items",FALSE,1
2005-02-01,"All-items",105.6,"v41692912","1","CPI — All Items",FALSE,1
2005-03-01,"All-items",106.2,"v41692912","1","CPI — All Items",FALSE,1
2005-04-01,"All-items",106.9,"v41692912","1","CPI — All Items",FALSE,1
2005-05-01,"All-items",106.3,"v41692912","1","CPI — All Items",FALSE,1
2005-06-01,"All-items",106.6,"v41692912","1","CPI — All Items",FALSE,1
2005-07-01,"All-items",106.8,"v41692912","1","CPI — All Items",FALSE,1
2005-08-01,"All-items",107.2,"v41692912","1","CPI — All Items",FALSE,1
2005-09-01,"All-items",107.7,"v41692912","1","CPI — All Items",FALSE,1
2005-10-01,"All-items",107.3,"v41692912","1","CPI — All Items",FALSE,1
2005-11-01,"All-items",107.2,"v41692912","1","CPI — All Items",FALSE,1
2005-12-01,"All-items",107.1,"v41692912","1","CPI — All Items",FALSE,1
2006-01-01,"All-items",107.9,"v41692912","1","CPI — All Items",FALSE,1
2006-02-01,"All-items",107.8,"v41692912","1","CPI — All Items",FALSE,1
2006-03-01,"All-items",108.1,"v41692912","1","CPI — All Items",FALSE,1
2006-04-01,"All-items",109.2,"v41692912","1","CPI — All Items",FALSE,1
2006-05-01,"All-items",109.6,"v41692912","1","CPI — All Items",FALSE,1
2006-06-01,"All-items",109.5,"v41692912","1","CPI — All Items",FALSE,1
2006-07-01,"All-items",109.8,"v41692912","1","CPI — All Items",FALSE,1
2006-08-01,"All-items",110.4,"v41692912","1","CPI — All Items",FALSE,1
2006-09-01,"All-items",109.3,"v41692912","1","CPI — All Items",FALSE,1
2006-10-01,"All-items",109.1,"v41692912","1","CPI — All Items",FALSE,1
2006-11-01,"All-items",108.7,"v41692912","1","CPI — All Items",FALSE,1
2006-12-01,"All-items",108.7,"v41692912","1","CPI — All Items",FALSE,1
2007-01-01,"All-items",109.5,"v41692912","1","CPI — All Items",FALSE,1
2007-02-01,"All-items",109.9,"v41692912","1","CPI — All Items",FALSE,1
2007-03-01,"All-items",110.7,"v41692912","1","CPI — All Items",FALSE,1
2007-04-01,"All-items",111.9,"v41692912","1","CPI — All Items",FALSE,1
2007-05-01,"All-items",112.4,"v41692912","1","CPI — All Items",FALSE,1
2007-06-01,"All-items",113.5,"v41692912","1","CPI — All Items",FALSE,1
2007-07-01,"All-items",114.1,"v41692912","1","CPI — All Items",FALSE,1
2007-08-01,"All-items",114.1,"v41692912","1","CPI — All Items",FALSE,1
2007-09-01,"All-items",114.4,"v41692912","1","CPI — All Items",FALSE,1
2007-10-01,"All-items",114.1,"v41692912","1","CPI — All Items",FALSE,1
2007-11-01,"All-items",114.3,"v41692912","1","CPI — All Items",FALSE,1
2007-12-01,"All-items",114,"v41692912","1","CPI — All Items",FALSE,1
2008-01-01,"All-items",114.2,"v41692912","1","CPI — All Items",FALSE,1
2008-02-01,"All-items",115,"v41692912","1","CPI — All Items",FALSE,1
2008-03-01,"All-items",116,"v41692912","1","CPI — All Items",FALSE,1
2008-04-01,"All-items",116.9,"v41692912","1","CPI — All Items",FALSE,1
2008-05-01,"All-items",117.6,"v41692912","1","CPI — All Items",FALSE,1
