"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2002-01-01,"Owned accommodation",98.7,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2002-02-01,"Owned accommodation",98.9,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2002-03-01,"Owned accommodation",98.7,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2002-04-01,"Owned accommodation",99.6,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2002-05-01,"Owned accommodation",100.3,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2002-06-01,"Owned accommodation",100.1,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2002-07-01,"Owned accommodation",100,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2002-08-01,"Owned accommodation",100.3,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2002-09-01,"Owned accommodation",100.2,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2002-10-01,"Owned accommodation",100.8,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2002-11-01,"Owned accommodation",101.2,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2002-12-01,"Owned accommodation",101.2,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2003-01-01,"Owned accommodation",101.1,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2003-02-01,"Owned accommodation",101.2,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2003-03-01,"Owned accommodation",101.4,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2003-04-01,"Owned accommodation",101.7,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2003-05-01,"Owned accommodation",102,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2003-06-01,"Owned accommodation",102.3,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2003-07-01,"Owned accommodation",102.2,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2003-08-01,"Owned accommodation",102.4,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2003-09-01,"Owned accommodation",102.3,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2003-10-01,"Owned accommodation",103.1,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2003-11-01,"Owned accommodation",103.2,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2003-12-01,"Owned accommodation",102.8,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2004-01-01,"Owned accommodation",103.3,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2004-02-01,"Owned accommodation",103.3,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2004-03-01,"Owned accommodation",103,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2004-04-01,"Owned accommodation",103.4,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2004-05-01,"Owned accommodation",103.6,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2004-06-01,"Owned accommodation",103,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2004-07-01,"Owned accommodation",103.7,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2004-08-01,"Owned accommodation",104.4,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2004-09-01,"Owned accommodation",104.1,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2004-10-01,"Owned accommodation",106.4,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2004-11-01,"Owned accommodation",106.7,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2004-12-01,"Owned accommodation",106.8,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2005-01-01,"Owned accommodation",107.1,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2005-02-01,"Owned accommodation",106.4,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2005-03-01,"Owned accommodation",107.3,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2005-04-01,"Owned accommodation",108.2,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2005-05-01,"Owned accommodation",107.9,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2005-06-01,"Owned accommodation",108.3,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2005-07-01,"Owned accommodation",108,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2005-08-01,"Owned accommodation",108.2,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2005-09-01,"Owned accommodation",108.4,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2005-10-01,"Owned accommodation",108.9,"v41692915","1","CPI — Owned Accommodation",FALSE,4
2005-11-01,"Owned accommodation",109.3,"v41692915","1","CPI — Owned Accommodation",FALSE,4
