"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2002-01-01,"Diesel fuel at self service filling stations",56.4,"v735137","1","Diesel Fuel",FALSE,6
2002-02-01,"Diesel fuel at self service filling stations",55.7,"v735137","1","Diesel Fuel",FALSE,6
2002-03-01,"Diesel fuel at self service filling stations",58.4,"v735137","1","Diesel Fuel",FALSE,6
2002-04-01,"Diesel fuel at self service filling stations",61.9,"v735137","1","Diesel Fuel",FALSE,6
2002-05-01,"Diesel fuel at self service filling stations",61.9,"v735137","1","Diesel Fuel",FALSE,6
2002-06-01,"Diesel fuel at self service filling stations",61.4,"v735137","1","Diesel Fuel",FALSE,6
2002-07-01,"Diesel fuel at self service filling stations",62.2,"v735137","1","Diesel Fuel",FALSE,6
2002-08-01,"Diesel fuel at self service filling stations",62.7,"v735137","1","Diesel Fuel",FALSE,6
2002-09-01,"Diesel fuel at self service filling stations",64.6,"v735137","1","Diesel Fuel",FALSE,6
2002-10-01,"Diesel fuel at self service filling stations",66.8,"v735137","1","Diesel Fuel",FALSE,6
2002-11-01,"Diesel fuel at self service filling stations",67.9,"v735137","1","Diesel Fuel",FALSE,6
2002-12-01,"Diesel fuel at self service filling stations",67.9,"v735137","1","Diesel Fuel",FALSE,6
2003-01-01,"Diesel fuel at self service filling stations",69.2,"v735137","1","Diesel Fuel",FALSE,6
2003-02-01,"Diesel fuel at self service filling stations",74.4,"v735137","1","Diesel Fuel",FALSE,6
2003-03-01,"Diesel fuel at self service filling stations",77.4,"v735137","1","Diesel Fuel",FALSE,6
2003-04-01,"Diesel fuel at self service filling stations",71.4,"v735137","1","Diesel Fuel",FALSE,6
2003-05-01,"Diesel fuel at self service filling stations",67.9,"v735137","1","Diesel Fuel",FALSE,6
2003-06-01,"Diesel fuel at self service filling stations",66.7,"v735137","1","Diesel Fuel",FALSE,6
2003-07-01,"Diesel fuel at self service filling stations",66.7,"v735137","1","Diesel Fuel",FALSE,6
2003-08-01,"Diesel fuel at self service filling stations",66.7,"v735137","1","Diesel Fuel",FALSE,6
2003-09-01,"Diesel fuel at self service filling stations",66.7,"v735137","1","Diesel Fuel",FALSE,6
2003-10-01,"Diesel fuel at self service filling stations",66.4,"v735137","1","Diesel Fuel",FALSE,6
2003-11-01,"Diesel fuel at self service filling stations",65.4,"v735137","1","Diesel Fuel",FALSE,6
2003-12-01,"Diesel fuel at self service filling stations",64.4,"v735137","1","Diesel Fuel",FALSE,6
2004-01-01,"Diesel fuel at self service filling stations",63.9,"v735137","1","Diesel Fuel",FALSE,6
2004-02-01,"Diesel fuel at self service filling stations",64.4,"v735137","1","Diesel Fuel",FALSE,6
2004-03-01,"Diesel fuel at self service filling stations",66.7,"v735137","1","Diesel Fuel",FALSE,6
2004-04-01,"Diesel fuel at self service filling stations",67.9,"v735137","1","Diesel Fuel",FALSE,6
2004-05-01,"Diesel fuel at self service filling stations",69.7,"v735137","1","Diesel Fuel",FALSE,6
