"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2018-01-01,"Total residential",115,"v1675217391","0","Units Authorized — Total",FALSE,1
2018-02-01,"Total residential",118,"v1675217391","0","Units Authorized — Total",FALSE,1
2018-03-01,"Total residential",215,"v1675217391","0","Units Authorized — Total",FALSE,1
2018-04-01,"Total residential",125,"v1675217391","0","Units Authorized — Total",FALSE,1
2018-05-01,"Total residential",164,"v1675217391","0","Units Authorized — Total",FALSE,1
2018-06-01,"Total residential",72,"v1675217391","0","Units Authorized — Total",FALSE,1
2018-07-01,"Total residential",147,"v1675217391","0","Units Authorized — Total",FALSE,1
2018-08-01,"Total residential",97,"v1675217391","0","Units Authorized — Total",FALSE,1
2018-09-01,"Total residential",191,"v1675217391","0","Units Authorized — Total",FALSE,1
2018-10-01,"Total residential",120,"v1675217391","0","Units Authorized — Total",FALSE,1
2018-11-01,"Total residential",153,"v1675217391","0","Units Authorized — Total",FALSE,1
2018-12-01,"Total residential",132,"v1675217391","0","Units Authorized — Total",FALSE,1
2019-01-01,"Total residential",203,"v1675217391","0","Units Authorized — Total",FALSE,1
2019-02-01,"Total residential",70,"v1675217391","0","Units Authorized — Total",FALSE,1
2019-03-01,"Total residential",95,"v1675217391","0","Units Authorized — Total",FALSE,1
2019-04-01,"Total residential",126,"v1675217391","0","Units Authorized — Total",FALSE,1
2019-05-01,"Total residential",125,"v1675217391","0","Units Authorized — Total",FALSE,1
2019-06-01,"Total residential",212,"v1675217391","0","Units Authorized — Total",FALSE,1
2019-07-01,"Total residential",152,"v1675217391","0","Units Authorized — Total",FALSE,1
2019-08-01,"Total residential",170,"v1675217391","0","Units Authorized — Total",FALSE,1
2019-09-01,"Total residential",103,"v1675217391","0","Units Authorized — Total",FALSE,1
2019-10-01,"Total residential",126,"v1675217391","0","Units Authorized — Total",FALSE,1
2019-11-01,"Total residential",113,"v1675217391","0","Units Authorized — Total",FALSE,1
2019-12-01,"Total residential",59,"v1675217391","0","Units Authorized — Total",FALSE,1
