"date","label","value","VECTOR","DECIMALS","panel_label","is_ratio","display_order"
2018-01-01,"Single dwelling building total",73,"v1675217392","0","Units Authorized — Single",FALSE,2
2018-02-01,"Single dwelling building total",62,"v1675217392","0","Units Authorized — Single",FALSE,2
2018-03-01,"Single dwelling building total",57,"v1675217392","0","Units Authorized — Single",FALSE,2
2018-04-01,"Single dwelling building total",55,"v1675217392","0","Units Authorized — Single",FALSE,2
2018-05-01,"Single dwelling building total",57,"v1675217392","0","Units Authorized — Single",FALSE,2
2018-06-01,"Single dwelling building total",65,"v1675217392","0","Units Authorized — Single",FALSE,2
2018-07-01,"Single dwelling building total",52,"v1675217392","0","Units Authorized — Single",FALSE,2
2018-08-01,"Single dwelling building total",78,"v1675217392","0","Units Authorized — Single",FALSE,2
2018-09-01,"Single dwelling building total",72,"v1675217392","0","Units Authorized — Single",FALSE,2
2018-10-01,"Single dwelling building total",78,"v1675217392","0","Units Authorized — Single",FALSE,2
2018-11-01,"Single dwelling building total",79,"v1675217392","0","Units Authorized — Single",FALSE,2
2018-12-01,"Single dwelling building total",91,"v1675217392","0","Units Authorized — Single",FALSE,2
2019-01-01,"Single dwelling building total",84,"v1675217392","0","Units Authorized — Single",FALSE,2
2019-02-01,"Single dwelling building total",26,"v1675217392","0","Units Authorized — Single",FALSE,2
2019-03-01,"Single dwelling building total",36,"v1675217392","0","Units Authorized — Single",FALSE,2
2019-04-01,"Single dwelling building total",38,"v1675217392","0","Units Authorized — Single",FALSE,2
2019-05-01,"Single dwelling building total",53,"v1675217392","0","Units Authorized — Single",FALSE,2
2019-06-01,"Single dwelling building total",67,"v1675217392","0","Units Authorized — Single",FALSE,2
2019-07-01,"Single dwelling building total",62,"v1675217392","0","Units Authorized — Single",FALSE,2
2019-08-01,"Single dwelling building total",57,"v1675217392","0","Units Authorized — Single",FALSE,2
2019-09-01,"Single dwelling building total",55,"v1675217392","0","Units Authorized — Single",FALSE,2
2019-10-01,"Single dwelling building total",72,"v1675217392","0","Units Authorized — Single",FALSE,2
